gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2190435654,Ammomanes cinctura,MA,Erg Chebbi--nord,Meknès-Tafilalet,2,31.212925,-3.9884,736,2,2005
2144631541,Ammomanes cinctura,MA,مرزوكة -- كتبان عرق شبي | Erg Chebbi--Merzouga,Meknès-Tafilalet,1,31.08315,-3.999495,697,2,2018
1794423776,Ammomanes cinctura,MA,Unnamed Wadi,Sous-Massa-Draa,3,29.839186,-5.897302,519,10,2012
2721674730,Ammomanes cinctura,MA,"(31.2812,-4.0033)",Meknès-Tafilalet,2,31.281239,-4.003344,758,11,2019
3825213337,Ammomanes cinctura,MA,Morocco - Région de Merzouga (Erfoud),,1,31.185347,-4.029257,725,3,2014
2838059007,Ammomanes cinctura,MA,Morocco - Région de Merzouga (Erfoud),,8,31.22984,-4.048891,746,5,2010
2836207422,Ammomanes cinctura,MA,Morocco - Bni M'Hamed Sijelmassa,,2,31.303607,-4.021956,774,4,2016
2836790705,Ammomanes cinctura,MA,Morocco - Bni M'Hamed Sijelmassa,,1,31.313904,-3.98751,778,4,2019
3299686280,Ammomanes cinctura,MA,Champs de Beni Mimoune,Meknès-Tafilalet,10,31.263906,-4.238521,746,11,2012
1744941534,Ammomanes cinctura,MA,Merzouga,Meknès-Tafilalet,10,31.098557,-4.011864,688,4,2016
941712013,Ammomanes cinctura,MA,MA-Meknès-Tafilalet - 31.2793x-4.3576 - 13 déc. 2012 15:32,Meknès-Tafilalet,4,31.279266,-4.357576,761,12,2012
941720063,Ammomanes cinctura,MA,31.0994x-3.9665 - 14 déc. 2012 16:31,Meknès-Tafilalet,1,31.099363,-3.966548,723,12,2012
2789919645,Ammomanes cinctura,MA,Koudïat Mih Jrane,Meknès-Tafilalet,10,31.24111,-4.083794,729,3,2008
2711892551,Ammomanes cinctura,MA,"Unnamed Road, Souss Massa, MA (29,535, -7,857)",Guelmim-Es Smara,9,29.535454,-7.856913,448,12,2017
2769165553,Ammomanes cinctura,MA,"31.3419x-5.9441 - 4 Apr 2017, 11:08",Sous-Massa-Draa,2,31.341917,-5.944067,1528,3,2019
3203687607,Ammomanes cinctura,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,2,31.093885,-4.051035,696,3,2006
2717932449,Ammomanes cinctura,MA,PN Khnifiss--domaine général,Laâyoune-Boujdour-Sakia el Hamra,10,28.001081,-12.342865,7,11,2004
2209217549,Ammomanes cinctura,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,2,31.093885,-4.051035,696,11,2018
2660381008,Ammomanes cinctura,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,4,31.093885,-4.051035,696,3,2019
2738103349,Ammomanes cinctura,MA,Tafraoute Sidi Ali,Meknès-Tafilalet,4,30.645458,-4.713386,634,1,2019
2790116425,Ammomanes cinctura,MA,Erg Chebbi--nord,Meknès-Tafilalet,2,31.212925,-3.9884,736,3,2019
2153052532,Ammomanes cinctura,MA,Zagora to Rissani,Meknès-Tafilalet,1,31.261894,-4.465556,793,12,2012
2063663564,Ammomanes cinctura,MA,Sahara east of Auberge Derkoua,Meknès-Tafilalet,1,31.293098,-4.035501,759,5,2017
2685546971,Ammomanes cinctura,MA,Escarpement à l'oest de Rissani,Meknès-Tafilalet,1,31.278967,-4.359662,752,3,2019
1720436122,Ammomanes cinctura,MA,Erg Chebbi--noroest,Meknès-Tafilalet,36,31.201033,-4.026918,733,3,2016
2038441780,Ammomanes cinctura,MA,Draa,Guelmim-Es Smara,1,28.294373,-10.257915,144,2,2017
1750238790,Ammomanes cinctura,MA,fezna roadside birding,Meknès-Tafilalet,3,31.513437,-4.448386,832,3,2016
