gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2106274748,Anthus hodgsoni,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,11,2017
2092439172,Anthus hodgsoni,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,3,34.00879,-6.847304,26,11,2017
2133408603,Anthus hodgsoni,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,3,2018
2835695316,Anthus hodgsoni,MA,Morocco - Echatea El Abied,,1,29.094208,-10.332447,61,10,2014
2133411788,Anthus hodgsoni,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,2,33.996227,-6.840749,63,3,2018
2114811296,Anthus hodgsoni,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,11,2017
2836573529,Anthus hodgsoni,MA,Morocco - Agdal Riyad,,2,34.009586,-6.848566,27,11,2017
2223726819,Anthus hodgsoni,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,12,2018
2125222876,Anthus hodgsoni,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,1,2018
2104962201,Anthus hodgsoni,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,3,34.00879,-6.847304,26,11,2017
2106408768,Anthus hodgsoni,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,3,34.00879,-6.847304,26,11,2017
2105005951,Anthus hodgsoni,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,3,34.00879,-6.847304,26,11,2017
2102547946,Anthus hodgsoni,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,2,34.00879,-6.847304,26,11,2017
2715373727,Anthus hodgsoni,ES,Arroyo del Infierno,Ceuta,1,35.892666,-5.344787,31,3,2016
1615141398,Anthus hodgsoni,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2016
2839283492,Anthus hodgsoni,MA,Morocco - Echatea El Abied,,1,29.118668,-10.371866,23,10,2014
2839421547,Anthus hodgsoni,MA,Morocco - Echatea El Abied,,1,29.093976,-10.333399,62,10,2014
