gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
920503481,Anthus spinoletta,MA,Oued Souss / Marokko,,1,30.362211,-9.589691,13,1,2009
2653829705,Anthus spinoletta,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,1,2019
1790249305,Anthus spinoletta,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz (31,2277,-7,8130)",Marrakech-Tensift-Al Haouz,5,31.22771,-7.812976,2013,1,2004
2173356298,Anthus spinoletta,MA,Oued Tamri,Sous-Massa-Draa,7,30.66226,-9.880612,48,12,2005
2031055617,Anthus spinoletta,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,2,34.013096,-6.813711,11,2,2017
1715571025,Anthus spinoletta,MA,"31.2107x-7.8512 - Feb 14, 2016, 11:32 AM",Marrakech-Tensift-Al Haouz,1,31.21073,-7.851199,2595,2,2016
2030082633,Anthus spinoletta,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,9,34.013096,-6.813711,11,1,2017
2220129028,Anthus spinoletta,MA,Lac Zerouka,Meknès-Tafilalet,22,33.544254,-5.095575,1616,11,2018
2726921713,Anthus spinoletta,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,5,31.201849,-7.859733,2609,12,2015
2215400654,Anthus spinoletta,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,2,2008
3580012727,Anthus spinoletta,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,11,2012
2142151683,Anthus spinoletta,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,2,34.013096,-6.813711,11,2,2018
2731838221,Anthus spinoletta,MA,Oued Bouregreg--Essehoul,Rabat-Salé-Zemmour-Zaer,1,33.94439,-6.588557,66,3,2019
2045290714,Anthus spinoletta,MA,"31,303x-7,398 - 12 mar. 2017 11:50",Marrakech-Tensift-Al Haouz,1,31.303078,-7.398052,2494,3,2017
2225946697,Anthus spinoletta,MA,Tizi n'Tichka,Marrakech-Tensift-Al Haouz,2,31.36109,-7.390087,1590,2,2008
1734777978,Anthus spinoletta,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,3,33.65042,-5.029721,1470,3,2016
2766484776,Anthus spinoletta,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,1,2019
