gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3286289487,Apus caffer,MA,Ouirgane,Marrakech-Tensift-Al Haouz,2,31.174255,-8.077196,921,4,2006
2752231174,Apus caffer,MA,"(32.6419,-7.7849)",Marrakech-Tensift-Al Haouz,3,32.64195,-7.784916,193,4,2019
1356840458,Apus caffer,MA,Riad le J,Marrakech-Tensift-Al Haouz,1,31.629908,-7.986607,466,3,2015
2667698636,Apus caffer,MA,"(32.6419,-7.7849)",Marrakech-Tensift-Al Haouz,3,32.64195,-7.784916,193,4,2019
820853393,Apus caffer,MA,Marrakech Medina,Marrakech-Tensift-Al Haouz,1,31.62924,-7.986267,470,3,2012
2711443552,Apus caffer,MA,Assif Amerzgane,Sous-Massa-Draa,3,31.038475,-7.215571,1324,4,2014
1369676066,Apus caffer,MA,Vallée de l'Ourika,Marrakech-Tensift-Al Haouz,1,31.239517,-7.664165,1364,5,2015
3274134600,Apus caffer,MA,20 km au sud de Taza,Taza-Al Hoceima-Taounate,1,34.129375,-3.937143,842,6,2011
3279067845,Apus caffer,MA,Ridge West of Rissani (Pharaoh Eagle Owl site),Meknès-Tafilalet,1,31.278028,-4.349556,773,9,2019
1356748239,Apus caffer,MA,Marrakesh (general area),Marrakech-Tensift-Al Haouz,2,31.6275,-8.0,461,3,2015
3299613805,Apus caffer,MA,MA-(Dait) Lac de Aoua,Meknès-Tafilalet,3,33.648346,-5.034358,1483,4,2016
2328358692,Apus caffer,MA,Tameslouht,,1,31.509777,-8.060017,556,6,2017
2832250975,Apus caffer,MA,Morocco - Asni,,2,31.096498,-7.911641,2395,6,2012
2838319794,Apus caffer,MA,Morocco - Parc national de Tazekka,,1,34.145962,-4.010468,1020,6,2011
2778755809,Apus caffer,MA,Ridge West of Rissani (Pharaoh Eagle Owl site),Meknès-Tafilalet,1,31.278028,-4.349556,773,9,2019
3205226445,Apus caffer,MA,Parc National de Tazekka,Taza-Al Hoceima-Taounate,1,34.07908,-4.120763,1470,6,2011
2687132598,Apus caffer,MA,Jardins de la Ménara,Marrakech-Tensift-Al Haouz,2,31.61392,-8.019966,465,4,2017
575828878,Apus caffer,MA,Agadir to Essaouira,Marrakech-Tensift-Al Haouz,1,31.11174,-9.825897,194,6,2005
2219930292,Apus caffer,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,8,2008
1357069923,Apus caffer,MA,Riad le J,Marrakech-Tensift-Al Haouz,1,31.629908,-7.986607,466,4,2015
2177881552,Apus caffer,MA,Marrakech--general area,Marrakech-Tensift-Al Haouz,3,31.632746,-7.99386,461,6,2018
2695683049,Apus caffer,MA,Imlil Valley,Marrakech-Tensift-Al Haouz,1,31.13691,-7.920496,1727,4,2006
2181143535,Apus caffer,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,2,31.1371,-7.9205,1725,5,2018
1729904152,Apus caffer,MA,Essouira area,Marrakech-Tensift-Al Haouz,1,31.501532,-9.750795,15,4,2016
2839516303,Apus caffer,MA,Morocco - Asni,,3,31.11925,-7.921583,1929,6,2015
2840957016,Apus caffer,MA,Morocco - Asni,,1,31.194438,-7.951584,1364,7,2014
2201266802,Apus caffer,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,3,31.1371,-7.9205,1725,8,2007
2838524920,Apus caffer,MA,Morocco - Asni,,1,31.158245,-7.924061,1578,7,2012
2754855304,Apus caffer,MA,"(32.6419,-7.7849)",Marrakech-Tensift-Al Haouz,3,32.64195,-7.784916,193,4,2019
3215858367,Apus caffer,MA,Tizi Mzik,Marrakech-Tensift-Al Haouz,1,31.11146,-7.9393,2902,7,2015
2716122104,Apus caffer,MA,Karting circuit Jaafaira,Marrakech-Tensift-Al Haouz,1,31.581,-7.981,495,3,2002
2747138730,Apus caffer,MA,"(32.6419,-7.7849)",Marrakech-Tensift-Al Haouz,3,32.64195,-7.784916,193,4,2019
2233377927,Apus caffer,MA,Marrakech--general area,Marrakech-Tensift-Al Haouz,3,31.632746,-7.99386,461,6,2018
3285557787,Apus caffer,MA,MA-Sidi Abjallah (Oum Er-Rbia River),Marrakech-Tensift-Al Haouz,3,32.64195,-7.784916,193,4,2019
2745444746,Apus caffer,MA,"(32.6419,-7.7849)",Marrakech-Tensift-Al Haouz,3,32.64195,-7.784916,193,4,2019
3195012734,Apus caffer,MA,Aremd,Marrakech-Tensift-Al Haouz,2,31.126366,-7.918462,1938,6,2012
1391323384,Apus caffer,MA,Marrakesh (general area),Marrakech-Tensift-Al Haouz,50,31.6275,-8.0,461,9,2015
2157059995,Apus caffer,MA,Riad Amin,Marrakech-Tensift-Al Haouz,1,31.617235,-7.989624,472,4,2018
2685809675,Apus caffer,MA,Oued massa,Sous-Massa-Draa,2,30.038029,-9.640733,13,6,2019
3253231505,Apus caffer,MA,Vallée d'Asni,Marrakech-Tensift-Al Haouz,2,31.255966,-7.973832,1151,3,2001
2835789328,Apus caffer,MA,Morocco - Asni,,4,31.109412,-7.919611,2092,6,2015
2839568431,Apus caffer,MA,Morocco - Asni,,2,31.108063,-7.920912,2044,7,2015
2835021660,Apus caffer,MA,Morocco - Asni,,4,31.109412,-7.919611,2092,6,2015
2838061227,Apus caffer,MA,Morocco - Parc national de Tazekka,,1,34.145976,-4.010783,1020,6,2011
2839027455,Apus caffer,MA,Morocco - Bab Boudir,,1,34.135678,-4.023743,1292,6,2011
2832241244,Apus caffer,MA,Morocco - Parc national de Tazekka,,1,34.14685,-4.011283,996,6,2011
2832209274,Apus caffer,MA,Morocco - Parc national de Tazekka,,1,34.14685,-4.011283,996,6,2011
2835998503,Apus caffer,MA,Morocco - Asni,,1,31.109533,-7.921084,2025,7,2015
2832249969,Apus caffer,MA,Morocco - Asni,,1,31.239374,-7.987951,1259,7,2012
2839327328,Apus caffer,MA,Morocco - Asni,,4,31.109412,-7.919611,2092,6,2015
2840288849,Apus caffer,MA,Morocco - Oukaïmedene,,1,31.203231,-7.856675,2604,7,2013
1770458725,Apus caffer,MA,Région d'Aoulouz,Sous-Massa-Draa,1,30.673674,-8.177985,679,4,2006
2835990886,Apus caffer,MA,Morocco - Asni,,1,31.227408,-7.975302,1269,7,2014
2832232999,Apus caffer,MA,Morocco - Asni,,2,31.10072,-7.914437,2305,6,2012
2832273978,Apus caffer,MA,Morocco - Asni,,2,31.10072,-7.914437,2305,6,2012
2840501258,Apus caffer,MA,Morocco - Parc national de Tazekka,,1,34.145962,-4.010468,1020,6,2011
2842602361,Apus caffer,MA,Morocco - Asni,,3,31.11925,-7.921583,1929,6,2015
2835814881,Apus caffer,MA,Morocco - Oukaïmedene,,1,31.203231,-7.856675,2604,7,2013
