gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3005100804,Burhinus oedicnemus,MA,,Souss - Massa - Draâ,1,29.832556,-9.795259,68,4,2016
1702491282,Burhinus oedicnemus,MA,Oued Ksob Mündung oberhalb Diabat,,1,31.484234,-9.766159,8,11,2017
2230371632,Burhinus oedicnemus,MA,Road Oued Boukila - El Aaiun,Guelmim-Es Smara,1,28.554558,-10.922493,47,2,2016
3648421815,Burhinus oedicnemus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,6,2012
3287430432,Burhinus oedicnemus,MA,Tissa,Taza-Al Hoceima-Taounate,2,34.319237,-4.692091,213,10,2003
2743579562,Burhinus oedicnemus,MA,Aéroport International Agadir al-Massira,Sous-Massa-Draa,1,30.3226,-9.4112,66,3,2018
2201211607,Burhinus oedicnemus,MA,Oued Sous Taroudant,Sous-Massa-Draa,1,30.432108,-8.894993,204,3,2011
2840194842,Burhinus oedicnemus,MA,Morocco - Agadir,,1,30.360242,-9.580235,8,4,2012
2835509809,Burhinus oedicnemus,MA,Morocco - Agadir,,6,30.365914,-9.598345,12,7,2013
3720088048,Burhinus oedicnemus,MA,Morocco - Agadir,,1,30.395201,-9.574249,34,4,2021
2840874848,Burhinus oedicnemus,MA,Morocco - Souss-Massa NP,,2,30.0521,-9.6872,40,3,2018
2832509500,Burhinus oedicnemus,MA,Morocco - Agadir,,1,30.3575,-9.5749,12,4,2014
2840936710,Burhinus oedicnemus,MA,Morocco - Ait Melloul,,1,30.317185,-9.50152,26,2,2015
4028646208,Burhinus oedicnemus,MA,,Souss - Massa - Draâ,1,30.100145,-9.656412,74,12,2022
2848591722,Burhinus oedicnemus,MA,"Province de Boulemane, Fès-Meknès",,1,33.0017,-4.0965,941,5,2020
2432402119,Burhinus oedicnemus,MA,"Tata, Guelmim-Es Semara",,1,29.9723,-6.8575,576,3,2000
2848599733,Burhinus oedicnemus,MA,"Province de Boulemane, Fès-Meknès",,1,33.0017,-4.0965,941,5,2020
2848602756,Burhinus oedicnemus,MA,"Province de Boulemane, Fès-Meknès",,1,33.0017,-4.0965,941,5,2020
3650388377,Burhinus oedicnemus,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,2,35.152462,-6.102734,13,10,2021
2146201500,Burhinus oedicnemus,MA,R. Jabal Toubkal (زنقة جبال توبقال),Rabat-Salé-Zemmour-Zaer,1,33.996597,-6.848962,55,5,2018
3298785981,Burhinus oedicnemus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,4,2016
1779761983,Burhinus oedicnemus,MA,Oued Laou,Tanger-Tétouan,6,35.428505,-5.0774,9,11,2016
2230246137,Burhinus oedicnemus,MA,route d'Ifenntar,Sous-Massa-Draa,30,29.95375,-9.672533,61,11,2018
2086839258,Burhinus oedicnemus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,9,2017
3519669074,Burhinus oedicnemus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2021
2751291189,Burhinus oedicnemus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,7,2019
3552616701,Burhinus oedicnemus,MA,واد ماسة -- بين سيدي وصواي و أغريمز | Oued Massa--route de Sidi Wassay à Aghorimze,Sous-Massa-Draa,2,30.038885,-9.666038,88,5,2021
946704488,Burhinus oedicnemus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,4,2013
2219396183,Burhinus oedicnemus,MA,"Guelmim-Oued Noun, MA (28,91, -9,979)",Guelmim-Es Smara,1,28.910372,-9.979495,305,11,2018
2731787630,Burhinus oedicnemus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,6,30.36236,-9.586773,10,3,2018
1761546920,Burhinus oedicnemus,MA,R. Jabal Toubkal (زنقة جبال توبقال),Rabat-Salé-Zemmour-Zaer,1,33.996597,-6.848962,55,9,2016
2185199964,Burhinus oedicnemus,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,8,33.713158,-6.929712,284,3,2013
