gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
920817326,Buteo rufinus,MA,Wüste südöstlich Boumalne (Tagdilt-Track),,1,31.346014,-5.934677,1532,12,2012
920831079,Buteo rufinus,MA,Wüste südöstlich Boumalne (Tagdilt-Track),,1,31.346014,-5.934677,1532,12,2012
1702491523,Buteo rufinus,MA,Guelmim - Tan-Tan (Umgebung der N1),,1,28.816252,-10.353799,191,11,2017
3466015902,Buteo rufinus,MA,,Marrakech - Tensift - Al Haouz,1,31.229626,-7.823748,2394,2,2018
2101689294,Buteo rufinus,MA,"(34,026, -5,322)",Meknès-Tafilalet,2,34.025784,-5.322393,294,9,2017
3626390864,Buteo rufinus,MA,Daya de Khemis Zemamra,Doukkala-Abda,1,32.629055,-8.780619,125,10,2013
2233492131,Buteo rufinus,MA,Lac Ouiouane,Meknès-Tafilalet,1,33.13104,-5.343613,1606,12,2018
3181863043,Buteo rufinus,MA,Vallée de l'Ourika,Marrakech-Tensift-Al Haouz,2,31.239517,-7.664165,1364,9,2011
2660171159,Buteo rufinus,MA,المنتزه الوطني تامري | Tamri NP,Sous-Massa-Draa,2,30.64619,-9.884273,16,3,2007
2053117080,Buteo rufinus,MA,Chefchaouen,Tanger-Tétouan,1,35.167248,-5.257226,626,5,2017
2733955610,Buteo rufinus,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,1,31.334959,-5.891968,1554,3,2019
3600874161,Buteo rufinus,ES,Arroyo de las Bombas,Ceuta,1,35.890335,-5.371637,213,8,2021
2131603306,Buteo rufinus,MA,PN Ifran--Cèdre Gouraud,Meknès-Tafilalet,1,33.427013,-5.155838,1678,4,2018
2774742568,Buteo rufinus,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,4,2007
3562070242,Buteo rufinus,MA,Casablanca - El Hank,Grand Casablanca,1,33.6139,-7.650566,5,7,2021
2711761434,Buteo rufinus,MA,Barrage al-Hassan Addakhil,Meknès-Tafilalet,1,32.010513,-4.458389,1097,2,2017
2717505576,Buteo rufinus,MA,Fôret Toufliht,Marrakech-Tensift-Al Haouz,1,31.478024,-7.434708,1465,4,2000
2753047456,Buteo rufinus,MA,Aoufous,Meknès-Tafilalet,2,31.66824,-4.192675,876,1,2019
2136868818,Buteo rufinus,MA,Vallée de l'Ourika,Marrakech-Tensift-Al Haouz,1,31.239517,-7.664165,1364,2,2018
2769870722,Buteo rufinus,MA,Observatorio de La Venta,Tanger-Tétouan,1,35.87485,-5.457671,205,9,2011
1779048906,Buteo rufinus,MA,N17--plaines sablonneuses,L'Oriental,1,32.49058,-1.823767,1133,12,2016
2130448106,Buteo rufinus,MA,Station d'épuration de Guelmim,Guelmim-Es Smara,2,28.926205,-10.145052,226,4,2018
