gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3293685073,Calidris melanotos,MA,المرجة البرغة | Merja Bargha,Tanger-Tétouan,1,35.015804,-6.214134,14,8,2013
2796608905,Calidris melanotos,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,9,2019
2838550898,Calidris melanotos,MA,Morocco - Oualidia,,1,32.779116,-8.977547,9,10,2011
3189057000,Calidris melanotos,MA,Daya de Khemis Zemamra,Doukkala-Abda,1,32.629055,-8.780619,125,5,2013
3193224650,Calidris melanotos,MA,المرجة البرغة | Merja Bargha,Tanger-Tétouan,2,35.015804,-6.214134,14,9,2012
3575221273,Calidris melanotos,MA,سد الحيمر | El-Haiemer Dam,Chaouia-Ouardigha,1,33.105087,-7.344983,430,9,2021
3181073874,Calidris melanotos,MA,Daya de Khemis Zemamra,Doukkala-Abda,1,32.629055,-8.780619,125,10,2012
2715492125,Calidris melanotos,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,9,2019
2832353155,Calidris melanotos,MA,Morocco - Laouamra,,1,35.015213,-6.215099,14,9,2012
2834352217,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.542571,-7.766011,14,10,2012
2840790491,Calidris melanotos,MA,Morocco - Lagune de Sidi Moussa-Oualidia,,1,32.871652,-8.869193,10,10,2011
3384064563,Calidris melanotos,MA,,Chaouia - Ouardigha,1,33.103329,-7.339114,437,9,2021
2840786372,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.543739,-7.765147,9,9,2019
3221709474,Calidris melanotos,MA,Fort Bou Jerif,Guelmim-Es Smara,1,29.082088,-10.331371,85,10,2013
3200749638,Calidris melanotos,MA,Marais d'el-Hotba,Doukkala-Abda,1,32.916702,-8.815498,0,10,2011
2781118792,Calidris melanotos,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,10,2019
2843437050,Calidris melanotos,MA,Morocco - Khémis zemamra,,1,32.630412,-8.784256,125,10,2013
2836307325,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.543739,-7.765147,9,9,2019
3732756868,Calidris melanotos,MA,Morocco - Bouguargouh,,1,33.104837,-7.341127,437,9,2021
2835684663,Calidris melanotos,MA,Morocco - Khémis zemamra,,1,32.635906,-8.769836,138,5,2013
2835549146,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.542571,-7.766011,14,10,2012
2838952141,Calidris melanotos,MA,Morocco - Khémis zemamra,,2,32.628966,-8.779793,125,9,2014
2832293264,Calidris melanotos,MA,Morocco - Khémis zemamra,,1,32.632706,-8.779449,122,10,2012
2832279195,Calidris melanotos,MA,Morocco - Laouamra,,1,35.01514,-6.215541,14,9,2012
2832210719,Calidris melanotos,MA,Morocco - Doukkala - Abda,,1,32.627882,-8.779106,125,9,2010
2832310202,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.542901,-7.7663,12,9,2012
2835656100,Calidris melanotos,MA,Morocco - Laouamra,,2,35.016707,-6.215172,14,9,2012
2843312696,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.544185,-7.763128,14,10,2019
2832362603,Calidris melanotos,MA,Morocco - Khémis zemamra,,1,32.630231,-8.780036,125,5,2013
2842486849,Calidris melanotos,MA,Morocco - Dar Bouazza,,1,33.544185,-7.763128,14,10,2019
