gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2090894898,Calidris minuta,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,2,30.36236,-9.586773,10,10,2017
2720762164,Calidris minuta,MA,PN Khnifiss--Lagune de Khnifiss,Laâyoune-Boujdour-Sakia el Hamra,100,28.04759,-12.226908,0,4,2018
2666510753,Calidris minuta,MA,"Route de Zenata, Mohammedia MA-Grand Casablanca (33.6642,-7.4508)",Grand Casablanca,2,33.664238,-7.450829,13,4,2019
3301101748,Calidris minuta,MA,Dayat Lagzimir,L'Oriental,1,33.5617,-2.78314,1180,10,2013
2223153715,Calidris minuta,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,12,2004
2746128003,Calidris minuta,MA,Oued Bou Regreg--Quartier Industriel,Rabat-Salé-Zemmour-Zaer,1,33.992977,-6.801205,9,4,2019
3196524588,Calidris minuta,MA,"Tamri, Souss-Massa, MA (30.628, -9.868)",Sous-Massa-Draa,2,30.627853,-9.868313,64,3,2014
2725772577,Calidris minuta,MA,Salines de Oualidia,Doukkala-Abda,400,32.781796,-8.973387,7,4,2007
2839099023,Calidris minuta,MA,Morocco - Oualidia,,2,32.783294,-8.96735,35,1,2020
2832851796,Calidris minuta,MA,Morocco - Saline de sidi moussa,,5,32.997144,-8.731154,8,10,2016
3760188627,Calidris minuta,MA,,Chaouia - Ouardigha,1,33.096997,-7.339701,446,4,2022
3387691141,Calidris minuta,MA,Oued Souss / Marokko,,1,30.362211,-9.589691,13,1,2008
3588663191,Calidris minuta,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,1,2021
2043012951,Calidris minuta,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,22,30.918804,-6.835792,1093,4,2017
1763796890,Calidris minuta,MA,Erg Chebbi--nord,Meknès-Tafilalet,50,31.212925,-3.9884,736,4,2008
2101791728,Calidris minuta,MA,Oued Ikkem,Rabat-Salé-Zemmour-Zaer,2,33.892357,-7.004562,12,9,2017
3191233757,Calidris minuta,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,5,35.195835,-6.111832,7,9,2011
1753510313,Calidris minuta,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,1,2016
1187236548,Calidris minuta,MA,Merzouga/Desert,Meknès-Tafilalet,10,31.098513,-4.012113,688,3,2007
824313023,Calidris minuta,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2012
