gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1620757057,Caprimulgus europaeus,ES,Barriadas campo exterior,Ceuta,1,35.88333,-5.31667,0,5,2013
2203894755,Caprimulgus europaeus,MA,Oasis De Massa (maison d’hote),Sous-Massa-Draa,1,29.99438,-9.63865,18,11,2018
2702145050,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75105,-6.934414,238,9,2019
3641306637,Caprimulgus europaeus,ES,"Mendicuti/Lomas de Topete, de Isabel II y de Luengo",Ceuta,2,35.89257,-5.357019,174,5,2021
1177939662,Caprimulgus europaeus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,6,2014
2207455396,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75107,-6.934405,238,9,2018
2227150957,Caprimulgus europaeus,MA,Oasis De Massa (maison d’hote),Sous-Massa-Draa,1,29.99438,-9.63865,18,11,2018
1179346920,Caprimulgus europaeus,MA,Ifrane,Meknès-Tafilalet,1,33.528374,-5.10817,1656,5,2003
2170192181,Caprimulgus europaeus,MA,Fôret de Sidi Bettache (Fôret de Zaër),Rabat-Salé-Zemmour-Zaer,1,33.56109,-6.871708,415,5,2018
3691750971,Caprimulgus europaeus,MA,Mine de Tamslemt,L'Oriental,1,32.62139,-3.77602,1773,7,2007
2718538786,Caprimulgus europaeus,ES,Punta Blanca,Ceuta,1,35.91375,-5.360241,1,10,2016
3638439196,Caprimulgus europaeus,MA,"Guelmim, town",Guelmim-Es Smara,1,28.98685,-10.057756,313,9,2017
3773502319,Caprimulgus europaeus,MA,,Chaouia - Ouardigha,1,33.11515,-7.334409,468,5,2022
2799828897,Caprimulgus europaeus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,9,2015
3947351783,Caprimulgus europaeus,MA,,Meknès - Tafilalet,1,31.331651,-4.012197,780,10,2022
2192108223,Caprimulgus europaeus,MA,Chaabat el-Gherga,Rabat-Salé-Zemmour-Zaer,1,33.75134,-6.932411,227,10,2018
3155864319,Caprimulgus europaeus,ES,Arroyo de Calamocarro,Ceuta,1,35.910793,-5.368713,140,5,2020
2159727158,Caprimulgus europaeus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,6,2018
1367104866,Caprimulgus europaeus,MA,Sida Yahya Zaer,Chaouia-Ouardigha,1,33.710945,-6.924519,288,5,2015
2717144423,Caprimulgus europaeus,ES,Puerto--parque Mediterráneo/parque Juan Carlos I,Ceuta,1,35.890644,-5.306884,9,5,2010
2694444449,Caprimulgus europaeus,MA,by P6012 at 2.3 km due NE. of Tafoughalt (centre),L'Oriental,2,34.8171,-2.391,647,5,2017
2726939662,Caprimulgus europaeus,MA,Ait Bougemez valley,Tadla-Azilal,1,31.655281,-6.444857,1822,10,2019
3199918716,Caprimulgus europaeus,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,1,33.48899,-5.144713,1718,4,2009
3210998886,Caprimulgus europaeus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,6,2014
2707812547,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75105,-6.934414,238,9,2019
3207095610,Caprimulgus europaeus,MA,"Unnamed Road, Drâa-Tafilalet, MA (31.214, -3.989)",Meknès-Tafilalet,1,31.213612,-3.989004,728,11,2020
2738971814,Caprimulgus europaeus,MA,Akel el-Kbir (Île du Bou Regreg),Rabat-Salé-Zemmour-Zaer,1,33.964817,-6.776376,61,6,2019
1738538192,Caprimulgus europaeus,MA,PN Ifrane--Dayet Hachlaf,Meknès-Tafilalet,1,33.54598,-5.002792,1670,5,2016
2173365985,Caprimulgus europaeus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,5,2018
2102482656,Caprimulgus europaeus,MA,Zaers,Rabat-Salé-Zemmour-Zaer,1,33.709595,-6.925794,282,4,2017
3640027490,Caprimulgus europaeus,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,4,31.1371,-7.9205,1725,6,2020
2769834317,Caprimulgus europaeus,MA,Akel el-Kbir (Île du Bou Regreg),Rabat-Salé-Zemmour-Zaer,1,33.964817,-6.776376,61,6,2019
1743875878,Caprimulgus europaeus,MA,"near Jbel Tazzeka National Park (11.2 km due SSW. from Taza, centre)",Taza-Al Hoceima-Taounate,1,34.1143,-4.0373,1387,5,2016
2216392287,Caprimulgus europaeus,MA,Oasis De Massa (maison d’hote),Sous-Massa-Draa,1,29.99438,-9.63865,18,11,2018
1734174475,Caprimulgus europaeus,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,1,34.00879,-6.847304,26,5,2016
3203048683,Caprimulgus europaeus,MA,Fôret de Sidi Bettache (Fôret de Zaër),Rabat-Salé-Zemmour-Zaer,1,33.56109,-6.871708,415,5,2010
2092247304,Caprimulgus europaeus,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,9,2017
2718958630,Caprimulgus europaeus,ES,Monte Hacho,Ceuta,1,35.89719,-5.290354,161,5,2013
2207859437,Caprimulgus europaeus,MA,Chaabat el-Gherga,Rabat-Salé-Zemmour-Zaer,1,33.75134,-6.932411,227,10,2018
2836334563,Caprimulgus europaeus,MA,Morocco - Taghramt,,1,35.8781,-5.4254,227,4,2016
2844278507,Caprimulgus europaeus,MA,Morocco - Taghramt,,1,35.8781,-5.4254,227,4,2016
2216579434,Caprimulgus europaeus,MA,Oasis De Massa (maison d’hote),Sous-Massa-Draa,1,29.99438,-9.63865,18,11,2018
1407162338,Caprimulgus europaeus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,2,33.07076,-7.232351,632,5,2015
2184995914,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75107,-6.934405,238,9,2018
2083554383,Caprimulgus europaeus,MA,Agadir beach,Sous-Massa-Draa,1,30.404703,-9.600972,8,9,2017
2071836892,Caprimulgus europaeus,MA,Fôret de Sidi Bettache (Fôret de Zaër),Rabat-Salé-Zemmour-Zaer,1,33.56109,-6.871708,415,10,2007
1377315212,Caprimulgus europaeus,MA,Missour,Fès-Boulemane,1,33.043766,-3.980956,863,7,2015
1738808574,Caprimulgus europaeus,MA,PN Ifrane--Dayet Hachlaf,Meknès-Tafilalet,1,33.54598,-5.002792,1670,5,2016
3646459399,Caprimulgus europaeus,MA,"Asilah, Tangier-Tétouan-Al Hoceima, MA (35,473, -6,016)",Tanger-Tétouan,1,35.473362,-6.016253,25,10,2021
2713811366,Caprimulgus europaeus,ES,Puerto--parque Mediterráneo/parque Juan Carlos I,Ceuta,1,35.890644,-5.306884,9,10,2011
2726723220,Caprimulgus europaeus,MA,Wadi | Noun River,Sous-Massa-Draa,1,29.093609,-10.334455,62,4,2012
1763175681,Caprimulgus europaeus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,9,2016
2699831149,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75105,-6.934414,238,9,2019
2136143898,Caprimulgus europaeus,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,4,2018
2725753327,Caprimulgus europaeus,ES,CEUTA (casco urbano),Ceuta,1,35.888165,-5.305654,42,5,2013
2697289986,Caprimulgus europaeus,MA,"12152, Temara MA-Rabat-Salé-Zemmour-Zaer (33.7511,-6.9340)",Rabat-Salé-Zemmour-Zaer,1,33.751106,-6.933966,236,9,2019
3574162978,Caprimulgus europaeus,MA,Promenade Maritime de la Mosquée Hassan II,Grand Casablanca,1,33.604942,-7.638341,7,10,2021
2679152738,Caprimulgus europaeus,MA,Sahara Border,Sous-Massa-Draa,1,31.48616,-5.378784,1179,4,2006
2189934777,Caprimulgus europaeus,ES,"Carretera del Embalse, Ceuta, Ceuta, ES (35,895, -5,36)",Ceuta,4,35.894825,-5.360172,208,7,2018
2185369031,Caprimulgus europaeus,MA,Ouirgane (Scrub south of Asni-9 km post),Marrakech-Tensift-Al Haouz,1,31.20162,-8.04248,964,8,2012
1784477193,Caprimulgus europaeus,MA,Gorges du Todra,Sous-Massa-Draa,1,31.586287,-5.590968,1575,10,2016
2098403316,Caprimulgus europaeus,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,9,2017
1774549698,Caprimulgus europaeus,MA,Zebzat,Meknès-Tafilalet,1,32.600475,-4.531892,1880,6,2016
3556062121,Caprimulgus europaeus,ES,"N-362, Ceuta, Ceuta, ES (35,911, -5,373)",Ceuta,1,35.911484,-5.372905,98,6,2021
2084365787,Caprimulgus europaeus,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,9,2017
2200911526,Caprimulgus europaeus,ES,Melilla,Melilla,1,35.292595,-2.937363,14,9,2018
2771742060,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75105,-6.934414,238,9,2019
2756323441,Caprimulgus europaeus,MA,Fort Bou Jerif,Guelmim-Es Smara,3,29.082088,-10.331371,85,5,2019
2712335190,Caprimulgus europaeus,MA,"Rabat-Salé-Kénitra, MA (33.751, -6.934)",Rabat-Salé-Zemmour-Zaer,1,33.75105,-6.934414,238,9,2019
1789902043,Caprimulgus europaeus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2005
2836147541,Caprimulgus europaeus,MA,Morocco - Taghramt,,1,35.8781,-5.4254,227,4,2016
2836190634,Caprimulgus europaeus,ES,Spain - Ciudad de Ceuta,,1,35.886638,-5.368891,237,9,2016
1613303167,Caprimulgus europaeus,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,5,2013
2835486966,Caprimulgus europaeus,MA,Morocco - Moulay Bousselham,,1,34.906045,-6.278951,71,9,2013
2833245314,Caprimulgus europaeus,MA,Morocco - Taghramt,,1,35.878566,-5.456715,173,5,2018
1620792074,Caprimulgus europaeus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,10,2016
3905950723,Caprimulgus europaeus,MA,Morocco - Bouguargouh,,2,33.114862,-7.33446,470,5,2022
2835875170,Caprimulgus europaeus,MA,Morocco - Moulay Bousselham,,1,34.906045,-6.278951,71,9,2013
2835912763,Caprimulgus europaeus,MA,Morocco - Taghramt,,1,35.8781,-5.4254,227,4,2016
3577357700,Caprimulgus europaeus,ES,"Mendicuti/Lomas de Topete, de Isabel II y de Luengo",Ceuta,1,35.89257,-5.357019,174,6,2021
2832767601,Caprimulgus europaeus,MA,Morocco - Taghramt,,1,35.8781,-5.4254,227,4,2016
