gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1615930874,Cecropis daurica,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2001
2460094796,Cecropis daurica,MA,,Marrakech - Tensift - Al Haouz,1,31.617979,-7.986106,474,4,2015
2161081119,Cecropis daurica,MA,Farm fields North of Rabat,Gharb-Chrarda-Beni Hssen,1,34.170864,-6.698923,15,4,2018
2131773089,Cecropis daurica,MA,"Unnamed Road, Drâa-Tafilalet, MA (30,286, -5,81)",Sous-Massa-Draa,1,30.28624,-5.810034,703,2,2018
2725950513,Cecropis daurica,MA,Vallée d'Asni,Marrakech-Tensift-Al Haouz,1,31.255966,-7.973832,1151,2,2008
3274847730,Cecropis daurica,MA,"Tizi-n-Tichka, north side",Marrakech-Tensift-Al Haouz,4,31.43119,-7.409849,1251,4,2003
3604597520,Cecropis daurica,MA,Asillah - South Cliffs,Tanger-Tétouan,3,35.451286,-6.0513,22,10,2021
3648867642,Cecropis daurica,MA,Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.204323,-7.857204,2602,4,2006
2699918621,Cecropis daurica,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz (31.2205,-7.8297)",Marrakech-Tensift-Al Haouz,20,31.220545,-7.829734,2458,9,2019
2750385312,Cecropis daurica,MA,Station d'épuration des eaux de Rissani,Meknès-Tafilalet,60,31.26397,-4.271297,755,4,2014
2057867048,Cecropis daurica,MA,"P2030 at 31.238992, -7807048",Marrakech-Tensift-Al Haouz,1,31.238993,-7.807048,1868,3,2017
3205600141,Cecropis daurica,MA,"Icht, R102, Souss Massa, MA (29,059, -8,855)",Guelmim-Es Smara,2,29.058884,-8.854643,516,4,2016
1580116330,Cecropis daurica,MA,Tameslouht,,1,31.509777,-8.060017,556,6,2017
2243777548,Cecropis daurica,MA,Marrakech,,1,31.6386,-8.0055,458,3,2017
