gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1579922013,Charadrius alexandrinus,MA,Massa Ort und Umgebung,,1,30.026857,-9.634752,30,12,2016
3415783999,Charadrius alexandrinus,MA,,Chaouia - Ouardigha,1,33.103719,-7.340582,435,10,2021
1836624944,Charadrius alexandrinus,MA,,Doukkala - Abda,1,32.714494,-9.060931,9,3,2018
3584805119,Charadrius alexandrinus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,2,30.918804,-6.835792,1093,4,2019
2221441098,Charadrius alexandrinus,MA,"Localidad desconocida - (33,015, -8,710)",Doukkala-Abda,1,33.015667,-8.710884,9,12,2018
2095441379,Charadrius alexandrinus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,8,34.855213,-6.270397,8,9,2017
2217436033,Charadrius alexandrinus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,4,2011
1167623463,Charadrius alexandrinus,MA,MA-Tan-Tan- Oued Draa,Guelmim-Es Smara,2,28.532036,-10.958289,9,4,2014
1721517157,Charadrius alexandrinus,MA,Lac Zerouka,Meknès-Tafilalet,2,33.544254,-5.095575,1616,3,2016
2038803894,Charadrius alexandrinus,MA,Station d'épuration des eaux de Rissani,Meknès-Tafilalet,3,31.26397,-4.271297,755,3,2017
3568801237,Charadrius alexandrinus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,2,2016
2112081956,Charadrius alexandrinus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,5,2013
2838214192,Charadrius alexandrinus,MA,Morocco - Dar Bouazza,,1,33.543414,-7.765946,9,10,2019
3731240808,Charadrius alexandrinus,MA,Morocco - Ras El Ma,,10,35.12165,-2.33711,7,9,2021
1338406803,Charadrius alexandrinus,MA,Mündung Qued Cherrat,,1,33.830498,-7.123861,9,4,2015
2777600238,Charadrius alexandrinus,MA,Embouchure de l'oued Draa,Guelmim-Es Smara,3,28.677202,-11.117936,17,11,2013
2792955202,Charadrius alexandrinus,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,3,30.711512,-9.855123,9,3,2019
2723983859,Charadrius alexandrinus,MA,PN Khnifiss--Lagune de Khnifiss,Laâyoune-Boujdour-Sakia el Hamra,65,28.04759,-12.226908,0,4,2018
3566355069,Charadrius alexandrinus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2013
1676835273,Charadrius alexandrinus,MA,Oued Souss / Marokko,,1,30.362211,-9.589691,13,3,2001
1676844399,Charadrius alexandrinus,MA,Oued Massa / Marokko,,1,30.063412,-9.66475,13,3,2001
3387651644,Charadrius alexandrinus,MA,Oued Souss / Marokko,,1,30.362211,-9.589691,13,1,2008
1167623421,Charadrius alexandrinus,MA,MA-Oued Chebeika,Guelmim-Es Smara,3,28.29032,-11.532989,0,4,2014
