gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1733676942,Charadrius hiaticula,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,4,2016
2672021111,Charadrius hiaticula,MA,Magic Park Salé (ماجيك بارك سلا) (ⵎⴰⵊⵉⴽ ⴱⴰⵔⴽ ⵙⵍⴰ),Rabat-Salé-Zemmour-Zaer,16,34.025543,-6.809347,9,4,2019
2233488157,Charadrius hiaticula,MA,بحيرة الواليدية | Lagune d'Oualidia--domaine général,Doukkala-Abda,20,32.736244,-9.039345,4,4,2011
3543228955,Charadrius hiaticula,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,2,2016
2791252825,Charadrius hiaticula,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,12,2019
1723931288,Charadrius hiaticula,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,25,34.855213,-6.270397,8,3,2016
2197092082,Charadrius hiaticula,MA,"Boulevard Prince Moulay Abdellah, Skhirat, Rabat-Salé-Kénitra, MA (33.889, -7.015)",Rabat-Salé-Zemmour-Zaer,25,33.8889,-7.014571,12,9,2018
2097194316,Charadrius hiaticula,MA,"N1, Tamri, Souss-Massa-Draâ, MA (30,711, -9,857)",Sous-Massa-Draa,2,30.711273,-9.856642,9,10,2017
2680729017,Charadrius hiaticula,MA,Fort Bou Jerif,Guelmim-Es Smara,1,29.082088,-10.331371,85,5,2019
2737505834,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,150,30.36236,-9.586773,10,4,2019
3557718761,Charadrius hiaticula,MA,المنتزه الوطني تامري | Tamri NP,Sous-Massa-Draa,1,30.64619,-9.884273,16,9,2021
2836614205,Charadrius hiaticula,MA,Morocco - Khémis zemamra,,1,32.629834,-8.784299,125,11,2018
2833656613,Charadrius hiaticula,MA,Morocco - Oualidia,,4,32.729636,-9.049136,9,3,2019
2170056466,Charadrius hiaticula,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,62,34.855213,-6.270397,8,5,2018
1717849359,Charadrius hiaticula,MA,Plage de Tifnit,Sous-Massa-Draa,3,30.201324,-9.641147,12,2,2016
3543970117,Charadrius hiaticula,EH,Oued Saquiat Al-Hamra--Laayoune,Western Sahara,4,27.161089,-13.185421,22,1,2020
2034603186,Charadrius hiaticula,MA,"EcoLodge L'Ile, Ouarzazarte",Sous-Massa-Draa,10,30.904877,-6.765304,1148,2,2017
3635704970,Charadrius hiaticula,MA,Marais d'el-Hotba,Doukkala-Abda,20,32.916702,-8.815498,0,10,2013
3207675629,Charadrius hiaticula,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,42,33.54445,-7.761624,14,10,2020
921041611,Charadrius hiaticula,MA,"Cap Rhir, Marokko",,1,30.628164,-9.887695,9,12,2001
2755537654,Charadrius hiaticula,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,27,30.070282,-9.662819,21,10,2013
3652954604,Charadrius hiaticula,MA,العرائش -- برك الملح بسافلة اللكوس| Salines du bas Loukkos - Larache,Tanger-Tétouan,1,35.203236,-6.133841,7,12,2021
2670957446,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,150,30.36236,-9.586773,10,4,2019
3581417311,Charadrius hiaticula,MA,"Ain Guedid, Casablanca-Settat, MA (33,556, -7,739)",Grand Casablanca,100,33.555717,-7.739337,8,11,2021
2796147411,Charadrius hiaticula,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,3,31.334959,-5.891968,1554,9,2019
3285374015,Charadrius hiaticula,MA,"Site witheld, Atlantic coast",Doukkala-Abda,8,32.7796,-8.970971,37,4,2009
2145379733,Charadrius hiaticula,MA,"Aoufous, río",Meknès-Tafilalet,1,31.669416,-4.192797,869,3,2018
2720975062,Charadrius hiaticula,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,1,30.711512,-9.855123,9,11,2019
3230234063,Charadrius hiaticula,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,5,30.031328,-9.644645,8,2,2020
1789922125,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,9,2009
2788858526,Charadrius hiaticula,MA,"Imsouane, mer",Sous-Massa-Draa,1,30.84287,-9.819693,21,10,2019
2142771402,Charadrius hiaticula,MA,Magic Park Salé (ماجيك بارك سلا) (ⵎⴰⵊⵉⴽ ⴱⴰⵔⴽ ⵙⵍⴰ),Rabat-Salé-Zemmour-Zaer,13,34.025543,-6.809347,9,3,2018
2048677106,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,36,30.36236,-9.586773,10,3,2017
2203946823,Charadrius hiaticula,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,3,34.013096,-6.813711,11,9,2018
2657098134,Charadrius hiaticula,MA,Marais du Oued Hachef,Tanger-Tétouan,50,35.559982,-5.977306,12,2,2019
2033925845,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,50,30.36236,-9.586773,10,2,2017
2054864777,Charadrius hiaticula,MA,PN Khnifiss--domaine général,Laâyoune-Boujdour-Sakia el Hamra,1,28.001081,-12.342865,7,3,2017
1737173590,Charadrius hiaticula,MA,Oued Massa reserve,Sous-Massa-Draa,8,30.10333,-9.569435,74,5,2016
1792525532,Charadrius hiaticula,MA,Station de traitement d'eau usé de BenAhmed | محطة معالجة المياه العادمة بابن أحمد,Chaouia-Ouardigha,2,33.071087,-7.258047,552,12,2015
1722078575,Charadrius hiaticula,MA,mouth of El Chbeika,Guelmim-Es Smara,9,28.2901,-11.5327,0,3,2016
2139960647,Charadrius hiaticula,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,12,2015
2225653638,Charadrius hiaticula,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,2,34.013096,-6.813711,11,10,2018
2683235801,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,150,30.36236,-9.586773,10,4,2019
2751779922,Charadrius hiaticula,MA,Salines de Sidi Moussa,Doukkala-Abda,250,32.997078,-8.73114,7,9,2019
2218526445,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,11,2018
2670931456,Charadrius hiaticula,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,1,30.627277,-9.886665,9,4,2019
1791259345,Charadrius hiaticula,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,10,2007
2792568196,Charadrius hiaticula,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,9,30.070282,-9.662819,21,10,2013
3677045191,Charadrius hiaticula,MA,"Ain Guedid, Casablanca-Settat, MA (33,556, -7,739)",Grand Casablanca,36,33.555717,-7.739337,8,11,2021
3198765609,Charadrius hiaticula,MA,"Marsh area, Road 316, El Jadida",Doukkala-Abda,6,33.13284,-8.593956,57,5,2010
2670171124,Charadrius hiaticula,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,4,34.013096,-6.813711,11,4,2019
1363541330,Charadrius hiaticula,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,1,30.711512,-9.855123,9,4,2015
2767046648,Charadrius hiaticula,MA,"Casablanca-Settat, MA (32,923, -8,811)",Doukkala-Abda,7,32.92253,-8.811122,7,8,2019
2797222905,Charadrius hiaticula,MA,Chotts de Bouarfa,L'Oriental,1,32.55209,-1.631611,1205,11,2019
2161779195,Charadrius hiaticula,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,5,30.918804,-6.835792,1093,4,2018
2708138032,Charadrius hiaticula,MA,Salines de Sidi Moussa,Doukkala-Abda,1,32.997078,-8.73114,7,10,2019
3199511293,Charadrius hiaticula,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2012
2663120603,Charadrius hiaticula,MA,"Unnamed Road, Inezgane, Souss Massa, MA (30,346, -9,569)",Sous-Massa-Draa,200,30.345942,-9.568555,8,3,2019
1779756583,Charadrius hiaticula,MA,Plage Ras R'mel,Tanger-Tétouan,5,35.20644,-6.149039,7,11,2016
3203514630,Charadrius hiaticula,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,3,2008
3215957657,Charadrius hiaticula,MA,MA-Mohammedia (Remnat Marsh),Grand Casablanca,30,33.667343,-7.44665,8,4,2019
2206102224,Charadrius hiaticula,MA,Plage de Tifnit,Sous-Massa-Draa,10,30.201324,-9.641147,12,8,2018
3212657417,Charadrius hiaticula,MA,PN Khnifiss--Lagune de Khnifiss,Laâyoune-Boujdour-Sakia el Hamra,100,28.04759,-12.226908,0,2,2010
2176421107,Charadrius hiaticula,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,12,2012
3229694914,Charadrius hiaticula,MA,Embouchure de l'oued Draa,Guelmim-Es Smara,3,28.677202,-11.117936,17,3,2020
1765610286,Charadrius hiaticula,MA,Casablanca,Grand Casablanca,1,33.59707,-7.568443,24,9,2000
2660535859,Charadrius hiaticula,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,2,31.093885,-4.051035,696,3,2019
3602585262,Charadrius hiaticula,MA,"Sidi Abed, MA (33,017, -8,714)",Doukkala-Abda,1,33.01707,-8.714498,8,4,2021
3665920936,Charadrius hiaticula,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,92,30.36236,-9.586773,10,8,2021
