gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
965817549,Circus pygargus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,9,2013
3715845683,Circus pygargus,MA,Morocco - Tagdilt Track,,1,31.320095,-5.887096,1579,3,2019
1786474586,Circus pygargus,MA,Assif Amerzgane,Sous-Massa-Draa,1,31.038475,-7.215571,1324,3,2015
3139748838,Circus pygargus,MA,"45006, Ouarzazate MA-Souss-Massa-Drâa 30.90734, -6.86358",Sous-Massa-Draa,2,30.907345,-6.863577,1114,3,2020
1402857176,Circus pygargus,MA,Tagdilt Track,Sous-Massa-Draa,1,31.323828,-5.961842,1523,5,2015
2095461736,Circus pygargus,MA,PN de Bouhachem,Tanger-Tétouan,1,35.260136,-5.412179,981,9,2017
3272942674,Circus pygargus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,4,2003
2181342143,Circus pygargus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,5,2018
2154518383,Circus pygargus,MA,"(33,7085,-6,9256)",Rabat-Salé-Zemmour-Zaer,2,33.70845,-6.925769,273,4,2018
1763584026,Circus pygargus,MA,Assif Amerzgane,Sous-Massa-Draa,3,31.038475,-7.215571,1324,4,2008
2718353907,Circus pygargus,MA,Vallée des Oiseaux (Tagdilt Track)--ancienne piste,Sous-Massa-Draa,1,31.328703,-5.922575,1551,4,2006
2674395559,Circus pygargus,MA,Fôret Urbaine de Dar es-Salam,Rabat-Salé-Zemmour-Zaer,1,33.916267,-6.853956,107,3,2019
1769574139,Circus pygargus,MA,by Oued Ksob NE. of Diabat (just S. of Essaouira),Marrakech-Tensift-Al Haouz,1,31.4851,-9.7657,10,10,2016
1396340259,Circus pygargus,MA,Ikniouen turn off,Sous-Massa-Draa,1,31.327,-5.8863,1573,4,2007
1411077211,Circus pygargus,MA,R403 francolin site,Chaouia-Ouardigha,1,33.710526,-6.925705,285,3,2011
3282488313,Circus pygargus,MA,Observatorio de La Venta,Tanger-Tétouan,1,35.87485,-5.457671,205,9,2007
3181866265,Circus pygargus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,4,2003
2182950926,Circus pygargus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,5,2018
2681992233,Circus pygargus,MA,"(34.8417,-6.2341)",Gharb-Chrarda-Beni Hssen,1,34.84169,-6.234111,16,4,2019
3214974164,Circus pygargus,MA,Cap Malabata,Tanger-Tétouan,2,35.816746,-5.749175,59,8,2001
2054237420,Circus pygargus,MA,Oued Masa – Sidi Binzarne road,Sous-Massa-Draa,2,30.048294,-9.648356,8,4,2017
3132031433,Circus pygargus,MA,Guelmim -- Plage Blanche road,Guelmim-Es Smara,1,29.023226,-10.383924,171,1,2016
3300717102,Circus pygargus,MA,Observatorio El Cañón,Tanger-Tétouan,3,35.83419,-5.581235,34,8,2004
2038453683,Circus pygargus,MA,Al khroub,Tanger-Tétouan,1,35.390026,-5.762544,46,3,2017
825102016,Circus pygargus,MA,Midelt area,Meknès-Tafilalet,1,32.70592,-4.731586,1426,3,2001
3658824430,Circus pygargus,MA,Tabourahte,Sous-Massa-Draa,3,30.977434,-7.115818,1202,4,2008
2220243858,Circus pygargus,MA,Oued Boukila,Guelmim-Es Smara,1,28.919855,-10.154157,214,2,2016
2160774216,Circus pygargus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,5,2018
3221078817,Circus pygargus,MA,"45006, Ouarzazate MA-Souss-Massa-Drâa 30.90734, -6.86358",Sous-Massa-Draa,2,30.907345,-6.863577,1114,3,2020
2729950379,Circus pygargus,MA,Steppe d'Asilah,Tanger-Tétouan,3,35.57608,-5.959396,61,3,2007
826719912,Circus pygargus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,4,2012
2136568718,Circus pygargus,MA,Ruta Souss Massa-Tarudant-Aoulouz-Ourzazate-Agdz,Sous-Massa-Draa,2,30.665703,-8.18121,687,4,2006
2770509688,Circus pygargus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,3,2016
3164053659,Circus pygargus,ES,Ceuta--Edificio Cariño,Ceuta,2,35.9023,-5.346128,16,4,2020
1790204300,Circus pygargus,ES,"Ceuta, playa Benítez",Ceuta,1,35.90096,-5.344425,3,9,2014
2760110414,Circus pygargus,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,3,2019
2157974447,Circus pygargus,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,2,31.334959,-5.891968,1554,4,2007
2700260336,Circus pygargus,MA,Dchar Lechehba مدشر لشهبة,Tanger-Tétouan,5,35.80007,-5.568318,85,8,2004
2666533186,Circus pygargus,MA,"Pin on owl spot. (34.8520,-6.2365)",Gharb-Chrarda-Beni Hssen,1,34.851986,-6.236473,13,4,2019
