gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
921111749,Cisticola juncidis,MA,Oued Massa / Marokko,,1,30.063412,-9.66475,13,1,2009
1617130335,Cisticola juncidis,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,5,2009
1615923745,Cisticola juncidis,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,12,2002
3135651129,Cisticola juncidis,MA,"N13, Fez-Meknès, MA (34,362, -5,495)",Gharb-Chrarda-Beni Hssen,1,34.36158,-5.494635,43,2,2020
3531340551,Cisticola juncidis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,1,2010
2801256696,Cisticola juncidis,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,8,33.54445,-7.761624,14,11,2019
1786471741,Cisticola juncidis,MA,Riad Dar Jemour,Marrakech-Tensift-Al Haouz,2,31.569626,-7.749105,570,3,2015
3682007940,Cisticola juncidis,ES,Loma Rubio/Loma Colmenar,Ceuta,2,35.882053,-5.339087,14,4,2021
2765121297,Cisticola juncidis,MA,واد ماسة -- الجوابر | Oued Massa-- Mares d'El Jouaber,Sous-Massa-Draa,2,29.922,-9.623,14,9,2013
3215187739,Cisticola juncidis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2006
1615923477,Cisticola juncidis,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,10,2001
1615923766,Cisticola juncidis,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,12,2002
1620347965,Cisticola juncidis,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2016
3562439550,Cisticola juncidis,MA,Oued Souss--pont d'Inezgane,Sous-Massa-Draa,1,30.346031,-9.568678,8,10,2021
1784891579,Cisticola juncidis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,2,34.24279,-6.672684,7,4,2015
3242254466,Cisticola juncidis,MA,"Guelmim-Oued Noun, MA (28.935, -9.949)",Guelmim-Es Smara,1,28.935297,-9.948977,284,3,2020
2203763454,Cisticola juncidis,MA,Issen,Sous-Massa-Draa,1,30.471968,-9.214823,115,11,2018
3694285434,Cisticola juncidis,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,8,33.54445,-7.761624,14,12,2021
2793183343,Cisticola juncidis,MA,Oued Massa Ferry,Sous-Massa-Draa,1,30.046137,-9.647542,8,4,2018
3527637082,Cisticola juncidis,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,16,33.54445,-7.761624,14,4,2021
3235703142,Cisticola juncidis,ES,"Arroyo del Infierno--Embalse/Azud ""acceso parcialmente restringido""",Ceuta,1,35.89061,-5.347041,50,5,2020
3236564009,Cisticola juncidis,MA,"Unnamed Road, Souss Massa, MA (30.031, -9.644)",Sous-Massa-Draa,6,30.030945,-9.644008,8,2,2020
1789064216,Cisticola juncidis,MA,Kasbah Perle du Dades,Sous-Massa-Draa,2,31.322363,-6.006032,1499,10,2013
1738807123,Cisticola juncidis,MA,Amane Saïrine,Meknès-Tafilalet,1,33.612816,-5.428512,958,5,2016
2167118264,Cisticola juncidis,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,3,34.013096,-6.813711,11,6,2018
