gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1677032335,Delichon urbicum,MA,Agadir,,1,30.392876,-9.650591,0,11,2001
1677032179,Delichon urbicum,MA,Rabat / Marokko,,1,34.026485,-6.833496,27,3,2001
2132302439,Delichon urbicum,MA,"P30, Souss Massa, MA (29,852, -7,263)",Guelmim-Es Smara,1,29.852392,-7.263398,505,1,2018
2204716374,Delichon urbicum,MA,Route touristique des Cèdres | الطريق السياحية للمحمية الطبيعية للأرز,Meknès-Tafilalet,2,33.41931,-5.18162,1762,10,2018
3112831560,Delichon urbicum,MA,,Chaouia - Ouardigha,1,33.070039,-7.255054,586,5,2021
1620244675,Delichon urbicum,ES,Barriadas campo exterior,Ceuta,1,35.88333,-5.31667,0,3,2018
2182593930,Delichon urbicum,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,9,33.07076,-7.232351,632,6,2018
2171515503,Delichon urbicum,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,5,2018
1791474201,Delichon urbicum,MA,Oued Tichka--Tazilda,Marrakech-Tensift-Al Haouz,8,31.428505,-7.408679,1273,4,2005
2147114498,Delichon urbicum,MA,"(31.2132,-7.4335)",Sous-Massa-Draa,2,31.213219,-7.433505,1834,3,2018
2112081032,Delichon urbicum,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,6,31.201849,-7.859733,2609,5,2013
3210444881,Delichon urbicum,MA,Marrakech Area,Marrakech-Tensift-Al Haouz,1,31.622145,-7.984714,472,2,2015
1369682859,Delichon urbicum,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,3,31.201849,-7.859733,2609,5,2015
2757445736,Delichon urbicum,MA,Station de traitement d'eau usé de BenAhmed | محطة معالجة المياه العادمة بابن أحمد,Chaouia-Ouardigha,43,33.071087,-7.258047,552,5,2019
3523185420,Delichon urbicum,MA,"Barrage Moukhtar Soussi, Morocco",Sous-Massa-Draa,2,30.73269,-7.983874,908,3,2021
1735667044,Delichon urbicum,MA,Oued Ziz--au nord d'Erfoud,Meknès-Tafilalet,5,31.495537,-4.191659,825,3,2016
1203278804,Delichon urbicum,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,1,31.334959,-5.891968,1554,5,2008
3664470828,Delichon urbicum,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,5,33.07076,-7.232351,632,8,2021
3211590124,Delichon urbicum,MA,"Km 17, Taghazout",Sous-Massa-Draa,2,30.529898,-9.690965,22,11,2020
3905047261,Delichon urbicum,MA,Morocco - Ben Ahmed,,4,33.069695,-7.236325,630,6,2022
2840291581,Delichon urbicum,MA,Morocco - Tabant,,6,31.642493,-6.462421,1808,4,2016
3730828571,Delichon urbicum,MA,Morocco - Ain Dorbane,,40,33.0709,-7.2585,549,5,2021
921467378,Delichon urbicum,MA,Qued Massa - Flusslauf oberhalb von Massa,,1,29.989136,-9.664879,15,1,2014
2133081950,Delichon urbicum,MA,Vallée des Roses--domaine générale,Sous-Massa-Draa,10,31.34626,-6.168351,1518,2,2018
825209839,Delichon urbicum,MA,Lac El Mansour,Sous-Massa-Draa,32,30.930103,-6.858297,1117,2,2006
3623272554,Delichon urbicum,EH,Oasis Lemseyed,Western Sahara,11,27.042557,-13.094582,59,1,2010
1676968043,Delichon urbicum,MA,Sidi Slimane / Marokko,,1,34.267433,-5.93605,38,3,2001
2715425786,Delichon urbicum,MA,"(31,222, -7,828)",Marrakech-Tensift-Al Haouz,2,31.222189,-7.8279,2441,4,2019
1791471510,Delichon urbicum,MA,Auberge Derkaoua,Meknès-Tafilalet,2,31.28981,-4.091935,747,4,2005
3270525485,Delichon urbicum,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,2,33.54445,-7.761624,14,10,2020
1369698540,Delichon urbicum,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,2,34.24279,-6.672684,7,5,2015
3682766782,Delichon urbicum,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,12,33.07076,-7.232351,632,3,2021
