gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2765398581,Dendrocopos major,MA,Oued Dades--Boumalne,Sous-Massa-Draa,1,31.369457,-5.988785,1522,11,2019
2691785173,Dendrocopos major,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz (31.2635,-7.8199)",Marrakech-Tensift-Al Haouz,3,31.26347,-7.819932,1525,4,2019
3211976133,Dendrocopos major,MA,Lac Zerouka,Meknès-Tafilalet,1,33.544254,-5.095575,1616,11,2012
3213391385,Dendrocopos major,MA,Boumalne Dades,Sous-Massa-Draa,1,31.37075,-5.984126,1593,12,2006
2096678635,Dendrocopos major,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,9,2017
2030708653,Dendrocopos major,MA,Fôret Urbaine de Ibn Sina/Fôret Hilton (غابة نزهة ابن سينا),Rabat-Salé-Zemmour-Zaer,1,33.986443,-6.842294,67,1,2017
2154711231,Dendrocopos major,MA,P2030 stop#2,Marrakech-Tensift-Al Haouz,1,31.230894,-7.811193,1999,5,2018
2131929101,Dendrocopos major,MA,Oued Tichka--Tazilda,Marrakech-Tensift-Al Haouz,1,31.428505,-7.408679,1273,3,2018
2694140158,Dendrocopos major,MA,Ouirgane (Mandar Kebir),Marrakech-Tensift-Al Haouz,1,31.1762,-8.0737,917,9,2017
2873761913,Dendrocopos major,MA,,Marrakech - Tensift - Al Haouz,1,31.255455,-7.972767,1141,1,2015
3961081444,Dendrocopos major,MA,,Meknès - Tafilalet,1,33.658194,-5.044165,1486,10,2022
2705014788,Dendrocopos major,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,1,31.1371,-7.9205,1725,10,2019
1761522026,Dendrocopos major,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,1,31.1371,-7.9205,1725,9,2016
2781850894,Dendrocopos major,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2016
1743883558,Dendrocopos major,MA,For�t de Jabaa (6.8 km due NW. of Ifrane),Meknès-Tafilalet,2,33.5489,-5.1805,1592,5,2016
3550091923,Dendrocopos major,MA,Lac Zerouka,Meknès-Tafilalet,1,33.544254,-5.095575,1616,11,2012
3191904683,Dendrocopos major,ES,Sierra Bullones--Renegado/Anyera/Aranguren/mirador de Benzú,Ceuta,1,35.90542,-5.372675,221,7,2020
2715904301,Dendrocopos major,MA,Zaer region between Sidi Yahya des Zaers and Sidi Bettache,Rabat-Salé-Zemmour-Zaer,1,33.717056,-6.929234,275,4,2001
3542299455,Dendrocopos major,MA,Lac Aoua,Meknès-Tafilalet,1,33.65515,-5.04249,1470,3,2013
2671019655,Dendrocopos major,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,2,33.48899,-5.144713,1718,4,2019
2772980913,Dendrocopos major,MA,La Belle Vue R203,Sous-Massa-Draa,1,30.86068,-8.376893,2042,3,2018
2046681231,Dendrocopos major,MA,Zone d'épuration de Missour,Fès-Boulemane,1,33.04657,-3.981377,868,3,2017
3646294653,Dendrocopos major,ES,"Mendicuti/Lomas de Topete, de Isabel II y de Luengo",Ceuta,1,35.89257,-5.357019,174,4,2021
2768327638,Dendrocopos major,MA,"Boumalne Dades (31.4145, -6.0023)",Sous-Massa-Draa,1,31.4145,-6.0023,1553,5,2019
3585182507,Dendrocopos major,MA,"Upper Pine forest, Oukaïmeden Park",Marrakech-Tensift-Al Haouz,1,31.229877,-7.821068,2360,10,2021
1762618245,Dendrocopos major,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,9,2016
3246044884,Dendrocopos major,ES,Sierra Bullones--Renegado/Anyera/Aranguren/mirador de Benzú,Ceuta,1,35.90542,-5.372675,221,9,2020
3214654811,Dendrocopos major,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,1,33.48899,-5.144713,1718,4,2011
2129435798,Dendrocopos major,MA,Kasbah du Toubkal,Marrakech-Tensift-Al Haouz,1,31.131992,-7.919023,1831,12,2015
2191124705,Dendrocopos major,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,10,2018
3294885129,Dendrocopos major,MA,PN Ifran--Dayet Iffer,Fès-Boulemane,1,33.606663,-4.907874,1515,3,2009
2173705044,Dendrocopos major,MA,Fôret Toufliht,Marrakech-Tensift-Al Haouz,3,31.478024,-7.434708,1465,5,2018
3576101270,Dendrocopos major,MA,"RP2030, Al Haouz MA-Marrakech-Tensift-Al Haouz 31.26430, -7.81915",Marrakech-Tensift-Al Haouz,1,31.264297,-7.819146,1517,10,2021
2679742260,Dendrocopos major,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,2,33.48899,-5.144713,1718,4,2019
2083155815,Dendrocopos major,MA,PN de Bouhachem,Tanger-Tétouan,1,35.260136,-5.412179,981,9,2017
1370840533,Dendrocopos major,MA,Vallée de l'Ourika,Marrakech-Tensift-Al Haouz,2,31.239517,-7.664165,1364,3,2015
2771128038,Dendrocopos major,ES,Monte de Anyera,Ceuta,2,35.89861,-5.373173,337,5,2019
