gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2718991558,Eremophila alpestris,MA,Lago Isli,Meknès-Tafilalet,1,32.221336,-5.533134,2297,6,2017
2048048232,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,12,31.201849,-7.859733,2609,2,2017
2832361450,Eremophila alpestris,MA,Morocco - Oukaïmedene,,30,31.204045,-7.861814,2626,4,2013
2832231731,Eremophila alpestris,MA,Morocco - Oukaïmedene,,1,31.200872,-7.862263,2643,3,2012
2832328524,Eremophila alpestris,MA,Morocco - Oukaïmedene,,10,31.206477,-7.852975,2595,2,2009
2839459396,Eremophila alpestris,MA,Morocco - Oukaïmedene,,20,31.200131,-7.859092,2613,3,2014
2683134082,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,4,2019
3254999167,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,15,31.201849,-7.859733,2609,2,2020
2243593498,Eremophila alpestris,MA,Oukaimeden,,1,31.1982,-7.8587,2633,4,2012
2243844691,Eremophila alpestris,MA,"Oukaimeden (village), Marrakech-Tensift-Al Haouz",,1,31.2057,-7.8583,2619,2,2019
2243845264,Eremophila alpestris,MA,"Oukaimeden (village), Marrakech-Tensift-Al Haouz",,1,31.2057,-7.8583,2619,2,2019
3753054483,Eremophila alpestris,MA,"Oukaimeden, Al Haouz, Marrakesh-Safi",,1,31.2049,-7.8601,2618,3,2022
2243850626,Eremophila alpestris,MA,"Al Haouz, Marrakech-Safi",,1,31.2066,-7.8446,2600,3,2019
2243844583,Eremophila alpestris,MA,"Oukaimeden (village), Marrakech-Tensift-Al Haouz",,1,31.2057,-7.8583,2619,2,2019
2609683544,Eremophila alpestris,MA,"Oukaïmeden, Al Haouz, Marrakech-Safi",,1,31.2031,-7.8611,2614,4,2017
3161406252,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,6,31.201849,-7.859733,2609,3,2014
3214148130,Eremophila alpestris,MA,Plaines de Zaida,Meknès-Tafilalet,4,32.791946,-4.944277,1483,3,2008
3577624843,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,11,2021
1763517473,Eremophila alpestris,MA,Tizi n'Tichka,Marrakech-Tensift-Al Haouz,2,31.36109,-7.390087,1590,4,2008
2795110397,Eremophila alpestris,MA,Vallée des Oiseaux (Tagdilt Track)--ancienne piste,Sous-Massa-Draa,1,31.328703,-5.922575,1551,9,2019
2661920586,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,4,31.201849,-7.859733,2609,2,2019
1794595926,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2013
2666061836,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,10,31.201849,-7.859733,2609,4,2019
2750124350,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,6,31.201849,-7.859733,2609,4,2019
2160302930,Eremophila alpestris,MA,High ridge top above Oukaimeden,Marrakech-Tensift-Al Haouz,3,31.20056,-7.869651,2693,4,2018
2736829425,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,10,31.201849,-7.859733,2609,2,2019
2772052241,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,5,31.201849,-7.859733,2609,9,2019
2718363541,Eremophila alpestris,MA,Oukaimden (2300-2500 m) (amb Imad Cherkaoui),Marrakech-Tensift-Al Haouz,1,31.195,-7.855,2636,5,2006
3556373376,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,3,31.201849,-7.859733,2609,12,2008
2229827048,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,31,31.201849,-7.859733,2609,11,2018
2791629862,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,1,2017
3298821598,Eremophila alpestris,MA,Tabeliamout,Meknès-Tafilalet,15,33.265926,-5.073023,1805,3,2006
1203528864,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2007
2724711125,Eremophila alpestris,MA,Lac Aguelmame Sidi Ali,Meknès-Tafilalet,1,33.075,-4.994767,2081,2,2010
3266687952,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,15,31.201849,-7.859733,2609,11,2012
2207495615,Eremophila alpestris,MA,Plaines de Zaida,Meknès-Tafilalet,3,32.791946,-4.944277,1483,2,2015
2742370695,Eremophila alpestris,MA,Oukaimden ski resort,Marrakech-Tensift-Al Haouz,30,31.193632,-7.852688,2646,3,2019
2165403527,Eremophila alpestris,MA,Zaida Plains,Meknès-Tafilalet,1,32.79427,-4.930335,1508,4,2018
3645545867,Eremophila alpestris,MA,Oukaïmeden,Marrakech-Tensift-Al Haouz,12,31.204323,-7.857204,2602,4,2006
2771625486,Eremophila alpestris,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,6,31.201849,-7.859733,2609,2,2017
