gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3677513145,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,7,35.965782,-5.609035,0,4,2021
2220440903,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,3,2016
3187721704,Fratercula arctica,MA,Banc de Tangier (sorties pélagiques),Tanger-Tétouan,1,35.923325,-5.704093,0,4,2009
2729553604,Fratercula arctica,ES,"2 Calle el Españoleto, Ceuta, Ceuta, ES (35,882, -5,325)",Ceuta,1,35.882275,-5.324683,0,12,2018
1764089870,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,50,35.965782,-5.609035,0,3,2007
2766102977,Fratercula arctica,ES,Punta Blanca,Ceuta,10,35.91375,-5.360241,1,2,2018
3515039097,Fratercula arctica,ES,Seleccionado automáticamente,Andalucía,21,35.93271,-5.595104,0,3,2021
3549193731,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,5,35.965782,-5.609035,0,4,2021
2782826180,Fratercula arctica,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,2,35.91514,-5.362894,6,12,2009
3553701784,Fratercula arctica,ES,Canal Estrecho Gibraltar,Ceuta,5,35.99002,-5.348177,0,3,2021
2712353539,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,122,35.965782,-5.609035,0,3,2011
2787974081,Fratercula arctica,ES,Punta Blanca,Ceuta,1,35.91375,-5.360241,1,4,2017
4057859342,Fratercula arctica,MA,Morocco - Larache - salines de Lixus,,7,35.207173,-6.149864,10,1,2023
2726780461,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,4,2011
3655787811,Fratercula arctica,ES,Seleccionado automáticamente,Andalucía,21,35.93271,-5.595104,0,3,2021
3592819291,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,5,35.965782,-5.609035,0,4,2021
1759577018,Fratercula arctica,ES,Tarifa--Offshore,Andalucía,50,35.965782,-5.609035,0,3,2007
3515038525,Fratercula arctica,ES,Seleccionado automáticamente,Andalucía,21,35.93271,-5.595104,0,3,2021
2126711615,Fratercula arctica,ES,"N-354, Ceuta, ES (35,914, -5,362)",Ceuta,10,35.91447,-5.362233,15,2,2018
3627070911,Fratercula arctica,ES,Seleccionado automáticamente,Andalucía,21,35.93271,-5.595104,0,3,2021
2659727391,Fratercula arctica,ES,Straits of Gibraltar,Andalucía,1,35.947544,-5.62088,0,3,2016
