gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1615097777,Galerida theklae,ES,Monte mendizabal,Ceuta,1,35.88333,-5.31667,0,8,2018
3061614489,Galerida theklae,MA,,Marrakech - Tensift - Al Haouz,1,31.434109,-9.718208,74,3,2021
921909268,Galerida theklae,MA,Wüste südöstlich Boumalne (Tagdilt-Track),,1,31.346014,-5.934677,1532,12,2013
921862746,Galerida theklae,MA,N10 südlich Timedline,,1,30.852711,-7.268822,1449,1,2014
1677180894,Galerida theklae,MA,Mittlerer Atlas / Marokko,,1,32.865746,-4.949341,1520,3,2001
1807830406,Galerida theklae,MA,"Marrakech, Innenstadt",,1,31.623129,-7.995515,469,11,2017
1677162684,Galerida theklae,MA,Massa Ort und Umgebung,,1,29.941687,-9.647635,21,11,2001
2208616308,Galerida theklae,MA,Agadir - Beach north of the Marina,Sous-Massa-Draa,1,30.439674,-9.650419,9,2,2016
2182899829,Galerida theklae,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,5,2018
3747343267,Galerida theklae,MA,,Marrakech - Tensift - Al Haouz,1,31.862435,-7.762868,590,2,2016
2135717784,Galerida theklae,MA,Ighri Tea Stop,Sous-Massa-Draa,2,30.468798,-7.723947,1631,3,2017
1166045835,Galerida theklae,MA,MA-Imlil- col,Marrakech-Tensift-Al Haouz,4,31.150389,-7.891085,2335,4,2014
1743877739,Galerida theklae,MA,2.2 km due E. of N13 at 6.2 km due SE. of Ze�da (centre),Meknès-Tafilalet,1,32.7923,-4.9028,1509,5,2016
3209318811,Galerida theklae,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,4,31.1371,-7.9205,1725,1,2015
2756743324,Galerida theklae,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,4,30.070282,-9.662819,21,9,2013
3142446447,Galerida theklae,ES,"2G Lugar Loma Colmenar (35,879, -5,34)",Ceuta,1,35.878574,-5.340087,39,2,2020
3289084146,Galerida theklae,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,1,31.334959,-5.891968,1554,3,2018
2716225711,Galerida theklae,MA,Tizi n'Tichka,Marrakech-Tensift-Al Haouz,1,31.36109,-7.390087,1590,4,2010
3577059092,Galerida theklae,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,4,31.486546,-9.769808,9,10,2021
2155774070,Galerida theklae,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,6,30.36236,-9.586773,10,5,2018
2713011440,Galerida theklae,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,4,2019
1402850454,Galerida theklae,MA,SE Azrou,Meknès-Tafilalet,2,33.368267,-5.142074,1917,5,2015
3266650331,Galerida theklae,MA,Sdass,Sous-Massa-Draa,1,30.358929,-8.613439,675,11,2016
1402849110,Galerida theklae,MA,Azrou,Meknès-Tafilalet,1,33.441067,-5.202584,1392,5,2015
2797125689,Galerida theklae,MA,Décharge de Boumalne,Sous-Massa-Draa,11,31.354313,-5.957429,1546,2,2006
3216945059,Galerida theklae,MA,Décharge de Boumalne,Sous-Massa-Draa,3,31.354237,-5.960534,1546,1,2020
3661473160,Galerida theklae,MA,Daya de Tenouchad,Laâyoune-Boujdour-Sakia el Hamra,5,28.051329,-12.137982,10,9,2021
2447826753,Galerida theklae,MA,,Meknès - Tafilalet,1,34.072948,-5.554926,381,1,2014
2745703465,Galerida theklae,MA,Issen,Sous-Massa-Draa,15,30.471968,-9.214823,115,3,2019
3548685083,Galerida theklae,MA,Décharge de Boumalne,Sous-Massa-Draa,6,31.354237,-5.960534,1546,2,2020
3633233977,Galerida theklae,MA,Col du Zad,Meknès-Tafilalet,1,32.98112,-5.06586,2037,4,2018
1165952790,Galerida theklae,MA,PN Khnifiss--domaine général,Laâyoune-Boujdour-Sakia el Hamra,2,28.001081,-12.342865,7,4,2014
2779583307,Galerida theklae,MA,المنتزه الوطني تامري | Tamri NP,Sous-Massa-Draa,1,30.64619,-9.884273,16,4,2017
2716542604,Galerida theklae,MA,N1--Guelmim to Ras Oumlil Charkia,Guelmim-Es Smara,1,28.807169,-10.405918,175,4,2018
2835641135,Galerida theklae,MA,Morocco - Enjil,,1,33.118889,-4.329543,1267,5,2015
3716302318,Galerida theklae,MA,Morocco - Ben Ahmed,,4,33.071602,-7.237966,634,3,2020
4058436718,Galerida theklae,MA,Morocco - Ain Dorbane,,1,33.069865,-7.229233,618,2,2023
2835905505,Galerida theklae,MA,Morocco - Tamri - Parque National,,4,30.631967,-9.882937,36,4,2016
2838792276,Galerida theklae,MA,Morocco - Ait Youl,,3,31.292431,-5.867318,1617,1,2014
3715846367,Galerida theklae,MA,Morocco - Imouzzer,,2,30.662194,-9.492338,1232,1,2019
3997474552,Galerida theklae,MA,Morocco - Sidi Dahbi,,8,33.066268,-7.218804,633,11,2022
2835691585,Galerida theklae,MA,Morocco - Boumalne Dades,,4,31.363602,-5.973925,1566,4,2013
3725106642,Galerida theklae,MA,Morocco - Ain Dorbane,,5,33.068202,-7.223611,618,3,2019
2709538673,Galerida theklae,MA,Assif Amerzgane,Sous-Massa-Draa,2,31.038475,-7.215571,1324,11,2019
2120003255,Galerida theklae,MA,Décharge de Boumalne,Sous-Massa-Draa,2,31.354313,-5.957429,1546,2,2018
3291189573,Galerida theklae,MA,Plaines de Zaida,Meknès-Tafilalet,2,32.791946,-4.944277,1483,3,2006
921879879,Galerida theklae,MA,Wüste südöstlich Boumalne (Tagdilt-Track),,1,31.346014,-5.934677,1532,12,2008
3463279374,Galerida theklae,MA,Ouarzazate,,1,30.921665,-6.923447,1131,12,2017
1677167463,Galerida theklae,MA,Tamri / Marokko,,1,30.698744,-9.83551,12,3,2001
2146775350,Galerida theklae,MA,Station d'épuration de Guelmim,Guelmim-Es Smara,6,28.926205,-10.145052,226,4,2018
3553946769,Galerida theklae,MA,سد الحيمر | El-Haiemer Dam,Chaouia-Ouardigha,5,33.105087,-7.344983,430,9,2021
3219382936,Galerida theklae,MA,R203--champs semi-désertiques entre Marrakesh et Tahnaout,Marrakech-Tensift-Al Haouz,5,31.507856,-7.989421,594,2,2020
3389670991,Galerida theklae,MA,Guelmim - Tan-Tan (Umgebung der N1),,1,28.816252,-10.353799,191,2,2020
1338811096,Galerida theklae,MA,Wüste südöstlich Boumalne (Tagdilt-Track),,1,31.346014,-5.934677,1532,11,2001
3858422875,Galerida theklae,MA,,Chaouia - Ouardigha,1,33.069935,-7.228475,621,5,2022
2243858850,Galerida theklae,MA,"Boulemane Province, Fez-Meknès",,1,33.1695,-4.1439,1248,5,2019
2243844492,Galerida theklae,MA,"Province de Guelmim, Guelmim-Oued Noun",,1,28.9284,-10.0226,255,2,2019
2243778692,Galerida theklae,MA,"Fort Bou-jerif, Guelmin",,1,29.0823,-10.3303,77,9,2008
2243889116,Galerida theklae,MA,near Taliouine,,1,30.563,-7.973,1034,3,2011
2848556513,Galerida theklae,MA,Tafingoult,,1,30.7658,-8.3862,780,3,2013
2243846088,Galerida theklae,MA,"south of Amerzgane, Province de Ouarzazate",,1,30.9786,-7.2149,1282,2,2019
2190065633,Galerida theklae,MA,"P2021, Marrakech-Safi, MA (31,468, -7,55)",Marrakech-Tensift-Al Haouz,1,31.468264,-7.550201,986,6,2018
2110094945,Galerida theklae,MA,Tanger med port,Tanger-Tétouan,3,35.8862,-5.465956,230,9,2017
2794688727,Galerida theklae,MA,"Unnamed Road, Inezgane, Souss Massa, MA (30,346, -9,569)",Sous-Massa-Draa,1,30.346031,-9.568678,8,9,2019
2042874511,Galerida theklae,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,8,30.36236,-9.586773,10,2,2017
2152909111,Galerida theklae,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,10,30.627277,-9.886665,9,3,2018
3299262511,Galerida theklae,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,6,30.627277,-9.886665,9,3,2020
3549277748,Galerida theklae,MA,Oued Souss--pont d'Inezgane,Sous-Massa-Draa,4,30.346031,-9.568678,8,10,2021
1177779304,Galerida theklae,MA,Région de Merzouga,Meknès-Tafilalet,1,31.139582,-4.024086,710,6,2014
970379008,Galerida theklae,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,11,2013
3236137710,Galerida theklae,MA,"Barrage Bin El-Ouidane , Azilal, Tadla Azilal, 70052 (32.092, -6.465)",Tadla-Azilal,8,32.091923,-6.465174,799,2,2020
2142237754,Galerida theklae,MA,Vallee du Paradis (Paradise Valley),Sous-Massa-Draa,1,30.585133,-9.529026,425,4,2018
2031495742,Galerida theklae,MA,MA-Souss-Massa-Drâa-Ouarzazate-45822 - 31.3726x-5.8182,Sous-Massa-Draa,6,31.372574,-5.818187,1466,2,2017
1791470091,Galerida theklae,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,6,31.334959,-5.891968,1554,4,2005
2118835719,Galerida theklae,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,2,30.36236,-9.586773,10,2,2018
2084536470,Galerida theklae,MA,PN Ifrane--domaine général,Meknès-Tafilalet,1,33.560863,-5.199182,1533,9,2017
2100026135,Galerida theklae,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,1,30.711512,-9.855123,9,10,2017
1791789670,Galerida theklae,MA,Sidi Ifni Road,Sous-Massa-Draa,1,29.452602,-10.105978,67,1,2016
