gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2839702829,Gavia immer,MA,Morocco - Salines de Oualidia,,1,32.780106,-8.977575,8,12,2016
1717859167,Gavia immer,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,2,2016
2794078458,Gavia immer,ES,Costa sur—Tarajal/Almadraba/Juan XXIII,Ceuta,1,35.878376,-5.337942,0,12,2013
3773056530,Gavia immer,MA,,Gharb - Chrarda - Béni Hssen,1,34.849312,-6.274498,19,1,2016
3219919733,Gavia immer,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2016
3216823835,Gavia immer,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,1,30.031328,-9.644645,8,1,2020
1717665011,Gavia immer,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,2,2016
2839433011,Gavia immer,MA,Morocco - Salines de Oualidia,,1,32.781861,-8.975715,9,12,2014
2842703823,Gavia immer,MA,Morocco - Sidi Ouassay,,1,30.020108,-9.647303,14,1,2020
2839733373,Gavia immer,MA,Morocco - Salines de Oualidia,,1,32.781861,-8.975715,9,12,2014
2845215530,Gavia immer,MA,Morocco - Sidi Ouassay,,1,30.019967,-9.647268,11,12,2019
2839807881,Gavia immer,MA,Morocco - Salines de Oualidia,,1,32.780106,-8.977575,8,12,2016
