gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3682769895,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,5,2021
2171746035,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,2,30.387526,-9.873276,0,5,2018
2841221659,Hydrobates pelagicus,ES,Spain - Estrecho de Gibraltar,,1,35.962076,-5.588562,0,8,2015
2700387042,Hydrobates pelagicus,MA,Pelagic trip in Atlantic off Agadir,Sous-Massa-Draa,1,30.368135,-9.695435,0,9,2019
1719545272,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,20,30.387526,-9.873276,0,2,2016
3293002357,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,10,2019
3554021107,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,7,2021
2088134769,Hydrobates pelagicus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,2,30.627277,-9.886665,9,10,2017
1716566442,Hydrobates pelagicus,MA,"MA-Agadir-Océan Atlantique - 30.4208x-9.6174 - Feb 17, 2016, 10:40 PM",Sous-Massa-Draa,1,30.420803,-9.617426,4,2,2016
3289621587,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,10,35.965782,-5.609035,0,9,2020
3504374528,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,2,30.387526,-9.873276,0,2,2018
3211891031,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,4,35.965782,-5.609035,0,8,2011
3187668680,Hydrobates pelagicus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,1,30.627277,-9.886665,9,3,2001
2072208861,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,10,35.965782,-5.609035,0,7,2017
2171838236,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,5,2018
2097188627,Hydrobates pelagicus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,2,30.627277,-9.886665,9,10,2017
2782568040,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2019
2787859158,Hydrobates pelagicus,ES,Punta Blanca,Ceuta,3,35.91375,-5.360241,1,4,2011
2049226148,Hydrobates pelagicus,MA,"Atlantic Ocean off Agadir, Morocco",Sous-Massa-Draa,1,30.419283,-9.597697,33,2,2017
2793453606,Hydrobates pelagicus,MA,"Agadir Province (30.3966, -9.5066)",Sous-Massa-Draa,1,30.3966,-9.5066,65,2,2016
2836230798,Hydrobates pelagicus,MA,Morocco - El Mansouria,,20,33.847322,-7.214928,0,8,2017
2138825191,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,9,2012
2155283260,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,2,30.387526,-9.873276,0,5,2018
2836332818,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,1,35.925074,-5.624828,0,9,2017
2155280498,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,5,2018
3690281656,Hydrobates pelagicus,MA,"La Corniche, Témara, Rabat-Salé-Kénitra, MA (33.93, -6.958)",Rabat-Salé-Zemmour-Zaer,76,33.929607,-6.958456,11,10,2021
3206949870,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,11,2020
3996011815,Hydrobates pelagicus,ES,Spain - Estrecho de Gibraltar,,2,35.965781,-5.609035,0,9,2012
2836594772,Hydrobates pelagicus,MA,Morocco - Zaër\n,,11,33.856714,-7.27797,0,8,2016
3584416267,Hydrobates pelagicus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2016
2775038865,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2019
2088034394,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,8,2017
2700706996,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2019
2138810728,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,7,2011
2700379804,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2002
3205008602,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,8,2001
2783493366,Hydrobates pelagicus,MA,Pelagic trip in Atlantic off Agadir,Sous-Massa-Draa,1,30.368135,-9.695435,0,9,2019
3593620793,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,4,2021
3592819286,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,4,2021
3626948744,Hydrobates pelagicus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2016
2678687787,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,3,2019
1395152680,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,10,30.387526,-9.873276,0,9,2015
3214049783,Hydrobates pelagicus,MA,Tarhazout beach and sea,Sous-Massa-Draa,5,30.53803,-9.701885,9,2,2007
2725276754,Hydrobates pelagicus,ES,Costa sur—Tarajal/Almadraba/Juan XXIII,Ceuta,21,35.878376,-5.337942,0,8,2007
2091341628,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,8,2017
3196126447,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2020
3277269294,Hydrobates pelagicus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,3,30.627277,-9.886665,9,7,2010
2712292477,Hydrobates pelagicus,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,1,35.91514,-5.362894,6,2,2009
1754907913,Hydrobates pelagicus,ES,Estrecho de Gibraltar,Andalucía,1,35.943882,-5.561142,0,5,2013
2160705105,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,15,30.387526,-9.873276,0,5,2018
3190571876,Hydrobates pelagicus,MA,"El Hank, Casablanca, Casablanca-Settat, MA (33,614, -7,651)",Grand Casablanca,5,33.614166,-7.65144,9,10,2020
2799986250,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2004
3670601954,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,4,2021
1716568455,Hydrobates pelagicus,MA,"30.3754x-9.7476 - Feb 17, 2016, 10:33 AM",Sous-Massa-Draa,1,30.375399,-9.747634,0,2,2016
2175725557,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,2,30.387526,-9.873276,0,5,2018
2097227913,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,8,35.965782,-5.609035,0,9,2017
2075835820,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,10,35.965782,-5.609035,0,7,2017
2800231426,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,20,30.387526,-9.873276,0,2,2017
2084856120,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,10,35.965782,-5.609035,0,10,2017
3678600632,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,4,2021
1716562816,Hydrobates pelagicus,MA,"30.3563x-9.7011 - Feb 17, 2016, 12:31 PM",Sous-Massa-Draa,4,30.356255,-9.70106,0,2,2016
3567089352,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2021
2781282264,Hydrobates pelagicus,MA,Pelagic trip in Atlantic off Agadir,Sous-Massa-Draa,1,30.368135,-9.695435,0,9,2019
3295523252,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,40,30.387526,-9.873276,0,2,2016
2097906406,Hydrobates pelagicus,ES,"Unnamed Road, Tarifa, Andalucía, ES (35,978, -5,583)",Andalucía,2,35.977642,-5.583234,0,9,2017
2695626142,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2019
2723163329,Hydrobates pelagicus,ES,Costa sur—Tarajal/Almadraba/Juan XXIII,Ceuta,3,35.878376,-5.337942,0,8,2007
2842514945,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,1,35.925916,-5.579816,0,9,2017
2833113071,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,1,35.925074,-5.624828,0,9,2017
2838658952,Hydrobates pelagicus,MA,Morocco - El Mansouria,,10,33.878397,-7.302475,0,7,2013
2840128954,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,1,35.9143,-5.614865,0,9,2017
3823941623,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,2,35.913376,-5.628509,0,5,2022
2160766839,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,15,30.387526,-9.873276,0,5,2018
2832343949,Hydrobates pelagicus,MA,Morocco - Bouznika,,1,33.843882,-7.289429,0,8,2013
2155280125,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,15,30.387526,-9.873276,0,5,2018
2778078815,Hydrobates pelagicus,ES,Tarifa--Offshore,Andalucía,10,35.965782,-5.609035,0,7,2017
1677237939,Hydrobates pelagicus,MA,Oued Souss / Marokko,,1,30.362211,-9.589691,13,3,2001
2833173853,Hydrobates pelagicus,ES,Spain - Estrecho de Gibraltar,,1,35.960055,-5.583179,0,9,2018
2835742182,Hydrobates pelagicus,MA,Morocco - Zaër\n,,12,33.817233,-7.244909,0,9,2014
3995057167,Hydrobates pelagicus,ES,Spain - Estrecho de Gibraltar,,2,35.965781,-5.609035,0,7,2011
3826895726,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,1,35.919102,-5.627859,0,5,2022
2832960052,Hydrobates pelagicus,MA,Morocco - Strait of Gibraltar,,1,35.934776,-5.59927,0,9,2017
1716569396,Hydrobates pelagicus,MA,"30.3949x-9.6967 - Feb 17, 2016, 10:01 AM",Sous-Massa-Draa,3,30.394897,-9.696664,0,2,2016
2709366693,Hydrobates pelagicus,MA,Pelagic trip in Atlantic off Agadir,Sous-Massa-Draa,1,30.368135,-9.695435,0,9,2019
2160716133,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,5,2018
3601520880,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,2,2015
3212670402,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,11,2011
3202636203,Hydrobates pelagicus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,2,2015
2772777377,Hydrobates pelagicus,ES,Benzú,Ceuta,1,35.915916,-5.372888,13,12,2011
