gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2128786571,Hydrocoloeus minutus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,1,2016
3214269818,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,11,2011
2799917833,Hydrocoloeus minutus,ES,Punta Blanca,Ceuta,2,35.91375,-5.360241,1,2,2019
1197722073,Hydrocoloeus minutus,MA,Vallée d'Imouzzer,Sous-Massa-Draa,6,30.676725,-9.477704,1156,10,2014
2798254975,Hydrocoloeus minutus,ES,Punta Blanca,Ceuta,1,35.91375,-5.360241,1,7,2018
2716214603,Hydrocoloeus minutus,MA,Marais d'el-Hotba,Doukkala-Abda,1,32.916702,-8.815498,0,4,2007
3522878613,Hydrocoloeus minutus,MA,أكادير -- شاطئ أنزا | Plage d'Anza,Sous-Massa-Draa,2,30.43855,-9.649985,11,5,2021
3560287072,Hydrocoloeus minutus,ES,Arroyo de Calamocarro,Ceuta,1,35.910793,-5.368713,140,4,2018
2155791079,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
3559545477,Hydrocoloeus minutus,MA,أكادير -- شاطئ أنزا | Plage d'Anza,Sous-Massa-Draa,2,30.43855,-9.649985,11,5,2021
1753520239,Hydrocoloeus minutus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,1,2016
3597139086,Hydrocoloeus minutus,MA,Marais d'el-Hotba,Doukkala-Abda,1,32.916702,-8.815498,0,1,2014
2102482597,Hydrocoloeus minutus,MA,Sidi El Abed,Doukkala-Abda,1,33.044956,-8.689619,13,4,2017
2182902166,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
831752331,Hydrocoloeus minutus,MA,Essaouira,Marrakech-Tensift-Al Haouz,1,31.506634,-9.771564,0,3,2012
1370839393,Hydrocoloeus minutus,MA,Agadir (general area),Sous-Massa-Draa,1,30.419369,-9.608402,10,3,2015
2194389971,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
922142776,Hydrocoloeus minutus,MA,Lac Dayet Srij,,1,31.09923,-4.051569,690,1,2009
2133359332,Hydrocoloeus minutus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,3,2018
2836150418,Hydrocoloeus minutus,MA,Morocco - Saline de sidi moussa,,1,32.995778,-8.730239,9,6,2017
2154614052,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2018
3825857181,Hydrocoloeus minutus,MA,Morocco - Agadir,,1,30.364796,-9.596815,11,5,2022
2153802493,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
3180686399,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2001
2141139575,Hydrocoloeus minutus,MA,Casablanca,Grand Casablanca,2,33.609543,-7.627988,11,3,2018
2158389491,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
3694259250,Hydrocoloeus minutus,MA,Sidi Brahim,Doukkala-Abda,2,32.89937,-8.836402,2,1,2021
2061335687,Hydrocoloeus minutus,MA,Salines de Oualidia,Doukkala-Abda,1,32.786617,-8.96858,8,4,2017
2165402239,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
2160574552,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
3584315006,Hydrocoloeus minutus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2016
3273250467,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2018
830537533,Hydrocoloeus minutus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,3,2012
2160067367,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
2770368317,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,2,2017
3592400705,Hydrocoloeus minutus,MA,Sidi Brahim,Doukkala-Abda,2,32.89937,-8.836402,2,1,2021
1355021218,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2015
3567637233,Hydrocoloeus minutus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2016
2153812817,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
2773770557,Hydrocoloeus minutus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2018
