gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1580125939,Ixobrychus minutus,MA,Qued Ziz - Ziz-Tal längs der Straße N13 und P21,,1,31.814709,-4.269218,948,6,2017
2715391578,Ixobrychus minutus,ES,Arroyo del Infierno,Ceuta,1,35.892666,-5.344787,31,5,2007
829163196,Ixobrychus minutus,MA,Taroudannt,Sous-Massa-Draa,2,30.457632,-8.865192,214,3,2001
2725730382,Ixobrychus minutus,ES,Arroyo del Infierno,Ceuta,1,35.892666,-5.344787,31,8,2007
3203262056,Ixobrychus minutus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,2,34.24279,-6.672684,7,5,2003
2130584851,Ixobrychus minutus,MA,"(29,9875,-9,6515)",Sous-Massa-Draa,1,29.98752,-9.651463,10,3,2018
2776851109,Ixobrychus minutus,MA,Erfoud East - Oued Ziz,Meknès-Tafilalet,1,31.431309,-4.227359,792,4,2019
1402842595,Ixobrychus minutus,MA,Tikioute,Sous-Massa-Draa,5,29.983885,-9.659858,7,5,2015
2128195574,Ixobrychus minutus,MA,"Morocco, Oued Massa",Sous-Massa-Draa,2,29.998064,-9.659052,8,4,2017
1786469796,Ixobrychus minutus,MA,واد ماسة -- بين سيدي وصواي و أغريمز | Oued Massa--route de Sidi Wassay à Aghorimze,Sous-Massa-Draa,2,30.038885,-9.666038,88,4,2015
2176678272,Ixobrychus minutus,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,2,33.54445,-7.761624,14,6,2018
1728247835,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,2,2016
2758409101,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2017
2778377908,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,11,2013
2695392058,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,10,2013
3209174507,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2011
2229647610,Ixobrychus minutus,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,3,30.031328,-9.644645,8,4,2011
3625234696,Ixobrychus minutus,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,6,2012
2695477588,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,10,2013
2749169871,Ixobrychus minutus,MA,Oued Massa (incluedroute El Kharije),Sous-Massa-Draa,2,30.031122,-9.644047,7,3,2007
3572606995,Ixobrychus minutus,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,10,2021
3574903212,Ixobrychus minutus,ES,Arroyo del Infierno,Ceuta,1,35.892666,-5.344787,31,5,2004
1167612310,Ixobrychus minutus,MA,MA-Massa NP- Pont à Ifentar,Sous-Massa-Draa,1,29.961132,-9.658121,9,4,2014
2149454236,Ixobrychus minutus,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,4,2018
2174074065,Ixobrychus minutus,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,1,30.031328,-9.644645,8,5,2018
2698332608,Ixobrychus minutus,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,3,2008
2188311017,Ixobrychus minutus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,4,2016
3523231640,Ixobrychus minutus,ES,Desembocadura del río Oro - Melilla,Melilla,1,35.287426,-2.943157,9,5,2021
3643030923,Ixobrychus minutus,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,9,2021
