gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1620720580,Jynx torquilla,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,3,2013
2743053463,Jynx torquilla,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,1,30.711512,-9.855123,9,2,2019
1620735977,Jynx torquilla,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,4,2012
1620744365,Jynx torquilla,ES,Lomas de los huesos,Ceuta,1,35.88333,-5.31667,0,4,2014
1620782673,Jynx torquilla,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2015
2838106424,Jynx torquilla,MA,Morocco,,1,30.058546,-9.659386,10,2,2010
3133268017,Jynx torquilla,MA,R203--champs semi-désertiques entre Marrakesh et Tahnaout,Marrakech-Tensift-Al Haouz,1,31.507856,-7.989421,594,1,2020
3207234469,Jynx torquilla,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,3,2009
946246703,Jynx torquilla,MA,31.2900x-4.0921 - 7 apr. 2013 21:48,Meknès-Tafilalet,1,31.29003,-4.092097,748,4,2013
3199073518,Jynx torquilla,MA,Erg Chebbi,Meknès-Tafilalet,2,31.174,-3.9867,785,3,2006
2122312619,Jynx torquilla,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2018
1791776430,Jynx torquilla,MA,Auberge Derkaoua,Meknès-Tafilalet,1,31.28981,-4.091935,747,3,2013
2137032672,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2018
2713786574,Jynx torquilla,MA,Ctra. N13--Hotel Yasmina,Meknès-Tafilalet,1,31.238325,-4.079801,738,4,2007
3295721009,Jynx torquilla,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,3,2018
3149211873,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,10,2003
3513064049,Jynx torquilla,ES,Estación de observación O’Donnell,Ceuta,1,35.881878,-5.329693,48,4,2021
2800924734,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2017
832996749,Jynx torquilla,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,4,2012
2716071665,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,9,2013
2679579346,Jynx torquilla,MA,"Drâa-Tafilalet, MA (31.345, -4.097)",Meknès-Tafilalet,1,31.345018,-4.097458,759,3,2019
2767766039,Jynx torquilla,MA,Erfoud East - Oued Ziz,Meknès-Tafilalet,1,31.431309,-4.227359,792,4,2019
2796217641,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,10,2013
2050328925,Jynx torquilla,MA,واد ماسة -- بين سيدي وصواي و أغريمز | Oued Massa--route de Sidi Wassay à Aghorimze,Sous-Massa-Draa,1,30.038885,-9.666038,88,2,2017
2185470814,Jynx torquilla,MA,PN d'el-Hoceima--domaine général,Taza-Al Hoceima-Taounate,1,35.168297,-4.12948,338,1,2015
829167638,Jynx torquilla,MA,Oued Sous,Sous-Massa-Draa,2,30.365845,-9.60265,7,3,2001
3617620970,Jynx torquilla,MA,Tagdilt track south end,Sous-Massa-Draa,1,31.301636,-5.899976,1572,3,2008
2718442482,Jynx torquilla,MA,Auberge Derkaoua,Meknès-Tafilalet,1,31.28981,-4.091935,747,3,2006
2143841870,Jynx torquilla,MA,Escarpement à l'oest de Rissani,Meknès-Tafilalet,1,31.278967,-4.359662,752,3,2018
2696167204,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,2,2017
2690739797,Jynx torquilla,MA,Erg Chebbi--Hassilabied,Meknès-Tafilalet,2,31.143082,-3.998165,740,4,2014
1759481438,Jynx torquilla,MA,Ctra. N13--Hotel Yasmina,Meknès-Tafilalet,1,31.238325,-4.079801,738,4,2007
829179738,Jynx torquilla,MA,Cafe Yasmina,Meknès-Tafilalet,1,31.216536,-3.984706,734,4,2002
1168974885,Jynx torquilla,MA,MA-Tissint- Oued,Guelmim-Es Smara,1,29.90368,-7.314217,544,4,2014
2119819465,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2018
2698692635,Jynx torquilla,MA,Escarpement à l'oest de Imiter,Sous-Massa-Draa,2,31.374048,-5.810267,1467,4,2014
2145723395,Jynx torquilla,MA,Goulmima roadside,Meknès-Tafilalet,1,31.6652,-4.967151,1004,3,2018
2036096235,Jynx torquilla,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,2,2017
2685215677,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,11,2010
1165963067,Jynx torquilla,MA,MA-Tissint- Oued,Guelmim-Es Smara,1,29.90368,-7.314217,544,4,2014
2698091817,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,10,2013
2225585986,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2017
3216210386,Jynx torquilla,MA,Palmeraie d'Igrane,Meknès-Tafilalet,1,31.140299,-4.021103,708,3,2006
2169913060,Jynx torquilla,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2018
2200055014,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2004
2705256725,Jynx torquilla,MA,Marais d'el-Hotba,Doukkala-Abda,1,32.916702,-8.815498,0,10,2019
2727116468,Jynx torquilla,ES,Puerto de Ceuta,Ceuta,2,35.89239,-5.315516,4,10,2004
2790128701,Jynx torquilla,MA,"MA-Meknès-Tafilalet-R702 (31.5140,-4.5900)",Meknès-Tafilalet,1,31.51398,-4.590006,861,4,2019
1202115155,Jynx torquilla,MA,Jorf,Meknès-Tafilalet,1,31.479916,-4.386806,811,4,2005
2749975366,Jynx torquilla,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,4,2017
2104046558,Jynx torquilla,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,11,2002
2708037263,Jynx torquilla,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,11,2013
2140214869,Jynx torquilla,MA,Barrage Aoulouz,Sous-Massa-Draa,1,30.686493,-8.150697,754,3,2018
2838666597,Jynx torquilla,MA,Morocco - Région de Merzouga (Erfoud),,1,31.212954,-3.988846,736,4,2013
922118285,Jynx torquilla,MA,Merzouga und Umgebung,,1,31.094103,-4.011383,688,4,2000
