gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1717659947,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,2,2016
2718358420,Larus hyperboreus,ES,Costa Hacho--Area general,Ceuta,1,35.902905,-5.293331,5,2,2009
1411330284,Larus hyperboreus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,2,2015
2716190495,Larus hyperboreus,ES,Benzú,Ceuta,1,35.915916,-5.372888,13,2,2009
1735120840,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,4,2016
1735121804,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,4,2016
3136683983,Larus hyperboreus,MA,"Khnifiss National Park (28.0289, -12.2393)",Laâyoune-Boujdour-Sakia el Hamra,1,28.0289,-12.2393,19,1,2015
2832635636,Larus hyperboreus,MA,Morocco - Larache - salines de Lixus,,1,35.200278,-6.136188,8,4,2012
1735377289,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,4,2016
1167620590,Larus hyperboreus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,4,2014
1166125512,Larus hyperboreus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,4,2014
1717859119,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,2,2016
1181841004,Larus hyperboreus,MA,Port d'Essaouira - MA-Marrakesh-Tensift-El Haouz-Essaouira - 31.5110x-9.7730 - 26 juil. 2014 09:13,Marrakech-Tensift-Al Haouz,1,31.511028,-9.77305,11,7,2014
3604232764,Larus hyperboreus,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,1,35.91514,-5.362894,6,2,2009
1721514775,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,3,2016
1717666206,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,2,2016
3223152585,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,3,2015
3598381456,Larus hyperboreus,ES,"Ceuta, Ceuta, ES (35,891, -5,308)",Ceuta,1,35.890812,-5.308435,6,2,2021
3270972855,Larus hyperboreus,MA,العرائش -- برك الملح بسافلة اللكوس| Salines du bas Loukkos - Larache,Tanger-Tétouan,1,35.203236,-6.133841,7,2,2012
2725216249,Larus hyperboreus,ES,Bahía Norte,Ceuta,1,35.907772,-5.338785,0,2,2009
1168979183,Larus hyperboreus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,4,2014
1348205671,Larus hyperboreus,MA,PN Khnifiss--domaine général,Laâyoune-Boujdour-Sakia el Hamra,1,28.001081,-12.342865,7,1,2015
3138092991,Larus hyperboreus,MA,"Khnifiss National Park (28.0288, -12.2403)",Laâyoune-Boujdour-Sakia el Hamra,1,28.0288,-12.2403,14,1,2015
2838985742,Larus hyperboreus,MA,Morocco - Larache - salines de Lixus,,1,35.200278,-6.136188,8,4,2012
1182124284,Larus hyperboreus,MA,Port d'Essaouira - MA-Marrakesh-Tensift-El Haouz-Essaouira - 31.5110x-9.7730 - 26 juil. 2014 09:13,Marrakech-Tensift-Al Haouz,1,31.511028,-9.77305,11,7,2014
2725371633,Larus hyperboreus,ES,Playa de Calamocarro,Ceuta,1,35.911804,-5.357037,7,3,2009
1735128864,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,4,2016
1717863589,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,2,2016
1721514751,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,3,2016
1721515854,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,3,2016
2785792877,Larus hyperboreus,ES,Costa sur—Tarajal/Almadraba/Juan XXIII,Ceuta,1,35.878376,-5.337942,0,1,2014
3254171626,Larus hyperboreus,MA,العرائش -- برك الملح بسافلة اللكوس| Salines du bas Loukkos - Larache,Tanger-Tétouan,1,35.203236,-6.133841,7,12,2010
1744728300,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,4,2016
1721433404,Larus hyperboreus,MA,Port d'Essaouira,Marrakech-Tensift-Al Haouz,1,31.50961,-9.773447,12,3,2016
2839591618,Larus hyperboreus,MA,Morocco - Larache - Marais de Larache (ou du bas Loukkos),,1,35.187862,-6.128654,9,2,2012
2540757750,Larus hyperboreus,MA,,Marrakech - Tensift - Al Haouz,1,31.485506,-9.768922,8,4,2014
2840286339,Larus hyperboreus,MA,Morocco - Essaouira,,2,31.489824,-9.770722,12,2,2014
2832631710,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.510924,-9.772968,12,2,2015
2839591615,Larus hyperboreus,MA,Morocco - Larache - Marais de Larache (ou du bas Loukkos),,1,35.163396,-6.10897,9,2,2012
2839143498,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.510833,-9.773188,11,1,2015
2841964969,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.51006,-9.767983,11,4,2015
2838358722,Larus hyperboreus,MA,Morocco - Larache - salines de Lixus,,1,35.200278,-6.136188,8,4,2012
2832165030,Larus hyperboreus,MA,Morocco - Larache - Marais de Larache (ou du bas Loukkos),,1,35.184863,-6.136606,12,12,2010
2835302800,Larus hyperboreus,MA,Morocco - Larache - salines de Lixus,,1,35.200278,-6.136188,8,4,2012
2839381205,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.510508,-9.773683,8,2,2016
2832554600,Larus hyperboreus,MA,Morocco - Lagune de Khnifiss,,1,28.028686,-12.240749,15,1,2015
2841026981,Larus hyperboreus,MA,Morocco - Larache - salines de Lixus,,1,35.202709,-6.134319,8,9,2013
2838751791,Larus hyperboreus,MA,Morocco - Tanger - Tétouan,,1,35.201987,-6.131316,10,12,2010
2841526508,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.510932,-9.773137,11,2,2014
2839164049,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.510362,-9.775772,0,7,2014
2835924624,Larus hyperboreus,MA,Morocco - Essaouira,,1,31.490341,-9.770254,10,4,2014
