gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2736260655,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2749634678,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3131789456,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3131977350,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3216713451,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2680341269,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2731711684,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3216791404,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2773191726,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2841955010,Leucophaeus pipixcan,MA,Morocco - Région de Merzouga (Erfoud),,1,31.098873,-4.046781,697,4,2019
3216781426,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2742035754,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2669636765,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2842137159,Leucophaeus pipixcan,MA,Morocco - Agadir,,1,30.362559,-9.577776,9,3,2016
3719025731,Leucophaeus pipixcan,MA,Morocco - Région de Merzouga (Erfoud),,1,31.097182,-4.046115,693,4,2019
2844102697,Leucophaeus pipixcan,MA,Morocco - Région de Merzouga (Erfoud),,1,31.098066,-4.04749,690,4,2019
3286548043,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2747457027,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2670865554,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3216910474,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2748306343,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3193229994,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3215570832,Leucophaeus pipixcan,MA,MA-Merzouga (Lac Dayet Srij),Meknès-Tafilalet,1,31.103954,-4.048814,695,4,2019
2708933039,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2748916517,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2750062048,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2678789160,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2711423279,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3218712387,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
3216893406,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
2745505923,Leucophaeus pipixcan,MA,ضاية صريج | Dayet Srij,Meknès-Tafilalet,1,31.093885,-4.051035,696,4,2019
1721989204,Leucophaeus pipixcan,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2016
2837181023,Leucophaeus pipixcan,MA,Morocco - Région de Merzouga (Erfoud),,1,31.09718,-4.044904,697,4,2019
2836172356,Leucophaeus pipixcan,MA,Morocco - Agadir,,1,30.361099,-9.584083,11,2,2016
2841326779,Leucophaeus pipixcan,MA,Morocco - Région de Merzouga (Erfoud),,1,31.098085,-4.047331,690,4,2019
2833709288,Leucophaeus pipixcan,MA,Morocco - Région de Merzouga (Erfoud),,1,31.097182,-4.046115,693,4,2019
2836187333,Leucophaeus pipixcan,MA,Morocco - Agadir,,1,30.361056,-9.587574,13,3,2016
