gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2540817961,Motacilla cinerea,MA,,Marrakech - Tensift - Al Haouz,1,31.337369,-8.152647,674,4,2014
3416225282,Motacilla cinerea,MA,,Marrakech - Tensift - Al Haouz,1,31.859419,-7.138515,615,11,2021
2550133141,Motacilla cinerea,MA,,Souss - Massa - Draâ,1,30.588665,-9.525413,301,12,2019
3256526841,Motacilla cinerea,MA,"Missour / Igli (33.053, -3.96)",Fès-Boulemane,1,33.052967,-3.959731,860,10,2020
3537008023,Motacilla cinerea,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,6,2021
2687942556,Motacilla cinerea,MA,Gorges du Dadès,Sous-Massa-Draa,2,31.509192,-5.940685,1664,3,2003
2189464022,Motacilla cinerea,MA,Setti-Fatma--waterfalls trail,Marrakech-Tensift-Al Haouz,4,31.223808,-7.672194,1495,6,2018
3457148951,Motacilla cinerea,MA,,Marrakech - Tensift - Al Haouz,1,31.374442,-7.780309,852,2,2018
1761276001,Motacilla cinerea,MA,Aoufous-Puente al sur,Meknès-Tafilalet,1,31.669065,-4.19225,872,4,2016
1620143581,Motacilla cinerea,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,6,2017
3905600472,Motacilla cinerea,MA,Morocco - Oukaimeden/Ukayemdan/Oukaimden,,1,31.264414,-7.819422,1527,6,2022
2835870956,Motacilla cinerea,MA,Morocco - Oukaïmedene,,1,31.21104,-7.884064,2290,6,2013
3274442150,Motacilla cinerea,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,1,34.00879,-6.847304,26,10,2020
2763457774,Motacilla cinerea,MA,Gorges du Todra,Sous-Massa-Draa,4,31.586287,-5.590968,1575,10,2019
1788108259,Motacilla cinerea,MA,Punta Cires,Tanger-Tétouan,1,35.908447,-5.482022,5,11,2011
922409679,Motacilla cinerea,MA,Brücke über den Sous,,1,30.696383,-8.153572,694,12,2008
1732620079,Motacilla cinerea,MA,Parc National d'Ifrane,Meknès-Tafilalet,4,33.42084,-5.137095,1853,4,2016
