gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
922441287,Numenius phaeopus,MA,Khnifiss Lagune - Marokko,,1,28.009861,-12.270355,8,1,2013
3204179346,Numenius phaeopus,MA,Punta Cires,Tanger-Tétouan,5,35.908447,-5.482022,5,8,2001
2097653576,Numenius phaeopus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,10,2017
2776898722,Numenius phaeopus,MA,Jbel Musa,Tanger-Tétouan,1,35.89877,-5.416012,732,9,2019
2728952879,Numenius phaeopus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,2,34.855213,-6.270397,8,5,2018
2206213418,Numenius phaeopus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,2,2018
1724783602,Numenius phaeopus,MA,Oued Ikkem,Rabat-Salé-Zemmour-Zaer,1,33.892357,-7.004562,12,3,2016
2054027849,Numenius phaeopus,MA,Grand Théatre de Rabat (المسرح الكبير للرباط),Rabat-Salé-Zemmour-Zaer,6,34.02601,-6.814597,10,3,2017
2100022311,Numenius phaeopus,MA,"N1, Souss-Massa-Draâ, MA (30,572, -9,745)",Sous-Massa-Draa,1,30.571829,-9.745399,13,10,2017
3569557690,Numenius phaeopus,MA,Salines de Oualidia,Doukkala-Abda,1,32.781796,-8.973387,7,11,2013
2838136073,Numenius phaeopus,MA,Morocco - Merja Zerga Parque National,,10,34.854503,-6.272078,14,5,2011
2102834916,Numenius phaeopus,MA,Tamraght-Awrir walk,Sous-Massa-Draa,3,30.506075,-9.662476,10,1,2018
2725387102,Numenius phaeopus,ES,Benzú,Ceuta,2,35.915916,-5.372888,13,7,2013
2777733836,Numenius phaeopus,ES,Ceuta--Edificio Cariño,Ceuta,1,35.9023,-5.346128,16,10,2019
1167619373,Numenius phaeopus,MA,MA-Essaouira- port,Marrakech-Tensift-Al Haouz,1,31.509233,-9.774942,18,4,2014
1339153163,Numenius phaeopus,MA,Moulay Bousselham / Marokko,,1,34.879311,-6.28933,57,9,2015
2726930006,Numenius phaeopus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,5,2019
2232759437,Numenius phaeopus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,10,30.185549,-9.627369,90,2,2008
3186786762,Numenius phaeopus,MA,Plage Sidi Bouknadel,Rabat-Salé-Zemmour-Zaer,5,34.121876,-6.758494,26,9,2011
2676743949,Numenius phaeopus,ES,Costa norte--Area general,Ceuta,1,35.90671,-5.348191,30,3,2019
2184790843,Numenius phaeopus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,9,2018
3191946815,Numenius phaeopus,ES,Ceuta--Edificio Cariño,Ceuta,1,35.9023,-5.346128,16,12,2020
1164920759,Numenius phaeopus,MA,PN Khnifiss--domaine général,Laâyoune-Boujdour-Sakia el Hamra,25,28.001081,-12.342865,7,4,2014
2189495843,Numenius phaeopus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,2,30.36236,-9.586773,10,6,2018
2768920719,Numenius phaeopus,MA,Sidi Wassay,Sous-Massa-Draa,3,30.050697,-9.695046,9,10,2013
1187823435,Numenius phaeopus,MA,essaouira,Marrakech-Tensift-Al Haouz,1,31.50363,-9.84375,0,9,2014
3554144599,Numenius phaeopus,ES,Costa norte—Trampolín/Benítez,Ceuta,1,35.898037,-5.341559,16,11,2021
2146977368,Numenius phaeopus,MA,Ouled Salem,Doukkala-Abda,1,32.92425,-8.804402,0,4,2007
2099260876,Numenius phaeopus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,4,34.855213,-6.270397,8,10,2017
3261189645,Numenius phaeopus,MA,Observatorio El Cañón,Tanger-Tétouan,2,35.83419,-5.581235,34,9,2011
2210014803,Numenius phaeopus,MA,Salines de Sidi Moussa,Doukkala-Abda,4,32.997078,-8.73114,7,12,2018
3619308357,Numenius phaeopus,MA,Daya de Ain Guedid | ضاية عين ݣديد,Grand Casablanca,1,33.556343,-7.739297,11,9,2021
2144696417,Numenius phaeopus,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,2,33.54445,-7.761624,14,4,2018
2119845086,Numenius phaeopus,MA,PN Souss-Massa--réserve animalière de Roukein,Sous-Massa-Draa,1,30.28438,-9.580526,24,3,2018
2169782151,Numenius phaeopus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,7,34.013096,-6.813711,11,5,2018
1787668306,Numenius phaeopus,MA,Zonas húmedas al N de Oualidia,Doukkala-Abda,1,32.99524,-8.731835,6,10,2012
1793116629,Numenius phaeopus,MA,Sidi Bouknadel - Sale,Rabat-Salé-Zemmour-Zaer,1,34.14001,-6.743717,31,5,2013
3688875669,Numenius phaeopus,MA,Tifnit,Sous-Massa-Draa,2,30.18722,-9.63196,71,12,2016
2772699001,Numenius phaeopus,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,2,31.486546,-9.769808,9,10,2019
3212090851,Numenius phaeopus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,8,2013
3211726855,Numenius phaeopus,ES,Costa norte—Trampolín/Benítez,Ceuta,2,35.898037,-5.341559,16,11,2020
2661648547,Numenius phaeopus,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,15,34.855213,-6.270397,8,1,2019
2699746765,Numenius phaeopus,ES,"8Z Carretera de Benítez, Ceuta, Ceuta, ES (35,901, -5,344)",Ceuta,1,35.900604,-5.34441,8,9,2019
3569983590,Numenius phaeopus,MA,Salines de Sidi Moussa,Doukkala-Abda,2,32.997078,-8.73114,7,9,2021
2231072419,Numenius phaeopus,MA,Salines de Sidi Moussa,Doukkala-Abda,2,32.997078,-8.73114,7,12,2018
2133560332,Numenius phaeopus,MA,Grand Théatre de Rabat (المسرح الكبير للرباط),Rabat-Salé-Zemmour-Zaer,2,34.02601,-6.814597,10,1,2018
2716274633,Numenius phaeopus,MA,Grand Théatre de Rabat (المسرح الكبير للرباط),Rabat-Salé-Zemmour-Zaer,1,34.02601,-6.814597,10,11,2019
2721373948,Numenius phaeopus,ES,Costa norte—Trampolín/Benítez,Ceuta,1,35.898037,-5.341559,16,11,2019
3560798481,Numenius phaeopus,MA,Sidi Akhfennir,Laâyoune-Boujdour-Sakia el Hamra,1,28.09356,-12.056679,15,8,2021
3550465660,Numenius phaeopus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2016
2802067606,Numenius phaeopus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,1,30.627277,-9.886665,9,3,2016
2719254831,Numenius phaeopus,MA,Cap Malabata,Tanger-Tétouan,11,35.816746,-5.749175,59,8,2004
2801901139,Numenius phaeopus,MA,Salines de Sidi Moussa,Doukkala-Abda,1,32.997078,-8.73114,7,10,2019
2199875106,Numenius phaeopus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,2,34.013096,-6.813711,11,9,2018
3285768920,Numenius phaeopus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,10,34.24279,-6.672684,7,4,2003
