gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3265152577,Oceanodroma leucorhoa,MA,Jetée De Mehdia,Gharb-Chrarda-Beni Hssen,1,34.26241,-6.684754,7,11,2010
2159300785,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,5,2018
2163781400,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,5,2018
2148133373,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,5,2018
2835472486,Oceanodroma leucorhoa,MA,Morocco - Oued Sous,,1,30.364359,-9.605527,6,11,2011
3210683572,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,11,2020
2793637111,Oceanodroma leucorhoa,ES,Punta Blanca,Ceuta,8,35.91375,-5.360241,1,4,2019
2180986628,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,5,2018
1781018279,Oceanodroma leucorhoa,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,11,2013
2076580016,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,2,35.965782,-5.609035,0,8,2017
2838002873,Oceanodroma leucorhoa,MA,Morocco - Gharb - Chrarda - Béni Hssen,,1400,34.269255,-6.689559,0,12,2010
2835853230,Oceanodroma leucorhoa,MA,Morocco - Souss\n,,1,30.344436,-9.953613,0,11,2011
2835395267,Oceanodroma leucorhoa,MA,Morocco - Tamri,,3,30.637912,-9.799805,316,12,2000
2170673623,Oceanodroma leucorhoa,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,5,2018
1205666935,Oceanodroma leucorhoa,ES,Avistamiento de Cetaceos en el Estrecho,Andalucía,1,35.95706,-5.576527,0,9,2009
3272979439,Oceanodroma leucorhoa,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,11,2011
2832229981,Oceanodroma leucorhoa,MA,Morocco - Kenitra - Oued Sebou,,1,34.263864,-6.685782,0,11,2010
2835680422,Oceanodroma leucorhoa,MA,Morocco - Tamri,,1,30.716345,-9.860144,0,2,2010
2838216844,Oceanodroma leucorhoa,MA,Morocco - Rharb\n,,4,35.19934,-6.17466,0,12,2000
2836492870,Oceanodroma leucorhoa,MA,Morocco - Souss\n,,2,30.44068,-9.674379,0,2,2019
2832335594,Oceanodroma leucorhoa,MA,Morocco - Tamri,,3,30.709851,-9.863559,0,2,2010
2833195410,Oceanodroma leucorhoa,MA,Morocco - Agadir,,2,30.428536,-9.816048,0,11,2011
3715360974,Oceanodroma leucorhoa,MA,Morocco - Tanger-Assilah,,20,35.47196,-6.038489,0,11,2017
3715548472,Oceanodroma leucorhoa,MA,Morocco - Mehdya,,1,34.254253,-6.681132,10,11,2016
2832282339,Oceanodroma leucorhoa,MA,Morocco - Kénitra - Lac Sidi Bourhaba PN,,1,34.258396,-6.621881,54,11,2010
2840906877,Oceanodroma leucorhoa,MA,Morocco - Souss\n,,1,30.440725,-9.674541,0,2,2019
2840114524,Oceanodroma leucorhoa,MA,Morocco - Haha\n,,3,30.393677,-9.848658,0,11,2011
3194122983,Oceanodroma leucorhoa,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,11,2011
