gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1613264890,Oriolus oriolus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2015
1613447088,Oriolus oriolus,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,4,2010
1585342823,Oriolus oriolus,MA,Oued Laabid,,1,32.142696,-7.027452,352,6,2017
1402861122,Oriolus oriolus,MA,Erfoud,Meknès-Tafilalet,1,31.429995,-4.246066,799,5,2015
2774373426,Oriolus oriolus,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,5,2006
1586196616,Oriolus oriolus,MA,Oum Er Rbia,,1,32.80513,-5.787799,682,6,2017
2700218362,Oriolus oriolus,MA,"Drâa-Tafilalet, MA (31.22, -3.954)",Meknès-Tafilalet,1,31.220463,-3.953665,728,9,2019
1743872504,Oriolus oriolus,MA,by P5109 road at 6.8 km due E. of Skoura (centre),Fès-Boulemane,1,33.5248,-4.4719,1438,5,2016
2746448627,Oriolus oriolus,MA,Ouarzazate-P1505 - 30.9791x-7.2186,Sous-Massa-Draa,1,30.97914,-7.218591,1274,4,2018
2746865019,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2019
3216650010,Oriolus oriolus,MA,MA-Zaer (Reserve Royale de Chasse),Rabat-Salé-Zemmour-Zaer,1,33.708923,-6.930194,246,4,2019
2683804441,Oriolus oriolus,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,4,2019
3647173673,Oriolus oriolus,MA,PN Ifrane--domaine général,Meknès-Tafilalet,5,33.560863,-5.199182,1533,7,2012
2695112509,Oriolus oriolus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,11,33.07076,-7.232351,632,9,2019
1789896400,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2005
2743944428,Oriolus oriolus,MA,Gorges du Dadès,Sous-Massa-Draa,2,31.509192,-5.940685,1664,4,2019
2799927002,Oriolus oriolus,MA,Auberge Derkaoua,Meknès-Tafilalet,1,31.28981,-4.091935,747,4,2006
1167606581,Oriolus oriolus,MA,MA-Route Tiznit-Guelmim- zone à cactus,Sous-Massa-Draa,1,29.40644,-9.727558,912,4,2014
3215393354,Oriolus oriolus,MA,MA-Merzouga (NE of Tisserdmine),Meknès-Tafilalet,1,31.30917,-4.020909,775,4,2016
3207240702,Oriolus oriolus,MA,Sø/dam i agerland 2 km fra S.Bettace,Rabat-Salé-Zemmour-Zaer,3,33.717026,-6.930912,274,4,2009
2174865266,Oriolus oriolus,MA,Ras El Maa,Meknès-Tafilalet,1,33.47432,-5.138211,1625,4,2017
2670627741,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2019
3203009355,Oriolus oriolus,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,4,2012
2175749428,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,3,33.65042,-5.029721,1470,5,2018
2072484111,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,4,2017
2788038915,Oriolus oriolus,MA,Auberge Derkaoua,Meknès-Tafilalet,2,31.28981,-4.091935,747,4,2016
1407518448,Oriolus oriolus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,9,2014
2056064598,Oriolus oriolus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,4,2017
2163971169,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,3,33.65042,-5.029721,1470,5,2018
2715700473,Oriolus oriolus,ES,Arroyo del Infierno,Ceuta,1,35.892666,-5.344787,31,4,2013
2718692612,Oriolus oriolus,MA,Oued Massa,Sous-Massa-Draa,2,30.008463,-9.652519,11,5,2001
2766335971,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2016
3215466138,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,7,2010
2116287901,Oriolus oriolus,MA,Ifran,Meknès-Tafilalet,1,33.50574,-5.168068,1521,4,2017
2181677574,Oriolus oriolus,MA,Vallée d'Asni,Marrakech-Tensift-Al Haouz,1,31.255966,-7.973832,1151,6,2018
2151333609,Oriolus oriolus,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,2,34.00879,-6.847304,26,4,2018
3201937289,Oriolus oriolus,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2006
2151491970,Oriolus oriolus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2018
2058327465,Oriolus oriolus,MA,Parc National de Tazekka,Taza-Al Hoceima-Taounate,1,34.07908,-4.120763,1470,5,2017
592118766,Oriolus oriolus,MA,Atlas Mountains,Marrakech-Tensift-Al Haouz,1,31.49192,-7.47345,1239,9,2010
1180782946,Oriolus oriolus,MA,Pension Bord de l'Eau - MA-Marrakesh-Tensift-El Haouz-Setti-Fatma - 31.2315x-7.6666 - 17 juil. 2014 13:44,Marrakech-Tensift-Al Haouz,3,31.231394,-7.66649,1394,7,2014
833425325,Oriolus oriolus,MA,Ouarzazate,Sous-Massa-Draa,1,30.924587,-6.884821,1121,4,2004
3760189693,Oriolus oriolus,MA,,Chaouia - Ouardigha,1,33.069505,-7.234868,621,4,2022
2801933536,Oriolus oriolus,ES,Punta Blanca,Ceuta,30,35.91375,-5.360241,1,9,2005
2120744331,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,5,2017
2175670497,Oriolus oriolus,MA,N13 n. of Midelt,Meknès-Tafilalet,1,32.752586,-4.920394,1477,5,2018
3760207460,Oriolus oriolus,MA,,Chaouia - Ouardigha,1,33.069302,-7.232521,616,4,2022
2161882660,Oriolus oriolus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,3,2018
2801441283,Oriolus oriolus,MA,Mouth Drâa - Mouth Aoreora,Guelmim-Es Smara,1,28.785263,-10.976456,53,4,2012
3163820832,Oriolus oriolus,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,5,2020
2682037009,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,4,2019
1793567213,Oriolus oriolus,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,2,31.1371,-7.9205,1725,5,2013
2718403895,Oriolus oriolus,MA,Ifrane area and forest,Meknès-Tafilalet,1,33.526,-5.149,1702,4,2019
2682786744,Oriolus oriolus,MA,Ghabat el-Mrabbou,Rabat-Salé-Zemmour-Zaer,1,33.824158,-6.059814,440,5,2019
2169855282,Oriolus oriolus,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,1,30.031328,-9.644645,8,5,2018
1743883640,Oriolus oriolus,MA,For�t de Jabaa (6.8 km due NW. of Ifrane),Meknès-Tafilalet,1,33.5489,-5.1805,1592,5,2016
1738671370,Oriolus oriolus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,4,33.65042,-5.029721,1470,5,2016
2832366485,Oriolus oriolus,MA,Morocco - Sidi Yahya Zaer,,2,33.644117,-6.878836,357,4,2013
3827181020,Oriolus oriolus,MA,Morocco - Dayet Aoua,,1,33.649408,-5.03839,1485,5,2018
3256042240,Oriolus oriolus,ES,Ceuta--Edificio Cariño,Ceuta,4,35.9023,-5.346128,16,4,2020
3725735558,Oriolus oriolus,MA,Morocco - Ben Ahmed,,2,33.069714,-7.23341,623,8,2019
1613166266,Oriolus oriolus,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2012
2115158069,Oriolus oriolus,MA,Zaers,Rabat-Salé-Zemmour-Zaer,1,33.709595,-6.925794,282,4,2017
2735170090,Oriolus oriolus,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,5,2019
1585342795,Oriolus oriolus,MA,Oued Tassaoud,,1,31.818792,-7.248316,634,6,2017
1580199436,Oriolus oriolus,MA,Ouzoud und Umgebung,,1,32.015717,-6.722775,707,6,2017
3112929617,Oriolus oriolus,MA,,Chaouia - Ouardigha,1,33.068914,-7.234262,616,5,2021
1613190001,Oriolus oriolus,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2013
2162160667,Oriolus oriolus,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,3,2018
591992513,Oriolus oriolus,MA,PN Ifrane--domaine général,Meknès-Tafilalet,1,33.560863,-5.199182,1533,5,2008
3155114086,Oriolus oriolus,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,5,2020
2188548779,Oriolus oriolus,MA,Auberge Derkaoua,Meknès-Tafilalet,1,31.28981,-4.091935,747,4,2016
1167612301,Oriolus oriolus,MA,MA-Tenouchab,Laâyoune-Boujdour-Sakia el Hamra,2,28.051702,-12.137927,9,4,2014
2765081884,Oriolus oriolus,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,5,2019
2724217681,Oriolus oriolus,ES,Monte de Garcia Aldave,Ceuta,3,35.900593,-5.371155,253,4,2018
2773745949,Oriolus oriolus,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,9,2013
2112092479,Oriolus oriolus,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,2,31.1371,-7.9205,1725,5,2013
1206385482,Oriolus oriolus,MA,"Morocco, Dades & Tagdilt",Sous-Massa-Draa,1,31.36595,-5.952959,1565,4,2006
1743868971,Oriolus oriolus,MA,just E. of A1 motorway at 7.9 km due SE. of Moulay-Bousselham (centre),Gharb-Chrarda-Beni Hssen,1,34.8531,-6.2127,4,5,2016
3296092537,Oriolus oriolus,MA,Auberge Derkaoua,Meknès-Tafilalet,2,31.28981,-4.091935,747,4,2009
2069964763,Oriolus oriolus,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,1,33.48899,-5.144713,1718,5,2017
2165503446,Oriolus oriolus,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,4,2018
2747328221,Oriolus oriolus,MA,PN Ifrane--domaine général,Meknès-Tafilalet,3,33.560863,-5.199182,1533,5,2017
2060528386,Oriolus oriolus,MA,Ras El Maa,Meknès-Tafilalet,1,33.47432,-5.138211,1625,4,2017
2078713786,Oriolus oriolus,MA,Fort Bou Jerif,Guelmim-Es Smara,1,29.082088,-10.331371,85,5,2017
