gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3138235765,Otus scops,MA,"Gorges du Dadès, Drâa-Tafilalet, MA (31,445, -5,983)",Sous-Massa-Draa,1,31.444948,-5.982514,1609,3,2020
3641557689,Otus scops,MA,Mine de Tamslemt,L'Oriental,1,32.62139,-3.77602,1773,7,2007
1738816102,Otus scops,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,1,33.48899,-5.144713,1718,5,2016
1735782314,Otus scops,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,3,2016
2713274564,Otus scops,ES,Arroyo de Calamocarro,Ceuta,1,35.910793,-5.368713,140,4,2012
2055032142,Otus scops,MA,"35,18x-6,117 - 15 abr. 2017 8:56",Tanger-Tétouan,1,35.179604,-6.116892,5,4,2017
3209501107,Otus scops,MA,Oued Dades--Boumalne,Sous-Massa-Draa,2,31.369457,-5.988785,1522,4,2006
3662612156,Otus scops,MA,"Kasbah Timdaf, Béni Mellal-Khénifra, MA (31.775, -7.021)",Marrakech-Tensift-Al Haouz,1,31.775438,-7.020599,871,5,2021
1735772696,Otus scops,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,3,2016
2717026610,Otus scops,ES,Arroyo de Calamocarro,Ceuta,1,35.910793,-5.368713,140,8,2019
1411078053,Otus scops,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,3,2011
2170786069,Otus scops,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,6,33.65042,-5.029721,1470,4,2017
2688486884,Otus scops,MA,Oued Dades--Boumalne,Sous-Massa-Draa,1,31.369457,-5.988785,1522,5,2019
2144134891,Otus scops,MA,Riad Dades,Sous-Massa-Draa,2,31.436584,-6.010311,1608,4,2018
3290580766,Otus scops,MA,MX-Boumalne Dades (Oued Dades),Sous-Massa-Draa,1,31.322523,-6.006342,1494,4,2019
1369697056,Otus scops,MA,Azrou (town),Meknès-Tafilalet,1,33.440517,-5.224102,1265,5,2015
1580202556,Otus scops,MA,Qued Ziz - Ziz-Tal längs der Straße N13 und P21,,1,31.814709,-4.269218,948,6,2017
1744720320,Otus scops,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,3,2016
1613632781,Otus scops,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,8,2019
3267898451,Otus scops,MA,Merzouga general area - Tisserdmine | trip with Lahcen,Meknès-Tafilalet,1,31.290462,-4.030025,760,3,2018
2715410918,Otus scops,MA,Ifrane area and forest,Meknès-Tafilalet,1,33.526,-5.149,1702,4,2019
2108788638,Otus scops,MA,Moulay-Bousselham Camping Site,Gharb-Chrarda-Beni Hssen,1,34.875065,-6.286141,6,2,2002
2677086908,Otus scops,MA,Oued Dades--Boumalne,Sous-Massa-Draa,1,31.369457,-5.988785,1522,5,2019
