gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1619191338,Passer montanus,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,4,2005
2046142487,Passer montanus,MA,Agricultural area - Intersection of P4206 & P4214,Gharb-Chrarda-Beni Hssen,4,34.902924,-6.235642,14,3,2016
2719555434,Passer montanus,MA,Agricultural area - Intersection of P4206 & P4214,Gharb-Chrarda-Beni Hssen,4,34.902924,-6.235642,14,3,2016
1614597179,Passer montanus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2008
2790739210,Passer montanus,ES,Arroyo de Calamocarro,Ceuta,1,35.910793,-5.368713,140,4,2015
3250605891,Passer montanus,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,3,2003
2839764036,Passer montanus,MA,Morocco - Moulay Bousselham,,5,34.9097,-6.231,15,12,2016
1612996366,Passer montanus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2001
1615181811,Passer montanus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2015
1612996726,Passer montanus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2006
1619216353,Passer montanus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2005
3170475924,Passer montanus,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,3,2003
1723983110,Passer montanus,MA,Agricultural area - Intersection of P4206 & P4214,Gharb-Chrarda-Beni Hssen,4,34.902924,-6.235642,14,3,2016
1618469920,Passer montanus,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,10,2003
2840002078,Passer montanus,MA,Morocco - Moulay Bousselham,,2,34.9105,-6.2312,18,12,2016
