gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2576486063,Periparus ater,MA,,Tadla - Azilal,1,31.645657,-6.467661,1825,4,2016
2068274944,Periparus ater,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,1,31.1371,-7.9205,1725,4,2017
2681824000,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,3,2007
3225759182,Periparus ater,MA,Cafe-restaurant Assanfou,Marrakech-Tensift-Al Haouz,1,31.307901,-7.373727,2078,2,2020
3677846641,Periparus ater,MA,Ighrem N´Ougdal,Sous-Massa-Draa,1,31.217484,-7.43166,1876,3,2007
1402850549,Periparus ater,MA,Tizi N´Tichka,Sous-Massa-Draa,1,31.280655,-7.3788,2218,5,2015
2209115129,Periparus ater,MA,"MA-Meknès-Tafilalet-N13 (32.9854,-5.0685)",Meknès-Tafilalet,1,32.985355,-5.068538,2065,10,2018
1384254379,Periparus ater,MA,Hiking trail from Imlil to Refuge Toubkal,Marrakech-Tensift-Al Haouz,2,31.103756,-7.916722,2232,8,2015
3947831572,Periparus ater,MA,,Marrakech - Tensift - Al Haouz,1,31.13113,-7.908828,2114,10,2022
3947588549,Periparus ater,MA,,Marrakech - Tensift - Al Haouz,1,31.131063,-7.908888,2115,10,2022
2432414470,Periparus ater,MA,Oukaimeden,,1,31.2292,-7.8217,2361,2,2014
2041609186,Periparus ater,MA,Cedar Gourard,Meknès-Tafilalet,4,33.42664,-5.15597,1697,2,2017
3185653318,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,10,31.201849,-7.859733,2609,2,2016
2718282420,Periparus ater,MA,Cedral de Azrou,Meknès-Tafilalet,15,33.403515,-5.207747,1757,12,2019
1719798543,Periparus ater,MA,Fôret Toufliht,Marrakech-Tensift-Al Haouz,40,31.478024,-7.434708,1465,3,2016
3553918981,Periparus ater,MA,Ifrane-- Domaine Général,Meknès-Tafilalet,2,33.529,-5.108,1650,12,2021
2780309432,Periparus ater,MA,Bou Jighigh (Fôret de Ben Smim),Meknès-Tafilalet,6,33.48899,-5.144713,1718,4,2019
2665821571,Periparus ater,MA,"(29.9886,-9.6657)",Sous-Massa-Draa,1,29.988615,-9.665656,12,4,2019
2654212713,Periparus ater,MA,"Route de Tisemlale, Tanger-Tétouan-Al Hoceïma, MA (35,185, -5,233)",Tanger-Tétouan,6,35.185123,-5.232806,1337,1,2019
2718022294,Periparus ater,MA,Ifrane,Meknès-Tafilalet,1,33.5362,-5.1165,1629,5,2013
3214095195,Periparus ater,MA,PN Ifran--Cèdre Gouraud,Meknès-Tafilalet,1,33.427013,-5.155838,1678,3,2007
1707605460,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,3,2015
3609829918,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,3,2019
2088421552,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,10,2017
2151992796,Periparus ater,MA,"MA-Marrakesh-Tensift-El Haouz - 31.099x-7.913 - Apr 10, 2017 6:16 PM",Marrakech-Tensift-Al Haouz,2,31.099081,-7.913274,2297,4,2017
3514118259,Periparus ater,MA,Azrou (east),Meknès-Tafilalet,1,33.432934,-5.176328,1646,3,2007
2112088302,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,5,2013
3643288433,Periparus ater,MA,Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.204323,-7.857204,2602,4,2006
594434497,Periparus ater,MA,conifers near Oukaimeden,Marrakech-Tensift-Al Haouz,1,31.286472,-7.885437,1620,3,2011
1735131639,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2016
2669011377,Periparus ater,MA,"Localidad desconocida - (31,544, -7,535)",Marrakech-Tensift-Al Haouz,3,31.54352,-7.535037,948,3,2019
1743877598,Periparus ater,MA,"S. side of Jbel Tazzeka at 16.2 km due SW. of Taza, centre",Taza-Al Hoceima-Taounate,2,34.0925,-4.1007,1389,5,2016
1778507873,Periparus ater,MA,"N13 at 33.4127, -5.1810",Meknès-Tafilalet,3,33.412697,-5.181015,1786,12,2016
1756264787,Periparus ater,MA,P7215--est de Ait El-Haj,Meknès-Tafilalet,1,33.366108,-5.273609,1622,5,2016
1793118721,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,5,2013
966608334,Periparus ater,MA,High Atlas Mountains,Marrakech-Tensift-Al Haouz,1,31.250378,-7.789307,2156,9,2013
2671927478,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,15,31.201849,-7.859733,2609,3,2007
2676718729,Periparus ater,MA,"N9, Marrakesh-Safi, MA (31,543, -7,534)",Marrakech-Tensift-Al Haouz,2,31.54307,-7.533616,942,4,2019
3647108546,Periparus ater,MA,Oukaimden km 7,Marrakech-Tensift-Al Haouz,2,31.242178,-7.815324,2122,6,2021
3620109018,Periparus ater,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,1,31.1371,-7.9205,1725,9,2021
2707788982,Periparus ater,MA,"Localidad desconocida - (31,544, -7,535)",Marrakech-Tensift-Al Haouz,3,31.54352,-7.535037,948,3,2019
3296689094,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,2,2015
2050668581,Periparus ater,MA,R203-Amesguen,Marrakech-Tensift-Al Haouz,1,31.135239,-8.09714,951,3,2017
1179342866,Periparus ater,MA,Ifrane,Meknès-Tafilalet,1,33.528374,-5.10817,1656,5,2003
3279063758,Periparus ater,MA,Route touristique des Cèdres | الطريق السياحية للمحمية الطبيعية للأرز,Meknès-Tafilalet,1,33.41931,-5.18162,1762,5,2003
2679474838,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,2,2010
2150443006,Periparus ater,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,3,2018
2228558250,Periparus ater,MA,Tizi n'Tichka,Marrakech-Tensift-Al Haouz,2,31.36109,-7.390087,1590,2,2008
591923280,Periparus ater,MA,Imlil trek,Marrakech-Tensift-Al Haouz,1,31.163166,-7.944488,2017,10,2007
1735776621,Periparus ater,MA,Bosque de Cedros,Meknès-Tafilalet,1,33.432087,-5.176191,1655,3,2016
1346238997,Periparus ater,MA,Vallée d'Asni,Marrakech-Tensift-Al Haouz,2,31.255966,-7.973832,1151,1,2015
2786486781,Periparus ater,MA,PN Ifrane--domaine général,Meknès-Tafilalet,2,33.560863,-5.199182,1533,4,2001
1168769053,Periparus ater,MA,Road to Oukaimaidene,Marrakech-Tensift-Al Haouz,1,31.285593,-7.89917,1440,4,2009
2182626332,Periparus ater,MA,RN Bouhachem--domaine général,Tanger-Tétouan,1,35.176052,-5.341244,486,9,2015
2801492616,Periparus ater,MA,Vallée de l'Ourika,Marrakech-Tensift-Al Haouz,1,31.239517,-7.664165,1364,3,2013
836108500,Periparus ater,MA,Toubkal National Park,Marrakech-Tensift-Al Haouz,1,31.139187,-7.975065,1869,12,2012
2704849808,Periparus ater,MA,Vallée d'Imlil,Marrakech-Tensift-Al Haouz,1,31.1371,-7.9205,1725,10,2019
