gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1369699655,Petronia petronia,MA,Tiguelmamine N,Meknès-Tafilalet,12,33.05576,-5.042925,2126,5,2015
2193891168,Petronia petronia,MA,Imatchimen,Meknès-Tafilalet,1,32.51608,-5.050846,1778,2,2018
2671684799,Petronia petronia,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2019
1743874685,Petronia petronia,MA,"Jbel Tazzeka National Park at 10.4 km due SW. of Taza, centre (by jncn of R507 with road to Bab Boudir)",Taza-Al Hoceima-Taounate,1,34.123,-4.0397,1391,5,2016
833977890,Petronia petronia,MA,Oukaimeden,Marrakech-Tensift-Al Haouz,12,31.205244,-7.831104,2863,2,2012
591961588,Petronia petronia,MA,"Maroc, nord de Timadhte",Meknès-Tafilalet,1,33.261658,-5.072937,1806,5,2008
2835611765,Petronia petronia,MA,Morocco - Zerkten,,7,31.324439,-7.374419,1825,4,2012
1793561861,Petronia petronia,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,30,31.201849,-7.859733,2609,5,2013
2052092475,Petronia petronia,MA,Oued Tichka--Tazilda,Marrakech-Tensift-Al Haouz,16,31.428505,-7.408679,1273,3,2017
833490266,Petronia petronia,MA,Source de Tichka,Sous-Massa-Draa,20,31.290705,-7.383027,2157,4,2004
2243570401,Petronia petronia,MA,"Oukaimeden, Marrakesh-Tensift-Al Haouz",,1,31.2057,-7.8646,2681,2,2013
2243849522,Petronia petronia,MA,"Al Haouz, Marrakech-Safi",,1,31.2066,-7.8446,2600,3,2019
2243765828,Petronia petronia,MA,"Oukaïmeden, Marrakech-Tensift-Al Haouz",,1,31.1956,-7.8552,2629,5,2017
2243605522,Petronia petronia,MA,Oukaimeden,,1,31.196,-7.856,2627,3,2014
2243767069,Petronia petronia,MA,"Oukaïmeden, Marrakech-Tensift-Al Haouz",,1,31.1956,-7.8552,2629,5,2017
2153413087,Petronia petronia,MA,Oukaimeden Ski Area,Marrakech-Tensift-Al Haouz,19,31.194242,-7.854417,2641,4,2018
2657818893,Petronia petronia,MA,PN Ifrane--domaine général,Meknès-Tafilalet,1,33.560863,-5.199182,1533,3,2019
1721150252,Petronia petronia,MA,"32.9508x-5.0729 - Mar 11, 2016, 11:07 AM",Meknès-Tafilalet,4,32.950783,-5.072893,1848,3,2016
3210273339,Petronia petronia,MA,Plaines de Zaida,Meknès-Tafilalet,5,32.791946,-4.944277,1483,3,2007
1167881698,Petronia petronia,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2009
