gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2013750507,Pica mauritanica,MA,,Souss - Massa - Draâ,1,30.237699,-9.619861,67,5,2018
3632532171,Pica mauritanica,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2016
2762787683,Pica mauritanica,MA,"Unnamed Road, Inezgane, Souss Massa, MA (30,346, -9,569)",Sous-Massa-Draa,1,30.346031,-9.568678,8,9,2019
2668234753,Pica mauritanica,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,10,30.185549,-9.627369,90,3,2018
3582400280,Pica mauritanica,MA,Embouchure de l'Oued Sebou,Gharb-Chrarda-Beni Hssen,1,34.270313,-6.656759,0,10,2001
2785985962,Pica mauritanica,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,1,2009
2716373264,Pica mauritanica,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2016
2697889051,Pica mauritanica,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,6,30.070282,-9.662819,21,10,2013
1347700907,Pica mauritanica,MA,Marrakesh (general area),Marrakech-Tensift-Al Haouz,6,31.6275,-8.0,461,1,2015
3234249974,Pica mauritanica,MA,Agadir beach and esplanade,Sous-Massa-Draa,4,30.40499,-9.600742,10,1,2020
2783885578,Pica mauritanica,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,2,30.36236,-9.586773,10,2,2017
2720235658,Pica mauritanica,MA,Agadir - Belfaa Road,Sous-Massa-Draa,1,30.18182,-9.537619,75,4,2010
1791392191,Pica mauritanica,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,6,30.36236,-9.586773,10,10,2006
3175796615,Pica mauritanica,MA,PN Ifran--Cèdre Gouraud,Meknès-Tafilalet,1,33.427013,-5.155838,1678,10,2014
1719518228,Pica mauritanica,MA,P1706 stop,Sous-Massa-Draa,3,30.47183,-8.767669,277,2,2016
3966437840,Pica mauritanica,MA,,Marrakech - Tensift - Al Haouz,1,31.505913,-7.466414,1179,11,2022
3455461187,Pica mauritanica,MA,,Souss - Massa - Draâ,1,30.208175,-9.623,75,2,2014
2227174000,Pica mauritanica,MA,"87472, Chtouka Ait Baha MA-Souss-Massa-Drâa (30.0862,-9.6318)",Sous-Massa-Draa,8,30.086163,-9.631791,119,11,2018
1786481830,Pica mauritanica,MA,"Marrakesh, west of old city",Marrakech-Tensift-Al Haouz,12,31.631508,-8.003969,465,3,2015
3228007352,Pica mauritanica,MA,"Carretera Halcon , Azilal, Tadla Azilal, 70052 (32.38, -6.029)",Tadla-Azilal,7,32.379963,-6.028868,1396,2,2020
2670870879,Pica mauritanica,MA,"87472, Chtouka Ait Baha MA-Souss-Massa-Drâa (30.0310,-9.6448)",Sous-Massa-Draa,1,30.03104,-9.644807,10,4,2019
1167620692,Pica mauritanica,MA,MA-Marrakesh- downtown,Marrakech-Tensift-Al Haouz,1,31.62581,-7.988012,473,4,2014
3730764012,Pica mauritanica,MA,Morocco - Agadir,,2,30.363211,-9.58944,10,5,2021
2839975279,Pica mauritanica,MA,Morocco - Souss-Massa NP,,5,30.084443,-9.662492,67,11,2012
2845134691,Pica mauritanica,MA,Morocco - Ait Ikkou,,10,33.692008,-6.224869,462,1,2020
2832204518,Pica mauritanica,MA,Morocco - Souss - Massa - Draâ,,2,30.042944,-9.575272,65,4,2010
2835748300,Pica mauritanica,MA,Morocco - Agadir,,3,30.363093,-9.586133,8,1,2014
2832691172,Pica mauritanica,MA,Morocco - Lqliaa,,30,30.353564,-9.572329,11,1,2016
2844654014,Pica mauritanica,MA,Morocco - Massa,,1,29.969295,-9.663791,13,5,2018
2835942752,Pica mauritanica,MA,Morocco - Sidi Bibi,,1,30.2568,-9.5157,41,4,2016
2840785071,Pica mauritanica,MA,Morocco - Lqliaa,,1,30.311465,-9.472895,34,1,2019
2836606610,Pica mauritanica,MA,Morocco - Lqliaa,,1,30.3377,-9.4535,41,4,2017
2841029705,Pica mauritanica,MA,Morocco - Aourir,,1,30.4984,-9.6371,76,4,2016
1401058132,Pica mauritanica,MA,Vallée d'Imouzzer,Sous-Massa-Draa,1,30.676725,-9.477704,1156,11,2010
1808181160,Pica mauritanica,MA,Essaouira Lodge und Umgebung,,1,31.511152,-9.635847,177,11,2017
923008963,Pica mauritanica,MA,Ait Ourir,,1,31.556885,-7.684933,653,12,2013
