gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2671813259,Picus vaillantii,MA,"(33.3552,-5.2294)",Meknès-Tafilalet,1,33.355175,-5.229425,1823,4,2019
1779104408,Picus vaillantii,MA,Igunane,Marrakech-Tensift-Al Haouz,2,31.230816,-7.811279,2003,12,2016
2658863279,Picus vaillantii,MA,Fôret Toufliht,Marrakech-Tensift-Al Haouz,2,31.478024,-7.434708,1465,2,2019
3575730819,Picus vaillantii,MA,"Région col Tizi-n-tichka, MA",Marrakech-Tensift-Al Haouz,1,31.307854,-7.373567,2079,11,2021
2698348547,Picus vaillantii,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2014
2720562502,Picus vaillantii,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,2,33.713158,-6.929712,284,3,2010
2766207557,Picus vaillantii,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,5,2019
2143980506,Picus vaillantii,MA,Route touristique des Cèdres | الطريق السياحية للمحمية الطبيعية للأرز,Meknès-Tafilalet,3,33.41931,-5.18162,1762,3,2018
3906732614,Picus vaillantii,MA,Morocco - Imgdal,,2,31.141148,-8.09989,895,7,2022
2845467408,Picus vaillantii,MA,Morocco - Touama,,1,31.478212,-7.435377,1484,12,2019
2832164934,Picus vaillantii,MA,Morocco - Marrakech - Tensift - Al Haouz,,1,31.421154,-7.407601,1306,1,2011
2835653464,Picus vaillantii,MA,Morocco - Amizmiz,,2,31.203111,-8.246484,1197,2,2014
2835044171,Picus vaillantii,MA,Morocco - Oukaimeden/Ukayemdan/Oukaimden,,1,31.23848,-7.808458,1904,12,2019
3996208986,Picus vaillantii,MA,Morocco - Sti Fadma,,1,31.306969,-7.737033,1034,5,2022
2832319562,Picus vaillantii,MA,Morocco - Dadès-Draa\n,,1,31.157599,-7.989506,1467,12,2011
941720122,Picus vaillantii,MA,below Imlil,Marrakech-Tensift-Al Haouz,2,31.148476,-7.924061,1647,6,2008
2130604743,Picus vaillantii,MA,PN Talassemtane--domaine générale,Tanger-Tétouan,1,35.129738,-5.089073,1678,4,2018
3582700851,Picus vaillantii,ES,Arroyo de las Bombas,Ceuta,1,35.890335,-5.371637,213,11,2021
966453497,Picus vaillantii,MA,High Atlas Mountains,Marrakech-Tensift-Al Haouz,1,31.250378,-7.789307,2156,9,2013
3137264319,Picus vaillantii,MA,Route touristique des Cèdres | الطريق السياحية للمحمية الطبيعية للأرز,Meknès-Tafilalet,4,33.41931,-5.18162,1762,2,2020
2058376399,Picus vaillantii,MA,Tizi n´Test pass to Tinmel Mosque,Marrakech-Tensift-Al Haouz,1,30.9754,-8.237557,1260,4,2017
1753621747,Picus vaillantii,MA,Kasbah du Toubkal,Marrakech-Tensift-Al Haouz,1,31.131992,-7.919023,1831,12,2015
2047244537,Picus vaillantii,MA,Buhachaen,Tanger-Tétouan,2,35.292854,-5.499454,1069,3,2017
2243719873,Picus vaillantii,MA,"Imlil, Al Haouz, Marrakech-Tensift-Al Haouz",,1,31.1352,-7.9193,1748,12,2015
2243592697,Picus vaillantii,MA,Forest de Cedres,,1,33.1258,-5.0245,1952,4,2012
4018712493,Picus vaillantii,MA,"Park Okaimden منتزه أوكيمدن (near Igunane), Al Haouz, Marrakech-Safi",,1,31.229,-7.8244,2392,12,2022
2243606496,Picus vaillantii,MA,Oukaimeden,,1,31.196,-7.856,2627,3,2014
2243715888,Picus vaillantii,MA,"Province d’Ifrane, Meknès-Tafilalet",,1,33.6473,-5.0324,1475,4,2016
2243849188,Picus vaillantii,MA,"Province d’Ifrane, Fès-Meknès",,1,33.4205,-5.1724,1738,3,2019
2733146042,Picus vaillantii,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,4,2019
2042115726,Picus vaillantii,MA,La Bergerie Hotel Grounds,Marrakech-Tensift-Al Haouz,2,31.193865,-8.057565,917,2,2017
3216960233,Picus vaillantii,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz (31.2651,-7.8119)",Marrakech-Tensift-Al Haouz,2,31.265114,-7.811856,1610,1,2020
3656172983,Picus vaillantii,MA,"Région col Tizi-n-tichka, MA",Marrakech-Tensift-Al Haouz,1,31.307854,-7.373567,2079,4,2008
3616434822,Picus vaillantii,ES,Arroyo de las Bombas,Ceuta,1,35.890335,-5.371637,213,2,2021
2111567519,Picus vaillantii,MA,Imi n'Ifri,Tadla-Azilal,1,31.724043,-6.966008,1075,4,2016
2745341733,Picus vaillantii,MA,"P4704, Tanger-Tétouan-Al Hoceïma, MA (35,282, -5,489)",Tanger-Tétouan,2,35.28193,-5.489002,1156,1,2019
2711464864,Picus vaillantii,MA,Ourika Valley,Marrakech-Tensift-Al Haouz,1,31.333004,-7.758588,979,3,2013
595864496,Picus vaillantii,MA,Ifrane (town),Meknès-Tafilalet,1,33.529232,-5.108879,1655,5,2008
2721051431,Picus vaillantii,MA,PN Toubkal--Refuge Toubkal,Marrakech-Tensift-Al Haouz,1,31.063862,-7.937933,3169,10,2010
2176715092,Picus vaillantii,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,3,2014
2695488288,Picus vaillantii,MA,Kasbah du Toubkal,Marrakech-Tensift-Al Haouz,1,31.132368,-7.918975,1838,6,2019
2714274537,Picus vaillantii,MA,"Oukaïmeden (31.2576, -7.8448)",Marrakech-Tensift-Al Haouz,1,31.2576,-7.8448,1745,2,2016
3295670511,Picus vaillantii,MA,Ait-lekak,Marrakech-Tensift-Al Haouz,1,31.227428,-7.823451,2325,4,2009
