gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1339287995,Podiceps nigricollis,MA,"Dayet Aaoua b. Ifrane, Marokko",,1,33.663498,-5.015602,1500,3,2015
2210690264,Podiceps nigricollis,MA,Salines de Sidi Moussa,Doukkala-Abda,2,32.997078,-8.73114,7,10,2018
2756399097,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,30,33.65042,-5.029721,1470,4,2019
3632023085,Podiceps nigricollis,MA,Lac Zerouka,Meknès-Tafilalet,3,33.544254,-5.095575,1616,12,2021
3206243200,Podiceps nigricollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,4,30.070282,-9.662819,21,2,2010
3238629990,Podiceps nigricollis,MA,Morocco,Marrakech-Tensift-Al Haouz,1,31.697014,-7.283935,796,6,2004
2187575858,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,6,33.65042,-5.029721,1470,3,2014
2701012693,Podiceps nigricollis,MA,"R317, Drâa-Tafilalet, MA (32,192, -5,637)",Meknès-Tafilalet,2,32.191517,-5.637334,2260,5,2019
2759817723,Podiceps nigricollis,MA,"R317, Drâa-Tafilalet, MA (32,198, -5,641)",Meknès-Tafilalet,3,32.197567,-5.641312,2253,6,2019
3243448108,Podiceps nigricollis,MA,Lac Afenourir,Meknès-Tafilalet,1,33.280018,-5.250915,1808,10,2014
3301138289,Podiceps nigricollis,MA,Dayet Aoua,Meknès-Tafilalet,1,33.654556,-5.04175,1470,4,2016
2088911927,Podiceps nigricollis,MA,بحيرة الواليدية | Lagune d'Oualidia--domaine général,Doukkala-Abda,2,32.736244,-9.039345,4,10,2017
2752971928,Podiceps nigricollis,MA,"(33.2863,-5.2505)",Meknès-Tafilalet,30,33.286324,-5.250537,1808,4,2019
3571904449,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,58,33.65042,-5.029721,1470,12,2013
2796068016,Podiceps nigricollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,1,2009
2218394547,Podiceps nigricollis,MA,PN Ifran--Dayet Ifrah,Meknès-Tafilalet,1,33.556587,-4.933805,1618,12,2018
1787856272,Podiceps nigricollis,MA,X - Duplicate = Lac (Dayet Aoua),Meknès-Tafilalet,50,33.655155,-5.042494,1470,3,2013
2670898933,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,18,33.65042,-5.029721,1470,3,2019
2724201810,Podiceps nigricollis,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,9,2015
2213405525,Podiceps nigricollis,MA,بحيرة الواليدية | Lagune d'Oualidia--domaine général,Doukkala-Abda,1,32.736244,-9.039345,4,9,2018
1721518343,Podiceps nigricollis,MA,Lac Zerouka,Meknès-Tafilalet,20,33.544254,-5.095575,1616,3,2016
2142157652,Podiceps nigricollis,MA,Vallée des Roses--domaine générale,Sous-Massa-Draa,1,31.34626,-6.168351,1518,2,2018
1735781201,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,70,33.65042,-5.029721,1470,3,2016
3541716373,Podiceps nigricollis,MA,Agadir - Centre,Sous-Massa-Draa,1,30.421791,-9.598301,33,12,2008
2717600335,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,3,2010
2771866224,Podiceps nigricollis,MA,Lac Aguelmame Sidi Ali,Meknès-Tafilalet,25,33.075,-4.994767,2081,9,2019
3205600797,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,100,33.65042,-5.029721,1470,5,2010
3512486805,Podiceps nigricollis,MA,Salines de Oualidia,Doukkala-Abda,15,32.781796,-8.973387,7,1,2021
3266303124,Podiceps nigricollis,EH,Laayoune,Western Sahara,2,27.168158,-13.223916,20,7,2010
2221426473,Podiceps nigricollis,MA,"(33,013, -8,712)",Doukkala-Abda,21,33.012516,-8.712461,9,12,2018
1738808811,Podiceps nigricollis,MA,PN Ifrane--Dayet Hachlaf,Meknès-Tafilalet,80,33.54598,-5.002792,1670,5,2016
3297626229,Podiceps nigricollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,2,2010
2776782250,Podiceps nigricollis,MA,Lac Aguelmame Sidi Ali,Meknès-Tafilalet,25,33.075,-4.994767,2081,9,2019
3290995921,Podiceps nigricollis,MA,PN Ifrane--Dayet Hachlaf,Meknès-Tafilalet,10,33.54598,-5.002792,1670,3,2009
2724386903,Podiceps nigricollis,EH,Oued Saquiat Al-Hamra--Laayoune,Western Sahara,1,27.161089,-13.185421,22,11,2004
2743252328,Podiceps nigricollis,MA,"(33.2863,-5.2505)",Meknès-Tafilalet,30,33.286324,-5.250537,1808,4,2019
2686075267,Podiceps nigricollis,MA,Lac Afenourir,Meknès-Tafilalet,1,33.280018,-5.250915,1808,4,2019
1782546252,Podiceps nigricollis,EH,Oued Saquiat Al-Hamra--Laayoune,Western Sahara,4,27.161089,-13.185421,22,1,2010
1402535560,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,9,2014
2797081034,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,3,2010
3277982359,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,100,33.65042,-5.029721,1470,7,2010
3512303341,Podiceps nigricollis,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,1,30.031328,-9.644645,8,4,2021
3662184776,Podiceps nigricollis,MA,Salines de Oualidia,Doukkala-Abda,15,32.781796,-8.973387,7,1,2021
2669147388,Podiceps nigricollis,MA,Ben Slimane - depuradora,Chaouia-Ouardigha,2,33.643158,-7.151511,225,4,2009
2980875858,Podiceps nigricollis,MA,,Souss - Massa - Draâ,1,29.967707,-9.655471,10,3,2006
2738308544,Podiceps nigricollis,MA,PN Ifrane--domaine général,Meknès-Tafilalet,5,33.560863,-5.199182,1533,3,2019
2108105204,Podiceps nigricollis,MA,"Grand Casablanca, MA (33.572, -7.429)",Grand Casablanca,1,33.57204,-7.42903,94,10,2017
3623420803,Podiceps nigricollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,7,2012
3579111819,Podiceps nigricollis,MA,Lac Afenourir,Meknès-Tafilalet,24,33.280018,-5.250915,1808,2,2011
