gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2832576672,Porzana porzana,MA,Morocco - Massa,,1,29.988219,-9.644705,10,3,2015
2753485248,Porzana porzana,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,4,2019
2750659914,Porzana porzana,MA,Asif Tifnout,Sous-Massa-Draa,1,30.700294,-8.162112,689,4,2019
2737055402,Porzana porzana,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,2,35.152462,-6.102734,13,3,2019
3557410036,Porzana porzana,MA,Zouiat Massa,Sous-Massa-Draa,1,29.988342,-9.644785,10,4,2015
2145674587,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,1,35.195835,-6.111832,7,4,2018
2719633590,Porzana porzana,MA,Barrage Aoulouz,Sous-Massa-Draa,3,30.686493,-8.150697,754,3,2016
595791639,Porzana porzana,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2007
3613650996,Porzana porzana,MA,Akka N'Ait Sidi,Guelmim-Es Smara,1,29.909351,-7.332774,578,3,2018
2737826185,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,3,35.195835,-6.111832,7,3,2007
1782625232,Porzana porzana,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2006
2051090547,Porzana porzana,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,3,2017
2728634907,Porzana porzana,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,3,2007
2840851719,Porzana porzana,MA,Morocco - Larache - Marais de Larache (ou du bas Loukkos),,12,35.15739,-6.104536,3,3,2012
2150732600,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,1,35.195835,-6.111832,7,4,2018
2838906345,Porzana porzana,MA,Morocco - Tarmigt,,1,30.823793,-6.946678,1174,1,2014
2146559690,Porzana porzana,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,4,2018
2832552606,Porzana porzana,MA,Morocco - Massa,,2,29.989429,-9.644505,13,2,2015
2836172514,Porzana porzana,MA,Morocco - Larache,,1,35.166053,-6.10867,8,3,2016
2140027806,Porzana porzana,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,3,2018
1613356232,Porzana porzana,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2010
2108836553,Porzana porzana,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,2,2002
3682602512,Porzana porzana,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,4,2008
3295284668,Porzana porzana,MA,Remparts de Taroudant,Sous-Massa-Draa,1,30.468142,-8.872082,223,3,2019
3628732872,Porzana porzana,MA,Amerzgane,Sous-Massa-Draa,1,30.940544,-7.208441,1262,3,2018
2764799921,Porzana porzana,MA,Remparts de Taroudant,Sous-Massa-Draa,1,30.468142,-8.872082,223,3,2019
2659223011,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,3,35.195835,-6.111832,7,3,2007
2029403317,Porzana porzana,MA,Oued Ikkem,Rabat-Salé-Zemmour-Zaer,2,33.892357,-7.004562,12,3,2016
837433458,Porzana porzana,MA,Oued Sous,Sous-Massa-Draa,1,30.365845,-9.60265,7,3,2001
2721500497,Porzana porzana,MA,"(33,5445,-7,7594)",Grand Casablanca,1,33.544533,-7.75944,14,4,2018
2752851076,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,2,35.195835,-6.111832,7,3,2007
3522303182,Porzana porzana,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,2,33.54445,-7.761624,14,2,2021
3210642572,Porzana porzana,MA,"National Route 1, Guelmim-Oued Noun, MA (28,92, -10,151)",Guelmim-Es Smara,1,28.91963,-10.151175,220,3,2016
2083754514,Porzana porzana,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,12,35.152462,-6.102734,13,3,2012
2745192025,Porzana porzana,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,4,2019
3216365519,Porzana porzana,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,1,2009
2657830192,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,2,35.195835,-6.111832,7,3,2007
3299410710,Porzana porzana,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,1,2009
2142739921,Porzana porzana,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,4,2018
2660864470,Porzana porzana,MA,المرجة الزرقاء | Merja Zerga--domaine général,Gharb-Chrarda-Beni Hssen,1,34.855213,-6.270397,8,3,2007
2655055976,Porzana porzana,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,1,2019
3285220908,Porzana porzana,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,1,2010
2151596852,Porzana porzana,MA,"(30,9384,-7,2095)",Sous-Massa-Draa,1,30.938437,-7.209453,1258,3,2018
1763796928,Porzana porzana,MA,Erg Chebbi--nord,Meknès-Tafilalet,2,31.212925,-3.9884,736,4,2008
3289699188,Porzana porzana,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,2,30.031328,-9.644645,8,3,2015
2660100288,Porzana porzana,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,2,35.195835,-6.111832,7,3,2007
2660659876,Porzana porzana,MA,"Drâa-Tafilalet, MA (31,086, -4,042)",Meknès-Tafilalet,4,31.086264,-4.042019,682,3,2019
2134171804,Porzana porzana,MA,Ouled Salem,Doukkala-Abda,1,32.92425,-8.804402,0,4,2007
2742945857,Porzana porzana,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,4,2019
1726308192,Porzana porzana,MA,Barrage Aoulouz,Sous-Massa-Draa,3,30.686493,-8.150697,754,3,2016
1743165405,Porzana porzana,MA,Barrage Aoulouz,Sous-Massa-Draa,3,30.686493,-8.150697,754,3,2016
