gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3629994187,Porzana pusilla,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,8,2021
3131944443,Porzana pusilla,MA,واد ماسة -- الجوابر | Oued Massa-- Mares d'El Jouaber,Sous-Massa-Draa,1,29.922,-9.623,14,9,2013
3229743121,Porzana pusilla,MA,Oued Noun (Asaca),Sous-Massa-Draa,1,29.119614,-10.371902,31,3,2012
2832610797,Porzana pusilla,MA,Morocco - Massa,,1,30.003956,-9.656233,8,3,2015
2837723070,Porzana pusilla,MA,Morocco - Merja Zerga Parque National,,1,34.82182,-6.258173,9,3,2019
3715810615,Porzana pusilla,MA,Morocco - Asrir,,1,28.973668,-9.923037,288,3,2019
2840252021,Porzana pusilla,MA,Morocco - Dar Bouazza,,1,33.545269,-7.75938,16,3,2018
3132041492,Porzana pusilla,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,3,2008
2137615514,Porzana pusilla,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,3,2018
3546996837,Porzana pusilla,MA,Zouiat Massa,Sous-Massa-Draa,7,29.988342,-9.644785,10,4,2015
3509057489,Porzana pusilla,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,2,2021
2839600967,Porzana pusilla,MA,Morocco - Massa,,1,30.003956,-9.656233,8,3,2015
2840222060,Porzana pusilla,MA,Morocco - Dar Bouazza,,2,33.54501,-7.759423,14,3,2018
2836862806,Porzana pusilla,MA,Morocco - Dar Bouazza,,1,33.545472,-7.760006,12,2,2018
2839165617,Porzana pusilla,MA,Morocco - Massa,,2,29.989429,-9.644505,13,2,2015
3825147715,Porzana pusilla,MA,Morocco - Ida Ougoummad,,1,30.696839,-8.155406,691,4,2016
2832548553,Porzana pusilla,MA,Morocco - Massa,,2,29.987854,-9.644737,10,2,2015
2835776239,Porzana pusilla,MA,Morocco - Ida Ougoummad,,1,30.696225,-8.154533,688,3,2016
2836939941,Porzana pusilla,MA,Morocco - Tissint,,1,29.907962,-7.316382,557,3,2018
2832545730,Porzana pusilla,MA,Morocco - Massa,,1,30.003956,-9.656233,8,3,2015
2836881811,Porzana pusilla,MA,Morocco - Dar Bouazza,,1,33.543586,-7.765173,9,12,2017
