gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
959527993,Pterocles orientalis,MA,Al Baten,Fès-Boulemane,2,33.237537,-3.970184,1011,1,2009
2841835387,Pterocles orientalis,MA,Morocco - Boumalne Dades,,30,31.362301,-5.960521,1556,3,2019
3997669816,Pterocles orientalis,MA,Morocco - Tagdilt Track,,2,31.321967,-5.883865,1573,4,2012
2681654493,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,18,31.334959,-5.891968,1554,4,2019
2243593324,Pterocles orientalis,MA,"Tagdilt Track, Boumalne du Dades",,1,31.3536,-5.9738,1558,4,2012
4018712519,Pterocles orientalis,MA,"Ait Ayach, Khenifra Province, Drâa-Tafilalet",,1,32.7946,-4.9288,1507,12,2022
1158869054,Pterocles orientalis,MA,Tagdilt Track,Sous-Massa-Draa,18,31.361485,-5.967308,1556,3,2014
2701129553,Pterocles orientalis,MA,"Tagdilt New Road, Drâa-Tafilalet, MA (31.359, -5.912)",Sous-Massa-Draa,8,31.359337,-5.911984,1545,9,2019
2148455343,Pterocles orientalis,MA,Ruta Souss Massa-Tarudant-Aoulouz-Ourzazate-Agdz,Sous-Massa-Draa,1,30.665703,-8.18121,687,4,2006
3582782385,Pterocles orientalis,MA,Décharge de Boumalne,Sous-Massa-Draa,26,31.354313,-5.957429,1546,12,2018
1177812924,Pterocles orientalis,MA,Plaines de Zaida,Meknès-Tafilalet,1,32.791946,-4.944277,1483,6,2014
2739097098,Pterocles orientalis,MA,PN Souss-Massa--Ifenntar,Sous-Massa-Draa,6,29.96278,-9.659664,9,3,2019
2173703180,Pterocles orientalis,MA,Assif Amerzgane,Sous-Massa-Draa,8,31.038475,-7.215571,1324,5,2018
2801818557,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,30,31.334959,-5.891968,1554,3,2013
3276644421,Pterocles orientalis,MA,Smar,L'Oriental,1,32.9894,-3.72359,1024,10,2017
2151337426,Pterocles orientalis,MA,Plaines de Zaida,Meknès-Tafilalet,2,32.791946,-4.944277,1483,3,2018
3260340273,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track)--ancienne piste,Sous-Massa-Draa,6,31.328703,-5.922575,1551,4,2012
2705516640,Pterocles orientalis,MA,TanTan - Aferkat - Assa road,Guelmim-Es Smara,2,28.655973,-10.31998,393,1,2016
2726127455,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track)--ancienne piste,Sous-Massa-Draa,24,31.328703,-5.922575,1551,4,2016
1789994637,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,1,31.334959,-5.891968,1554,12,2005
2786230635,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track)--ancienne piste,Sous-Massa-Draa,10,31.328703,-5.922575,1551,10,2019
2754281760,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,11,31.334959,-5.891968,1554,4,2019
2679477267,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,18,31.334959,-5.891968,1554,4,2019
1396334898,Pterocles orientalis,MA,Kssar Lbour,Meknès-Tafilalet,1,31.4818,-5.146,1045,4,2007
2698732438,Pterocles orientalis,MA,Vallée des Oiseaux (Tagdilt Track),Sous-Massa-Draa,2,31.334959,-5.891968,1554,9,2019
2122520099,Pterocles orientalis,MA,"Unnamed Road, Drâa-Tafilalet, MA (31,322, -5,913)",Sous-Massa-Draa,5,31.322071,-5.913125,1559,1,2018
