gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3626805928,Puffinus griseus,MA,"Bouznika, Casablanca-Settat, MA (33,826, -7,146)",Chaouia-Ouardigha,2,33.82628,-7.146148,12,8,2021
3600123457,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,5,2021
3175528677,Puffinus griseus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,11,2003
2652632832,Puffinus griseus,MA,شاطئ القصبة (الصخيرات ) | Plage Kasbah (Rose Marie),Rabat-Salé-Zemmour-Zaer,2,33.88976,-7.013904,12,10,2006
2097108240,Puffinus griseus,MA,Agadir Pelagic,Sous-Massa-Draa,2,30.42505,-9.641049,0,9,2017
3197591593,Puffinus griseus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,5,30.627277,-9.886665,9,7,2020
2769744725,Puffinus griseus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,1,30.627277,-9.886665,9,11,2010
2148658691,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2013
1205173115,Puffinus griseus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,11,2010
3628194534,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,6,2021
2211589628,Puffinus griseus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,1,30.627277,-9.886665,9,3,2013
3217761513,Puffinus griseus,MA,Plage d'Akhfenir,Laâyoune-Boujdour-Sakia el Hamra,40,28.086882,-12.08218,10,9,2019
3191424417,Puffinus griseus,MA,"El Hank, Casablanca, Casablanca-Settat, MA (33,614, -7,651)",Grand Casablanca,1,33.614166,-7.65144,9,11,2020
2787974226,Puffinus griseus,ES,Costa Hacho--Acantilados Punta Almina/Desnarigado,Ceuta,1,35.89722,-5.279746,37,11,2018
1399933726,Puffinus griseus,MA,Agadir (general area),Sous-Massa-Draa,1,30.419369,-9.608402,10,11,2015
2832334269,Puffinus griseus,MA,Morocco - Souss\n,,1,30.391512,-9.682818,0,11,2012
2724283622,Puffinus griseus,ES,Playa del Desnarigado,Ceuta,2,35.895134,-5.28275,2,11,2008
2777845459,Puffinus griseus,ES,Costa Hacho--Acantilados Punta Almina/Desnarigado,Ceuta,1,35.89722,-5.279746,37,8,2018
3201716735,Puffinus griseus,MA,"El Hank, Casablanca, Casablanca-Settat, MA (33,614, -7,651)",Grand Casablanca,2,33.614166,-7.65144,9,9,2020
2165422405,Puffinus griseus,MA,"87472 Chtouka Ait Baha, Oued-Massa hotel/restaurant viewing window",Sous-Massa-Draa,1,30.0579,-9.686784,18,4,2018
2791539394,Puffinus griseus,ES,Playa del Desnarigado,Ceuta,2,35.895134,-5.28275,2,10,2006
3132133402,Puffinus griseus,MA,Plage d'Akhfenir,Laâyoune-Boujdour-Sakia el Hamra,56,28.086882,-12.08218,10,9,2019
2223842581,Puffinus griseus,ES,"2F Poligono 5PP, Ceuta, Ceuta, ES (35,895, -5,283)",Ceuta,1,35.89495,-5.282897,0,11,2018
3526383922,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,6,2021
3660916569,Puffinus griseus,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,11,2003
3623200347,Puffinus griseus,MA,Port de Tarfaya,Laâyoune-Boujdour-Sakia el Hamra,28,27.945261,-12.935386,10,9,2021
2698676048,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2002
3290272268,Puffinus griseus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,4,30.627277,-9.886665,9,7,2010
3525353097,Puffinus griseus,ES,Costa Hacho--Acantilados Punta Almina/Desnarigado,Ceuta,1,35.89722,-5.279746,37,10,2006
3186756742,Puffinus griseus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,10,30.627277,-9.886665,9,7,2020
3621595185,Puffinus griseus,MA,Port de Tarfaya,Laâyoune-Boujdour-Sakia el Hamra,39,27.945261,-12.935386,10,9,2021
3174552051,Puffinus griseus,MA,رأس الغير | Cap Ghir,Sous-Massa-Draa,13,30.627277,-9.886665,9,7,2020
966441930,Puffinus griseus,MA,Pelagic trip in Atlantic off Agadir,Sous-Massa-Draa,6,30.368135,-9.695435,0,9,2013
2184776586,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,7,2018
966066614,Puffinus griseus,MA,Pelagic trip in Atlantic off Agadir,Sous-Massa-Draa,6,30.368135,-9.695435,0,9,2013
2778521177,Puffinus griseus,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,9,2019
2797071538,Puffinus griseus,ES,Playa del Desnarigado,Ceuta,1,35.895134,-5.28275,2,11,2009
3214973489,Puffinus griseus,MA,MA-Agadir (Cap Rhir-Seawatch),Sous-Massa-Draa,2,30.626047,-9.884531,7,4,2016
2788737293,Puffinus griseus,ES,Punta Blanca,Ceuta,1,35.91375,-5.360241,1,9,2016
3681588789,Puffinus griseus,MA,Port de Tarfaya,Laâyoune-Boujdour-Sakia el Hamra,28,27.945261,-12.935386,10,9,2021
