gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2329819043,Riparia paludicola,MA,Tamanar / Marokko,,1,31.004686,-9.673462,326,3,2001
2329822400,Riparia paludicola,MA,Qued Massa - Flusslauf oberhalb von Massa,,1,29.989136,-9.664879,15,1,2014
2124472285,Riparia paludicola,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,8,33.54445,-7.761624,14,2,2018
1721512674,Riparia paludicola,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,10,31.486546,-9.769808,9,3,2016
3180167136,Riparia paludicola,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,4,31.486546,-9.769808,9,7,2018
2223720763,Riparia paludicola,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,2,31.486546,-9.769808,9,10,2018
2669707761,Riparia paludicola,MA,PN Souss-Massa--Ifenntar,Sous-Massa-Draa,25,29.96278,-9.659664,9,4,2019
2213089557,Riparia paludicola,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,1,35.195835,-6.111832,7,3,2016
2123898716,Riparia paludicola,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,2,30.070282,-9.662819,21,3,2013
2835524465,Riparia paludicola,MA,Morocco - Dar Bouazza,,12,33.544323,-7.764015,15,1,2018
2833643937,Riparia paludicola,MA,Morocco - Massa,,7,29.996084,-9.659666,13,3,2019
3727349041,Riparia paludicola,MA,Morocco - Massa,,20,29.983542,-9.717743,86,12,2018
2839594461,Riparia paludicola,MA,Morocco - Sidi Ouassay,,4,30.0075,-9.6541,10,4,2016
1719721900,Riparia paludicola,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,20,35.152462,-6.102734,13,3,2016
3239373621,Riparia paludicola,MA,واد ماسة -- بين سيدي وصواي و أغريمز | Oued Massa--route de Sidi Wassay à Aghorimze,Sous-Massa-Draa,1,30.038885,-9.666038,88,3,2020
2749525767,Riparia paludicola,MA,Aït Iyass bridge,Sous-Massa-Draa,5,29.993984,-9.660524,10,4,2019
