gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2726939626,Rissa tridactyla,ES,Playa de Calamocarro,Ceuta,5,35.911804,-5.357037,7,2,2009
3660291183,Rissa tridactyla,ES,Arroyo de Calamocarro,Ceuta,582,35.910793,-5.368713,140,2,2009
2725753319,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,76,35.91514,-5.362894,6,2,2009
3596682886,Rissa tridactyla,ES,Estación de observación O’Donnell,Ceuta,1,35.881878,-5.329693,48,2,2021
2798519473,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,20,35.91514,-5.362894,6,11,2008
3535371685,Rissa tridactyla,ES,Seleccionado automáticamente,Andalucía,1,35.93271,-5.595104,0,3,2021
1191934924,Rissa tridactyla,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2009
2725753325,Rissa tridactyla,ES,Playa de Calamocarro,Ceuta,34,35.911804,-5.357037,7,11,2009
2719371618,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,582,35.91514,-5.362894,6,2,2009
3510662380,Rissa tridactyla,ES,Estación de observación O’Donnell,Ceuta,3,35.881878,-5.329693,48,3,2021
2790781552,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,2,35.91514,-5.362894,6,1,2009
1191944073,Rissa tridactyla,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,2,2009
2772777885,Rissa tridactyla,ES,Punta Blanca,Ceuta,2,35.91375,-5.360241,1,4,2017
3643867904,Rissa tridactyla,ES,Seleccionado automáticamente,Andalucía,1,35.93271,-5.595104,0,3,2021
2727116464,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,3,35.91514,-5.362894,6,3,2009
2769113954,Rissa tridactyla,ES,Costa Hacho--Acantilados Punta Almina/Desnarigado,Ceuta,7,35.89722,-5.279746,37,10,2017
3596336920,Rissa tridactyla,ES,Estación de observación O’Donnell,Ceuta,1,35.881878,-5.329693,48,2,2021
2727868121,Rissa tridactyla,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,2,2018
2786915683,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,7,35.91514,-5.362894,6,2,2009
2786288952,Rissa tridactyla,ES,Costa Hacho--Acantilados Punta Almina/Desnarigado,Ceuta,1,35.89722,-5.279746,37,10,2017
2802064931,Rissa tridactyla,ES,Playa del Desnarigado,Ceuta,1,35.895134,-5.28275,2,11,2008
2838613192,Rissa tridactyla,MA,Morocco - Oualidia,,1,32.785592,-8.979778,12,10,2012
2797597007,Rissa tridactyla,ES,CEUTA (Sin especificar lugar),Ceuta,1,35.88783,-5.31149,25,6,2018
2722174713,Rissa tridactyla,ES,Playa de la Ribera,Ceuta,9,35.88705,-5.316519,0,2,2009
2653038161,Rissa tridactyla,MA,Agadir--pélagique générale,Sous-Massa-Draa,1,30.387526,-9.873276,0,2,2018
3296611316,Rissa tridactyla,MA,Oualidia tidal marshes,Doukkala-Abda,1,32.75977,-9.007502,5,3,2007
2772052342,Rissa tridactyla,ES,costa norte—Benzú/Punta Blanca/Calamocarro,Ceuta,4,35.91514,-5.362894,6,2,2009
3618084171,Rissa tridactyla,ES,Acantilados de Aguadú,Melilla,4,35.315456,-2.945325,9,1,2021
3230690043,Rissa tridactyla,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2014
1191934939,Rissa tridactyla,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,1,30.185549,-9.627369,90,2,2009
3644952073,Rissa tridactyla,ES,Seleccionado automáticamente,Andalucía,1,35.93271,-5.595104,0,3,2021
3666997621,Rissa tridactyla,MA,Plage d'Assilah | شاطئ أصيلة,Tanger-Tétouan,1,35.473946,-6.027833,9,12,2021
2726328479,Rissa tridactyla,ES,Playa del Chorrillo,Ceuta,28,35.884953,-5.322255,0,2,2009
2713364294,Rissa tridactyla,ES,Costa Hacho--Area general,Ceuta,12,35.902905,-5.293331,5,11,2009
2715506512,Rissa tridactyla,ES,Bahía Norte,Ceuta,1,35.907772,-5.338785,0,2,2009
3511955566,Rissa tridactyla,ES,Seleccionado automáticamente,Andalucía,1,35.93271,-5.595104,0,3,2021
2724399234,Rissa tridactyla,ES,Playa Benítez,Ceuta,1,35.894264,-5.336159,11,2,2009
2714842520,Rissa tridactyla,ES,Playa de Calamocarro,Ceuta,1,35.911804,-5.357037,7,2,2009
3902141630,Rissa tridactyla,MA,,,1,30.303465,-9.889078,0,2,2018
3718968358,Rissa tridactyla,ES,Spain - Melilla,,4,35.314932,-2.944787,1,1,2021
2726440341,Rissa tridactyla,ES,Playa Benítez,Ceuta,6,35.894264,-5.336159,11,2,2009
