gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2573997422,Saxicola rubicola,MA,,Souss - Massa - Draâ,1,30.208175,-9.623,75,3,2019
3014066693,Saxicola rubicola,MA,,Souss - Massa - Draâ,1,29.993739,-9.653358,9,9,2015
1932335115,Saxicola rubicola,MA,,Souss - Massa - Draâ,1,30.066373,-9.663181,13,10,2018
2579275494,Saxicola rubicola,MA,,Souss - Massa - Draâ,1,30.057993,-9.656311,13,2,2020
2706060273,Saxicola rubicola,MA,BenAhmed-terrain de sport,Chaouia-Ouardigha,1,33.075546,-7.243359,636,11,2019
2714304031,Saxicola rubicola,MA,"Sidi Rabat, Souss Massa, MA (30.086, -9.664)",Sous-Massa-Draa,2,30.086271,-9.664232,48,9,2019
2757621198,Saxicola rubicola,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,8,30.031328,-9.644645,8,4,2019
1408835209,Saxicola rubicola,MA,Marais du Bas Loukkos--champs inondés,Tanger-Tétouan,3,35.145115,-6.065397,10,12,2015
2125321794,Saxicola rubicola,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,15,30.711512,-9.855123,9,1,2018
1778487355,Saxicola rubicola,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,3,30.031328,-9.644645,8,12,2016
3614067774,Saxicola rubicola,ES,TE87–T7,Ceuta,1,35.89381,-5.344833,21,2,2021
3540000766,Saxicola rubicola,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,1,30.918804,-6.835792,1093,2,2020
2217268770,Saxicola rubicola,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,11,2018
2673207654,Saxicola rubicola,MA,"(30.0529,-9.6804)",Sous-Massa-Draa,1,30.052895,-9.680443,61,4,2019
3635861433,Saxicola rubicola,MA,Oued Ikkem,Rabat-Salé-Zemmour-Zaer,2,33.892357,-7.004562,12,12,2021
1755399522,Saxicola rubicola,MA,Vallée de Kasbat Ayir,Doukkala-Abda,15,32.710217,-9.064321,8,2,2016
3645731673,Saxicola rubicola,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,4,31.201849,-7.859733,2609,2,2000
3586282975,Saxicola rubicola,MA,Blick Marrakech,Marrakech-Tensift-Al Haouz,5,31.401108,-7.765705,866,4,2019
2242820284,Saxicola rubicola,MA,,Tanger - Tétouan,1,35.816043,-5.74679,47,4,2019
2832462221,Saxicola rubicola,MA,Morocco - Sidi Ouassay,,1,30.045989,-9.647119,7,4,2013
2844830203,Saxicola rubicola,MA,Morocco - Oualidia,,1,32.745521,-9.025125,6,10,2019
2839289058,Saxicola rubicola,MA,Morocco - Sidi Ouassay,,1,29.9992,-9.6388,21,1,2016
2839521509,Saxicola rubicola,MA,Morocco - Massa,,1,30.0048,-9.6556,8,4,2016
2842984302,Saxicola rubicola,MA,Morocco - Sidi Ouassay,,1,30.024772,-9.642933,7,3,2017
2840507323,Saxicola rubicola,MA,Morocco - Larache,,1,35.173009,-6.109786,14,9,2013
3822358776,Saxicola rubicola,MA,Morocco - Tamaguert,,1,31.543398,-7.535518,948,3,2016
1785929291,Saxicola rubicola,MA,Road Marrakesch - Boumalne,Sous-Massa-Draa,3,31.08167,-6.432116,1322,2,2008
1346248953,Saxicola rubicola,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,6,30.36236,-9.586773,10,1,2015
837470290,Saxicola rubicola,MA,Agadir,Sous-Massa-Draa,1,30.938967,-7.21158,1258,2,2001
