gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1614187693,Strix aluco,ES,Barranco de la ventolera,Ceuta,1,35.88333,-5.31667,0,7,2003
1614170066,Strix aluco,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,5,2000
1614173022,Strix aluco,ES,Arroyo topete,Ceuta,1,35.88333,-5.31667,0,5,2002
1614184601,Strix aluco,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,5,2004
1614187664,Strix aluco,ES,Barranco de la ventolera,Ceuta,1,35.88333,-5.31667,0,5,2003
1614187642,Strix aluco,ES,Arroyo topete,Ceuta,1,35.88333,-5.31667,0,5,2004
1614172996,Strix aluco,ES,Arroyo topete,Ceuta,1,35.88333,-5.31667,0,5,2002
1614173019,Strix aluco,ES,Arroyo topete,Ceuta,1,35.88333,-5.31667,0,5,2002
1614148209,Strix aluco,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,9,2000
1614184527,Strix aluco,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,5,2004
3552911232,Strix aluco,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,5,2020
2243787204,Strix aluco,MA,"Al Haouz, Marrakech-Safi",,1,31.1938,-8.0576,917,11,2017
2609685085,Strix aluco,MA,"Al Haouz, Marrakech-Safi",,1,31.3527,-7.7636,914,4,2017
2210280117,Strix aluco,MA,PN Béni Snassen,L'Oriental,1,34.81067,-2.404504,794,1,2015
3614967968,Strix aluco,ES,Balsa de la M1,Melilla,1,35.31389,-2.950727,100,4,2021
2739649206,Strix aluco,MA,"Merijha, Tinmel Mosque, Naima Fatima, Tizi n’Test",Marrakech-Tensift-Al Haouz,2,30.981876,-8.230348,1238,5,2017
3688181708,Strix aluco,ES,Tesoreria,Ceuta,1,35.88721,-5.304985,53,1,2021
3552266190,Strix aluco,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,5,2020
2043160261,Strix aluco,MA,Vallée de l'Ourika,Marrakech-Tensift-Al Haouz,2,31.239517,-7.664165,1364,4,2017
3550383167,Strix aluco,ES,Estación de observación O’Donnell,Ceuta,1,35.881878,-5.329693,48,4,2021
2711105248,Strix aluco,MA,"just W. of R507 at 0.5 km due NW. of jncn with P5432 (ca 26.4 km due S. of Taza, centre)",Taza-Al Hoceima-Taounate,1,33.9825,-4.0619,1398,6,2017
3277784986,Strix aluco,MA,Plains Ifrane,Meknès-Tafilalet,1,33.484764,-5.075368,1721,3,2004
3234281949,Strix aluco,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz 31.26438, -7.81891",Marrakech-Tensift-Al Haouz,1,31.26438,-7.818908,1514,2,2020
3295882094,Strix aluco,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,2,2018
2726527247,Strix aluco,MA,Ijjoukak,Marrakech-Tensift-Al Haouz,1,30.9984,-8.1599,1204,2,2006
1791390747,Strix aluco,MA,Fôret Urbaine de Dar es-Salam,Rabat-Salé-Zemmour-Zaer,3,33.916267,-6.853956,107,10,2006
3632264221,Strix aluco,ES,Finca Ferrer,Ceuta,1,35.910786,-5.359771,51,10,2020
2058337851,Strix aluco,MA,Parc National de Tazekka,Taza-Al Hoceima-Taounate,1,34.07908,-4.120763,1470,5,2017
2048093493,Strix aluco,MA,La Bergerie Hotel Grounds,Marrakech-Tensift-Al Haouz,2,31.193865,-8.057565,917,2,2017
2088140631,Strix aluco,MA,"P2030, Marrakech-Tensift-Al Haouz, MA (31,202, -7,86)",Marrakech-Tensift-Al Haouz,1,31.201721,-7.860442,2606,10,2017
3297917192,Strix aluco,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz 31.26450, -7.81890",Marrakech-Tensift-Al Haouz,1,31.264502,-7.8189,1517,2,2020
3602548141,Strix aluco,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,5,2020
2681288728,Strix aluco,MA,Bled Data,Rabat-Salé-Zemmour-Zaer,3,33.941082,-6.787908,22,6,2019
2687629783,Strix aluco,MA,Fôret Toufliht,Marrakech-Tensift-Al Haouz,1,31.478024,-7.434708,1465,2,2018
2797878203,Strix aluco,MA,Oulad Berhil,Sous-Massa-Draa,1,30.637672,-8.465223,499,3,2018
3568762731,Strix aluco,ES,Desembocadura del río Oro - Melilla,Melilla,1,35.287426,-2.943157,9,5,2021
