gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1613320262,Sturnus unicolor,ES,Barriadas campo exterior,Ceuta,1,35.88333,-5.31667,0,5,2001
3743058801,Sturnus unicolor,MA,,Meknès - Tafilalet,1,33.886468,-5.553576,537,4,2019
2330420154,Sturnus unicolor,MA,Qued Massa - Flusslauf oberhalb von Massa,,1,29.989136,-9.664879,15,1,2014
2330372612,Sturnus unicolor,MA,Volubilis,,1,34.072926,-5.55449,383,12,2014
2330237566,Sturnus unicolor,MA,Ifrane / Marokko,,1,33.519646,-5.107956,1699,6,2017
2330427219,Sturnus unicolor,MA,Agadir,,1,30.383686,-9.597459,9,3,2001
2330279752,Sturnus unicolor,MA,"Dayet Aaoua b. Ifrane, Marokko",,1,33.663498,-5.015602,1500,3,2001
2330285377,Sturnus unicolor,MA,Ifrane / Marokko,,1,33.519646,-5.107956,1699,6,2017
2330298253,Sturnus unicolor,MA,Casablanca,,1,33.539104,-7.67189,98,12,2014
2330342898,Sturnus unicolor,MA,Oued Massa / Marokko,,1,30.063412,-9.66475,13,1,2009
2801490163,Sturnus unicolor,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,4,2010
3662222792,Sturnus unicolor,MA,Marais du Oued Hachef,Tanger-Tétouan,8,35.559982,-5.977306,12,12,2021
3873073877,Sturnus unicolor,MA,,Chaouia - Ouardigha,1,33.069659,-7.23337,622,7,2022
3961017069,Sturnus unicolor,MA,,Chaouia - Ouardigha,1,33.069686,-7.236091,630,10,2022
3455841371,Sturnus unicolor,MA,,Chaouia - Ouardigha,1,33.069335,-7.227363,618,12,2021
2182903830,Sturnus unicolor,MA,N13 n. of Midelt,Meknès-Tafilalet,1,32.752586,-4.920394,1477,5,2018
2666612703,Sturnus unicolor,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,2,33.713158,-6.929712,284,4,2019
3227584547,Sturnus unicolor,MA,Marais d'el-Hotba,Doukkala-Abda,4,32.916702,-8.815498,0,1,2020
3659052463,Sturnus unicolor,MA,PN Ifran--Dayet Ifrah,Meknès-Tafilalet,20,33.556587,-4.933805,1618,12,2013
2133183131,Sturnus unicolor,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,2,2018
2204387784,Sturnus unicolor,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,10,2018
2212275282,Sturnus unicolor,MA,R. Jabal Toubkal (زنقة جبال توبقال),Rabat-Salé-Zemmour-Zaer,8,33.996597,-6.848962,55,11,2018
2109895813,Sturnus unicolor,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,31,33.07076,-7.232351,632,12,2017
2228660044,Sturnus unicolor,MA,Sidi Wassay area,Sous-Massa-Draa,4,30.053,-9.685691,51,11,2018
2769717845,Sturnus unicolor,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,3,2019
3644454725,Sturnus unicolor,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,9,2021
3554745121,Sturnus unicolor,MA,سد الحيمر | El-Haiemer Dam,Chaouia-Ouardigha,24,33.105087,-7.344983,430,10,2021
1778493552,Sturnus unicolor,MA,Sidi Wassay,Sous-Massa-Draa,10,30.05579,-9.686189,33,12,2016
3206237464,Sturnus unicolor,MA,Smir Lagune | واد سمير,Tanger-Tétouan,1,35.717155,-5.33949,7,8,2001
3168406918,Sturnus unicolor,ES,"4 Avenida Ejército Español, Ceuta, Ceuta, ES (35,888, -5,33)",Ceuta,6,35.888367,-5.329884,75,5,2020
2161009070,Sturnus unicolor,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,6,30.031328,-9.644645,8,4,2018
3229455185,Sturnus unicolor,ES,Casco urbano—jardines de la Argentina,Ceuta,4,35.8899,-5.319831,7,4,2020
2731951734,Sturnus unicolor,MA,Bois Omar Ibn Khattab (Fôret Moulay Abdellah),Rabat-Salé-Zemmour-Zaer,1,33.996227,-6.840749,63,5,2019
2695179513,Sturnus unicolor,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,26,33.07076,-7.232351,632,8,2019
2110117546,Sturnus unicolor,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,12,34.013096,-6.813711,11,12,2017
1390770673,Sturnus unicolor,MA,Ruines de Chellah,Rabat-Salé-Zemmour-Zaer,2,34.00692,-6.821973,52,9,2015
2144666382,Sturnus unicolor,MA,واد ماسة -- حقول أغريمز | Oued Massa--champs d'Aghorimze,Sous-Massa-Draa,11,30.031328,-9.644645,8,3,2018
2785954577,Sturnus unicolor,MA,Casablanca - Rabat,Rabat-Salé-Zemmour-Zaer,10,33.874916,-7.013475,29,4,2016
3148563443,Sturnus unicolor,ES,"2G Lugar Loma Colmenar (35,879, -5,34)",Ceuta,20,35.878574,-5.340087,39,2,2020
1791770890,Sturnus unicolor,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,60,31.201849,-7.859733,2609,3,2013
1720566060,Sturnus unicolor,MA,Plaines de Zaida,Meknès-Tafilalet,60,32.791946,-4.944277,1483,3,2016
2738408912,Sturnus unicolor,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2019
2175158970,Sturnus unicolor,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,3,2014
2721024106,Sturnus unicolor,MA,Jardins de l'agdal,Marrakech-Tensift-Al Haouz,1,31.593964,-7.973971,488,10,2011
1388421983,Sturnus unicolor,MA,R. Jabal Toubkal (زنقة جبال توبقال),Rabat-Salé-Zemmour-Zaer,5,33.996597,-6.848962,55,9,2015
2187966886,Sturnus unicolor,MA,Aéroport International Agadir al-Massira,Sous-Massa-Draa,1,30.3226,-9.4112,66,2,2004
2683080152,Sturnus unicolor,MA,Gorges du Oued Guigou,Meknès-Tafilalet,20,33.150787,-5.060921,1913,6,2019
1786628239,Sturnus unicolor,MA,Rabat (general area),Rabat-Salé-Zemmour-Zaer,15,34.014935,-6.832794,42,1,2015
1715111918,Sturnus unicolor,MA,Ouled Mhamed,Doukkala-Abda,10,32.631138,-8.782539,125,2,2016
2150735622,Sturnus unicolor,MA,Route touristique des Cèdres | الطريق السياحية للمحمية الطبيعية للأرز,Meknès-Tafilalet,1,33.41931,-5.18162,1762,3,2018
1764055999,Sturnus unicolor,MA,R. Jabal Toubkal (زنقة جبال توبقال),Rabat-Salé-Zemmour-Zaer,6,33.996597,-6.848962,55,9,2016
