gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1620196723,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2016
1620501764,Sylvia cantillans,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,3,2016
1620305439,Sylvia cantillans,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2014
1620560015,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,3,2019
1615989870,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2001
1617499588,Sylvia cantillans,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,3,2012
1616438968,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2004
1616593482,Sylvia cantillans,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,3,2005
1617495505,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,4,2011
1615930382,Sylvia cantillans,ES,Islas chafarinas,Melilla,1,35.18222,-2.42944,28,4,2000
2543475343,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2009
1618926799,Sylvia cantillans,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,3,2013
1615947929,Sylvia cantillans,ES,Isla de isabel ii,Melilla,1,35.18222,-2.42944,28,5,2000
1616216293,Sylvia cantillans,ES,Huerta ferrer,Ceuta,1,35.88333,-5.31667,0,4,2003
1616261141,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2003
1616399109,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2004
1618926545,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2012
1616663471,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2007
1620358595,Sylvia cantillans,ES,Lomas de los huesos,Ceuta,1,35.88333,-5.31667,0,3,2014
1616495408,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2005
1620501979,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,4,2018
1620543518,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,4,2018
1620244858,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,5,2018
1615923968,Sylvia cantillans,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,4,2002
1617594387,Sylvia cantillans,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2012
1617149122,Sylvia cantillans,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,9,2009
1620560065,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,3,2019
1615930665,Sylvia cantillans,ES,Islas chafarinas,Melilla,1,35.18222,-2.42944,28,5,2000
1616368554,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,10,2014
1616017802,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2002
1618946261,Sylvia cantillans,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2015
1620501784,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,3,2016
1620514930,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2017
1617594082,Sylvia cantillans,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2012
1616647176,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2007
1615857198,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2005
1620375390,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,4,2014
1620543351,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2018
1617116533,Sylvia cantillans,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,3,2010
1620336270,Sylvia cantillans,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,4,2013
1620559213,Sylvia cantillans,ES,Lomas de los huesos,Ceuta,1,35.88333,-5.31667,0,4,2019
1620559248,Sylvia cantillans,ES,Lomas de los huesos,Ceuta,1,35.88333,-5.31667,0,4,2019
1615843129,Sylvia cantillans,ES,Isla de isabel ii,Melilla,1,35.18222,-2.42944,28,5,2001
2543169678,Sylvia cantillans,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,4,2015
