gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1620537120,Sylvia conspicillata,ES,Lomas de los huesos,Ceuta,1,35.88333,-5.31667,0,9,2017
3199501213,Sylvia conspicillata,MA,Les Grandes Plaines.,Guelmim-Es Smara,10,28.818428,-10.325489,193,10,2011
2780911328,Sylvia conspicillata,MA,Plateau d'Amskar,Sous-Massa-Draa,2,30.639065,-7.802267,1909,4,2002
3567892496,Sylvia conspicillata,MA,تدامريشت -- سد المنصور الدهبي | Barrage El Mansour Eddahbi--tadamreesht -- domaine générale,Sous-Massa-Draa,4,30.918804,-6.835792,1093,2,2020
1617497019,Sylvia conspicillata,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,9,2011
1615922619,Sylvia conspicillata,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,4,2000
1616402073,Sylvia conspicillata,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,4,2004
1790197844,Sylvia conspicillata,MA,Oued Dades--Boumalne,Sous-Massa-Draa,1,31.369457,-5.988785,1522,1,2004
2783831149,Sylvia conspicillata,MA,Guelmim-Es Smara,Guelmim-Es Smara,1,28.817945,-10.366231,174,3,2015
1616754530,Sylvia conspicillata,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,9,2007
2732973063,Sylvia conspicillata,MA,Tizi n'Zad,Meknès-Tafilalet,2,33.309875,-5.113744,1886,5,2017
2102482305,Sylvia conspicillata,MA,Sandy plains,Guelmim-Es Smara,1,28.817204,-10.334297,190,2,2017
2243566198,Sylvia conspicillata,MA,Oued Massa,,1,30.0588,-9.6398,138,2,2013
2243568423,Sylvia conspicillata,MA,Oued Massa,,1,30.0588,-9.6398,138,2,2013
2243855808,Sylvia conspicillata,MA,"Province de Boulemane, Fès-Meknès",,1,33.0524,-3.9582,858,5,2019
3135900554,Sylvia conspicillata,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,2,2020
2797155881,Sylvia conspicillata,MA,مرزوكة -- كتبان عرق شبي | Erg Chebbi--Merzouga,Meknès-Tafilalet,1,31.08315,-3.999495,697,9,2015
3617671657,Sylvia conspicillata,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,11,2021
2219715303,Sylvia conspicillata,MA,Zone des dykes (~Skoura),Sous-Massa-Draa,1,30.961294,-6.137902,2006,3,2000
2678495130,Sylvia conspicillata,MA,"Drâa-Tafilalet, MA (31,094, -4,063)",Meknès-Tafilalet,2,31.093853,-4.062666,694,3,2019
1779225087,Sylvia conspicillata,MA,N10--km43 (site de Scotocerca inquieta),Meknès-Tafilalet,3,31.756083,-4.837632,1082,12,2016
3294058890,Sylvia conspicillata,MA,Les Grandes Plaines.,Guelmim-Es Smara,2,28.818428,-10.325489,193,1,2002
1194066232,Sylvia conspicillata,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,1,30.36236,-9.586773,10,3,2014
1369204295,Sylvia conspicillata,MA,Auberge Derkaoua,Meknès-Tafilalet,4,31.28981,-4.091935,747,5,2015
2797081903,Sylvia conspicillata,MA,Merzouga--general area,Meknès-Tafilalet,2,31.09699,-4.014003,692,12,2015
2763704089,Sylvia conspicillata,MA,واد سوس | Embouchure du Oued Souss,Sous-Massa-Draa,2,30.36236,-9.586773,10,2,2007
