gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2330703187,Tachybaptus ruficollis,MA,Lac de Sidi Bourhaba / Marokko,,1,34.257217,-6.670761,20,3,2001
2330698018,Tachybaptus ruficollis,MA,Lac de Sidi Bourhaba / Marokko,,1,34.257217,-6.670761,20,4,2015
3212134840,Tachybaptus ruficollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2006
2060299353,Tachybaptus ruficollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,30,33.65042,-5.029721,1470,4,2017
3552965088,Tachybaptus ruficollis,MA,Fôret de Sidi Bettache (Fôret de Zaër),Rabat-Salé-Zemmour-Zaer,20,33.56109,-6.871708,415,11,2013
1187823492,Tachybaptus ruficollis,MA,essaouira,Marrakech-Tensift-Al Haouz,2,31.50363,-9.84375,0,9,2014
1355810210,Tachybaptus ruficollis,MA,منتزة سوس ماسة -- فضاء عام | PN Souss-Massa--domaine générale,Sous-Massa-Draa,3,30.185549,-9.627369,90,3,2015
2179530553,Tachybaptus ruficollis,MA,Daya de Ain Guedid | ضاية عين ݣديد,Grand Casablanca,4,33.556343,-7.739297,11,5,2018
2658690219,Tachybaptus ruficollis,MA,واد اللكوس -- مناقع سافلة حوض اللكوس ( موقع لكسوس) | Marais du Bas Loukkos--domaine général,Tanger-Tétouan,4,35.195835,-6.111832,7,3,2007
2669152833,Tachybaptus ruficollis,MA,"Drâa-Tafilalet, MA (31,086, -4,042)",Meknès-Tafilalet,4,31.086264,-4.042019,682,3,2019
2231200259,Tachybaptus ruficollis,MA,"(33,784, -6,932)",Rabat-Salé-Zemmour-Zaer,3,33.78428,-6.932378,194,12,2018
1393797033,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,9,2015
3204437496,Tachybaptus ruficollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,20,30.070282,-9.662819,21,3,2006
3198848976,Tachybaptus ruficollis,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,5,33.54445,-7.761624,14,12,2020
2040279528,Tachybaptus ruficollis,MA,Oued Ikkem,Rabat-Salé-Zemmour-Zaer,2,33.892357,-7.004562,12,3,2017
1784868406,Tachybaptus ruficollis,MA,Lac Aguelmame Sidi Ali,Meknès-Tafilalet,3,33.075,-4.994767,2081,4,2015
2840481937,Tachybaptus ruficollis,MA,Morocco - Salines de Oualidia,,10,32.784315,-8.971595,8,10,2016
2832395241,Tachybaptus ruficollis,MA,Morocco - Kénitra - Lac Sidi Bourhaba PN,,15,34.23228,-6.687578,16,1,2014
2832921252,Tachybaptus ruficollis,MA,Morocco - Mehdya,,13,34.244687,-6.669985,16,10,2017
2835358928,Tachybaptus ruficollis,MA,Morocco - Dayet Hachlaf,,31,33.580513,-4.979553,1651,2,2011
1788754712,Tachybaptus ruficollis,MA,"Maroc-Meknès, Bassin Souani,",Meknès-Tafilalet,3,33.88105,-5.56008,531,4,2014
1389059272,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,3,34.24279,-6.672684,7,4,2012
2103133542,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,15,34.24279,-6.672684,7,1,2018
2667080996,Tachybaptus ruficollis,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,4,2019
2753749863,Tachybaptus ruficollis,MA,Station de traitement d'eau usé de BenAhmed | محطة معالجة المياه العادمة بابن أحمد,Chaouia-Ouardigha,31,33.071087,-7.258047,552,5,2019
2214094530,Tachybaptus ruficollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,12,2004
1724158278,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,8,34.24279,-6.672684,7,3,2016
3584234464,Tachybaptus ruficollis,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,2,33.54445,-7.761624,14,1,2021
3507426495,Tachybaptus ruficollis,MA,Salines de Oualidia,Doukkala-Abda,7,32.781796,-8.973387,7,2,2021
2190642499,Tachybaptus ruficollis,MA,Dayat er-Roumi,Rabat-Salé-Zemmour-Zaer,9,33.746502,-6.189523,337,9,2018
3626529758,Tachybaptus ruficollis,MA,Sidi Yahya,Chaouia-Ouardigha,1,33.826485,-6.903731,129,1,2013
3625564619,Tachybaptus ruficollis,MA,Oued Ikkem,Rabat-Salé-Zemmour-Zaer,53,33.892357,-7.004562,12,10,2021
1784878297,Tachybaptus ruficollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,4,2015
2750903013,Tachybaptus ruficollis,MA,مرزوكة -- كتبان عرق شبي | Erg Chebbi--Merzouga,Meknès-Tafilalet,4,31.08315,-3.999495,697,2,2019
3291638900,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,4,2003
3294077894,Tachybaptus ruficollis,MA,MA-Bou Anguer (Lac Aguelmame Sidi Ali),Meknès-Tafilalet,2,33.078896,-4.995409,2086,4,2016
2050302153,Tachybaptus ruficollis,MA,Agadir,Sous-Massa-Draa,3,30.94037,-7.20752,1256,3,2017
2669904845,Tachybaptus ruficollis,MA,"Route de Zenata, Mohammedia MA-Grand Casablanca (33.6642,-7.4508)",Grand Casablanca,5,33.664238,-7.450829,13,4,2019
2231182339,Tachybaptus ruficollis,MA,"(33,729, -6,931)",Rabat-Salé-Zemmour-Zaer,4,33.728508,-6.93053,257,12,2018
2175803298,Tachybaptus ruficollis,MA,Fôret de Sidi Bettache (Fôret de Zaër),Rabat-Salé-Zemmour-Zaer,1,33.56109,-6.871708,415,3,2014
1715110868,Tachybaptus ruficollis,MA,Ouled Mhamed,Doukkala-Abda,15,32.631138,-8.782539,125,2,2016
1402543308,Tachybaptus ruficollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,100,33.65042,-5.029721,1470,9,2014
3674740745,Tachybaptus ruficollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,12,2013
1191779227,Tachybaptus ruficollis,EH,Oued Saquiat Al-Hamra--Laayoune,Western Sahara,10,27.161089,-13.185421,22,1,2010
2791751496,Tachybaptus ruficollis,MA,Merja de Fouwarate,Gharb-Chrarda-Beni Hssen,1,34.27052,-6.540161,12,4,2019
1792938227,Tachybaptus ruficollis,MA,Lac Tinsekht,Marrakech-Tensift-Al Haouz,1,30.891514,-9.720448,342,12,2014
3663524605,Tachybaptus ruficollis,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,2,33.54445,-7.761624,14,10,2013
2046321789,Tachybaptus ruficollis,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,8,34.013096,-6.813711,11,3,2017
1755400726,Tachybaptus ruficollis,MA,Marais de Douar El Abet,Doukkala-Abda,1,32.919277,-8.808482,10,2,2016
2696971355,Tachybaptus ruficollis,MA,"(33,5445,-7,7594)",Grand Casablanca,10,33.544533,-7.75944,14,4,2018
1346245854,Tachybaptus ruficollis,MA,Massa River E Tikioute,Sous-Massa-Draa,2,29.98565,-9.662724,10,1,2015
2755552819,Tachybaptus ruficollis,MA,Station de traitement d'eau usé de BenAhmed | محطة معالجة المياه العادمة بابن أحمد,Chaouia-Ouardigha,6,33.071087,-7.258047,552,1,2017
1732722952,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,8,34.24279,-6.672684,7,4,2016
2233491899,Tachybaptus ruficollis,MA,Lac Ouiouane,Meknès-Tafilalet,2,33.13104,-5.343613,1606,12,2018
3651888250,Tachybaptus ruficollis,EH,Oued Saquiat Al-Hamra--Laayoune,Western Sahara,2,27.161089,-13.185421,22,7,2021
3203546316,Tachybaptus ruficollis,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,3,30.070282,-9.662819,21,2,2016
2774017120,Tachybaptus ruficollis,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,3,34.24279,-6.672684,7,4,2019
2783435688,Tachybaptus ruficollis,MA,"Merjda Khaloufa, Rabat-Salé-Kénitra, MA (34.958, -6.252)",Gharb-Chrarda-Beni Hssen,15,34.957634,-6.251506,13,9,2019
2043141245,Tachybaptus ruficollis,MA,Tansikhte: Oued Draa crossing.,Sous-Massa-Draa,1,30.687378,-6.192169,856,2,2017
1410659153,Tachybaptus ruficollis,EH,Laayoune,Western Sahara,2,27.163069,-13.194344,19,3,2011
3212565747,Tachybaptus ruficollis,MA,MA-Bouznika (Oued Cherrat),Rabat-Salé-Zemmour-Zaer,4,33.824554,-7.115623,14,4,2019
2662481966,Tachybaptus ruficollis,MA,Plaines de Zaida,Meknès-Tafilalet,1,32.791946,-4.944277,1483,3,2019
2776736266,Tachybaptus ruficollis,MA,واد قصب | Oued Ksab,Marrakech-Tensift-Al Haouz,1,31.486546,-9.769808,9,5,2019
2696117832,Tachybaptus ruficollis,MA,Plage Blanche,Guelmim-Es Smara,8,28.961557,-10.60406,16,9,2019
2033888966,Tachybaptus ruficollis,MA,Oued Massa riparian and fields,Sous-Massa-Draa,1,29.988783,-9.665572,14,2,2017
2763957291,Tachybaptus ruficollis,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,5,33.65042,-5.029721,1470,4,2019
2125835845,Tachybaptus ruficollis,MA,Ouled Oqba er-Riah,Rabat-Salé-Zemmour-Zaer,1,34.009636,-6.784675,9,3,2018
2205833279,Tachybaptus ruficollis,MA,"Unnamed Road, Guelmim-Oued Noun, MA (28,97, -10,228)",Guelmim-Es Smara,4,28.970123,-10.228284,178,11,2018
1354829741,Tachybaptus ruficollis,MA,Erg Chebbi--nord,Meknès-Tafilalet,1,31.212925,-3.9884,736,3,2015
3210831146,Tachybaptus ruficollis,MA,واد اللكوس -- مناقع دوار عين الشوك | Marais du Bas Loukkos--Marais de Douar Ain Chouk,Tanger-Tétouan,1,35.152462,-6.102734,13,8,2004
1205341283,Tachybaptus ruficollis,MA,بحيرة الواليدية | Lagune d'Oualidia--domaine général,Doukkala-Abda,1,32.736244,-9.039345,4,2,2005
3576276998,Tachybaptus ruficollis,MA,مصب أسيف نصرو | Estuaire du Asif n'Srou,Sous-Massa-Draa,2,30.711512,-9.855123,9,11,2021
