gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2184915457,Tachymarptis melba,MA,Raqbat el-Aagouz,Rabat-Salé-Zemmour-Zaer,6,33.552917,-6.259733,558,9,2018
2999128584,Tachymarptis melba,MA,,Fès - Boulemane,1,34.022056,-5.00775,429,4,2017
3647625146,Tachymarptis melba,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,11,2021
2182514048,Tachymarptis melba,MA,Marrakech--general area,Marrakech-Tensift-Al Haouz,4,31.632746,-7.99386,461,6,2018
3197667023,Tachymarptis melba,MA,Jardins de la Ménara,Marrakech-Tensift-Al Haouz,1,31.61392,-8.019966,465,4,2019
2170213401,Tachymarptis melba,ES,Tarifa--Offshore,Andalucía,1,35.965782,-5.609035,0,8,2011
3235147487,Tachymarptis melba,ES,Casco urbano—jardines de la Argentina,Ceuta,1,35.8899,-5.319831,7,4,2020
3274271617,Tachymarptis melba,ES,"Arroyo del Infierno--Embalse/Azud ""acceso parcialmente restringido""",Ceuta,4,35.89061,-5.347041,50,5,2020
942890004,Tachymarptis melba,MA,Fes--ville nouvelle,Fès-Boulemane,200,34.037228,-5.003028,410,7,2008
2108303360,Tachymarptis melba,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2002
3284438778,Tachymarptis melba,MA,ضاية دار بوعزة | Dayat Dar Bouazza,Grand Casablanca,1,33.54445,-7.761624,14,7,2020
2168970662,Tachymarptis melba,MA,Gorges du Dadès,Sous-Massa-Draa,6,31.509192,-5.940685,1664,5,2018
2218050111,Tachymarptis melba,MA,"Sahrij Swani, Meknès, Morocco",Meknès-Tafilalet,30,33.880287,-5.558971,548,4,2018
1407758128,Tachymarptis melba,MA,Meknes Area,Meknès-Tafilalet,1,33.87287,-5.541973,556,4,2015
2129069129,Tachymarptis melba,MA,"Aoufous, río",Meknès-Tafilalet,1,31.669416,-4.192797,869,3,2018
576062899,Tachymarptis melba,MA,Jbel Imzi,Sous-Massa-Draa,1,29.750492,-9.257406,609,3,2008
1763481184,Tachymarptis melba,MA,Gorges du Todra,Sous-Massa-Draa,4,31.586287,-5.590968,1575,4,2008
3160421027,Tachymarptis melba,ES,Ceuta--Edificio Cariño,Ceuta,55,35.9023,-5.346128,16,3,2020
2702512607,Tachymarptis melba,MA,Barrage El Mansour Eddahbi NW Basin,Sous-Massa-Draa,2,30.933775,-6.846678,1122,4,2019
1407309584,Tachymarptis melba,MA,La bague de Kenza,Fès-Boulemane,1,34.06766,-4.974784,311,9,2014
3145417142,Tachymarptis melba,ES,Ceuta--Edificio Cariño,Ceuta,1,35.9023,-5.346128,16,4,2020
3508992789,Tachymarptis melba,ES,Estación de observación O’Donnell,Ceuta,1,35.881878,-5.329693,48,3,2021
821242780,Tachymarptis melba,MA,Fes,Fès-Boulemane,1,34.034737,-5.00021,426,3,2012
2200838778,Tachymarptis melba,MA,Raqbat el-Aagouz,Rabat-Salé-Zemmour-Zaer,6,33.552917,-6.259733,558,9,2018
3162215465,Tachymarptis melba,ES,Arroyo de Calamocarro,Ceuta,1,35.910793,-5.368713,140,6,2020
3142305481,Tachymarptis melba,ES,Ceuta--Edificio Cariño,Ceuta,1,35.9023,-5.346128,16,3,2020
2087503011,Tachymarptis melba,MA,"(35,6415,-5,9715)",Tanger-Tétouan,1,35.641518,-5.971495,6,8,2017
2726722054,Tachymarptis melba,ES,Punta Blanca,Ceuta,15,35.91375,-5.360241,1,3,2018
