gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2128650701,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,2,2018
1717496172,Turdus iliacus,MA,Site Archéologique de Volubilis,Meknès-Tafilalet,1,34.073605,-5.554385,383,1,2016
2123245373,Turdus iliacus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,1,2014
3668578804,Turdus iliacus,MA,Route touristique des Cèdres | الطريق السياحية للمحمية الطبيعية للأرز,Meknès-Tafilalet,3,33.41931,-5.18162,1762,2,2012
3639555972,Turdus iliacus,MA,Parc Yasmina | حديقة ياسمينة,Grand Casablanca,2,33.587646,-7.623448,27,12,2021
3573056887,Turdus iliacus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,11,2021
2117029907,Turdus iliacus,MA,Jardin le 9 juillet,Grand Casablanca,1,33.696163,-7.389863,15,12,2017
3657250716,Turdus iliacus,MA,Marais d'el-Hotba,Doukkala-Abda,1,32.916702,-8.815498,0,11,2013
2840585386,Turdus iliacus,MA,Morocco - Ifrane NP,,100,33.331962,-5.237131,1831,1,2014
3267690180,Turdus iliacus,MA,"Missour / Igli (33.053, -3.96)",Fès-Boulemane,1,33.052967,-3.959731,860,11,2020
3585878190,Turdus iliacus,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,1,34.24279,-6.672684,7,2,2000
2095992914,Turdus iliacus,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,1,34.00879,-6.847304,26,12,2017
3618508246,Turdus iliacus,MA,Sidi Yahya,Chaouia-Ouardigha,1,33.826485,-6.903731,129,1,2013
3661111295,Turdus iliacus,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,11,2021
2118897576,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,11,34.013096,-6.813711,11,12,2017
2835495389,Turdus iliacus,MA,Morocco - Ain Leuh,,1,33.30799,-5.226338,1850,2,2013
2109093958,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,1,2018
2835976429,Turdus iliacus,MA,Morocco - Lac d'Afenourir,,50,33.280028,-5.249062,1809,1,2014
2331017739,Turdus iliacus,MA,"Dayet Aaoua b. Ifrane, Marokko",,1,33.663498,-5.015602,1500,3,2001
2835668818,Turdus iliacus,MA,Morocco - Meknès - Tafilalet,,6,33.384136,-5.222709,1780,12,2010
2112766820,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,9,34.013096,-6.813711,11,11,2017
2110143150,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,11,34.013096,-6.813711,11,12,2017
2110808997,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,2,34.013096,-6.813711,11,2,2018
1787853779,Turdus iliacus,MA,Sidi Yahya,Chaouia-Ouardigha,1,33.826485,-6.903731,129,1,2013
2122975494,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,4,34.013096,-6.813711,11,1,2018
2106441023,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,4,34.013096,-6.813711,11,11,2017
3549605554,Turdus iliacus,ES,Estación de observación O’Donnell,Ceuta,2,35.881878,-5.329693,48,11,2021
2104844440,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,2,34.013096,-6.813711,11,1,2018
2109143726,Turdus iliacus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,5,34.013096,-6.813711,11,12,2017
2117575047,Turdus iliacus,MA,Lac Afenourir,Meknès-Tafilalet,4,33.280018,-5.250915,1808,1,2018
2108797565,Turdus iliacus,MA,Jardin d'Essais Botanique | حديقة التجارب النباتية بالرباط,Rabat-Salé-Zemmour-Zaer,1,34.00879,-6.847304,26,12,2017
3657095544,Turdus iliacus,MA,Asillah - South Cliffs,Tanger-Tétouan,1,35.451286,-6.0513,22,10,2021
2216076862,Turdus iliacus,MA,R203--champs semi-désertiques entre Marrakesh et Tahnaout,Marrakech-Tensift-Al Haouz,20,31.507856,-7.989421,594,2,2008
2839816226,Turdus iliacus,MA,Morocco - Ifrane,,3,33.534676,-5.112884,1620,1,2016
2840570277,Turdus iliacus,MA,Morocco - Lacs du moyen Atlas,,10,33.49003,-5.071775,1697,11,2017
2835606274,Turdus iliacus,MA,Morocco - Tigrigra,,1,33.369388,-5.224857,1803,1,2014
1793261058,Turdus iliacus,MA,Station de traitement d'eau usé de BenAhmed | محطة معالجة المياه العادمة بابن أحمد,Chaouia-Ouardigha,1,33.071087,-7.258047,552,11,2015
2839699066,Turdus iliacus,MA,Morocco - Ifrane,,3,33.534767,-5.113032,1620,1,2016
2842907169,Turdus iliacus,MA,Morocco - Lacs du moyen Atlas,,10,33.49003,-5.071775,1697,11,2017
