gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1613552848,Turdus philomelos,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2016
1620782667,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,10,2015
1613527818,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,3,2018
2330994919,Turdus philomelos,MA,Oued Massa Nationalpark,,1,30.091375,-9.665737,19,11,2001
1613314764,Turdus philomelos,ES,Punta blanca,Ceuta,1,35.88333,-5.31667,0,3,2003
1613331636,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,11,2013
1613314800,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,1,2005
1620782666,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,10,2015
3408035132,Turdus philomelos,MA,,Chaouia - Ouardigha,1,33.070035,-7.231346,622,11,2021
1613517697,Turdus philomelos,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,3,2013
1613562085,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,11,2016
1613356297,Turdus philomelos,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,11,2007
1613331554,Turdus philomelos,ES,Arroyo calamocarro,Ceuta,1,35.88333,-5.31667,0,10,2013
2795548869,Turdus philomelos,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,10,2013
3648675230,Turdus philomelos,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,12,2021
1613531598,Turdus philomelos,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,4,2015
1620673359,Turdus philomelos,ES,Monte hacho,Ceuta,1,35.88333,-5.31667,0,11,2015
1613231626,Turdus philomelos,ES,Cañas de ferrer,Ceuta,1,35.88333,-5.31667,0,3,2002
1613166233,Turdus philomelos,ES,Arroyo del infierno,Ceuta,1,35.88333,-5.31667,0,3,2012
3685052868,Turdus philomelos,MA,"N2, Tanger-Tétouan-Al Hoceïma, MA (34,983, -4,244)",Tanger-Tétouan,2,34.98265,-4.243654,1051,3,2021
2201358286,Turdus philomelos,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,2,33.07076,-7.232351,632,11,2018
3206179796,Turdus philomelos,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,1,33.713158,-6.929712,284,2,2007
1776292366,Turdus philomelos,MA,BenAhmed Forest Parc | غابة ابن احمد,Chaouia-Ouardigha,1,33.07076,-7.232351,632,11,2016
