gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3961439446,Turdus viscivorus,MA,,Meknès - Tafilalet,1,33.661786,-5.040558,1526,10,2022
3164576246,Turdus viscivorus,MA,P2030 viewpoint 1,Marrakech-Tensift-Al Haouz,1,31.232515,-7.816956,2180,2,2020
2137745751,Turdus viscivorus,MA,Tizi n'Tichka,Marrakech-Tensift-Al Haouz,1,31.36109,-7.390087,1590,3,2018
1778493653,Turdus viscivorus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,2,33.65042,-5.029721,1470,12,2016
2165529154,Turdus viscivorus,MA,Fôret de Ben Smim,Meknès-Tafilalet,2,33.488255,-5.146369,1681,4,2018
2835709441,Turdus viscivorus,MA,Morocco - Oukaïmedene,,2,31.205277,-7.860149,2618,12,2012
2835322058,Turdus viscivorus,MA,Morocco - Parc National de Toubkal,,2,31.250231,-7.809262,1794,5,2011
2841521544,Turdus viscivorus,MA,Morocco - Oukaimeden/Ukayemdan/Oukaimden,,3,31.229493,-7.824265,2395,3,2014
2839991646,Turdus viscivorus,MA,Morocco - Oukaïmedene,,1,31.20343,-7.861983,2619,3,2012
2725985304,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,6,31.201849,-7.859733,2609,3,2016
945465204,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,4,2013
1715570790,Turdus viscivorus,MA,"31.2107x-7.8512 - Feb 14, 2016, 11:32 AM",Marrakech-Tensift-Al Haouz,1,31.21073,-7.851199,2595,2,2016
2220118769,Turdus viscivorus,MA,Lac Zerouka,Meknès-Tafilalet,3,33.544254,-5.095575,1616,11,2018
2737313485,Turdus viscivorus,MA,Steppe d'Asilah,Tanger-Tétouan,1,35.57608,-5.959396,61,3,2007
2029171990,Turdus viscivorus,MA,Dayet Aoua,Meknès-Tafilalet,1,33.65551,-5.021501,1533,2,2014
2667664654,Turdus viscivorus,MA,"(33.4315,-5.1762)",Meknès-Tafilalet,2,33.4315,-5.176224,1656,4,2019
3684737676,Turdus viscivorus,MA,PN Ifrane--Dayet Hachlaf,Meknès-Tafilalet,30,33.54598,-5.002792,1670,12,2013
1191935286,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,2,2009
2762376359,Turdus viscivorus,MA,"(31.2402,-7.8655)",Marrakech-Tensift-Al Haouz,1,31.240236,-7.865529,1798,4,2019
2142062395,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,3,2018
2145055071,Turdus viscivorus,MA,R 2028 Tahanout - Asni riad,Marrakech-Tensift-Al Haouz,1,31.236288,-7.853937,2138,4,2018
2678578903,Turdus viscivorus,MA,"(31.2402,-7.8655)",Marrakech-Tensift-Al Haouz,1,31.240236,-7.865529,1798,4,2019
3665968280,Turdus viscivorus,MA,مستنقعات بورڭراڭ | Marais du Bouregreg,Rabat-Salé-Zemmour-Zaer,1,34.013096,-6.813711,11,10,2021
2770657565,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2007
847983070,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2012
603198195,Turdus viscivorus,MA,Oukaimeden,Marrakech-Tensift-Al Haouz,1,31.209866,-7.860889,2773,10,2007
1721521626,Turdus viscivorus,MA,Lac Zerouka,Meknès-Tafilalet,2,33.544254,-5.095575,1616,3,2016
2156151468,Turdus viscivorus,MA,Fôret de Ben Smim,Meknès-Tafilalet,2,33.488255,-5.146369,1681,4,2018
2723966831,Turdus viscivorus,MA,Mgoun massif,Sous-Massa-Draa,1,31.55407,-6.436612,3164,10,2019
2731975606,Turdus viscivorus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,4,33.65042,-5.029721,1470,4,2019
2225123370,Turdus viscivorus,MA,Oukaïmeden,Marrakech-Tensift-Al Haouz,23,31.204323,-7.857204,2602,11,2018
2692345802,Turdus viscivorus,MA,Parc National de Tazekka,Taza-Al Hoceima-Taounate,3,34.07908,-4.120763,1470,12,2013
848944244,Turdus viscivorus,MA,MA-Marrakech-Tensift-El Haouz - 31.3576x-7.3920 - 12 dÃ©c. 2012 09:13,Marrakech-Tensift-Al Haouz,1,31.357553,-7.392041,1599,12,2012
2746700031,Turdus viscivorus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,12,33.65042,-5.029721,1470,4,2019
1394149650,Turdus viscivorus,MA,ضاية عوة | Dayet Aoua,Meknès-Tafilalet,1,33.65042,-5.029721,1470,9,2015
2666226019,Turdus viscivorus,MA,Timouzaz,Rabat-Salé-Zemmour-Zaer,1,33.50173,-5.84815,1007,4,2019
3206766835,Turdus viscivorus,MA,MA-(Dait) Lac de Aoua,Meknès-Tafilalet,3,33.648346,-5.034358,1483,4,2019
2682166806,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,2,31.201849,-7.859733,2609,4,2019
2146494634,Turdus viscivorus,MA,High ridge top above Oukaimeden,Marrakech-Tensift-Al Haouz,1,31.20056,-7.869651,2693,4,2018
2053260986,Turdus viscivorus,MA,PN Ifran--Dayet Iffer,Fès-Boulemane,1,33.606663,-4.907874,1515,5,2017
3211670183,Turdus viscivorus,MA,Ifrane (west),Meknès-Tafilalet,2,33.55153,-5.181361,1582,1,2016
1787896601,Turdus viscivorus,MA,"X - Duplicate (Oukaimeden), Western High Atlas",Marrakech-Tensift-Al Haouz,6,31.204323,-7.857204,2602,4,2006
3236292083,Turdus viscivorus,MA,Plains N Col du Zad,Meknès-Tafilalet,1,33.04235,-5.061078,2174,10,2003
2182710556,Turdus viscivorus,MA,Fôret de Ben Smim,Meknès-Tafilalet,2,33.488255,-5.146369,1681,4,2018
2150442966,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,3,2018
3576762777,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,4,2011
2786328583,Turdus viscivorus,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,4,31.201849,-7.859733,2609,12,2019
1790249117,Turdus viscivorus,MA,"P2030, Al Haouz MA-Marrakech-Tensift-Al Haouz (31,2277,-7,8130)",Marrakech-Tensift-Al Haouz,2,31.22771,-7.812976,2013,1,2004
1721623658,Turdus viscivorus,MA,Lac Zerouka,Meknès-Tafilalet,2,33.544254,-5.095575,1616,3,2016
