CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,ostric2,Common Ostrich,Struthio camelus
species,ostric3,Somali Ostrich,Struthio molybdophanes
species,grerhe1,Greater Rhea,Rhea americana
species,lesrhe2,Lesser Rhea,Rhea pennata
species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
species,higtin1,Highland Tinamou,Nothocercus bonapartei
species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
species,grytin1,Gray Tinamou,Tinamus tao
species,soltin1,Solitary Tinamou,Tinamus solitarius
species,blatin1,Black Tinamou,Tinamus osgoodi
species,gretin1,Great Tinamou,Tinamus major
species,whttin1,White-throated Tinamou,Tinamus guttatus
species,cintin1,Cinereous Tinamou,Crypturellus cinereus
species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
species,littin1,Little Tinamou,Crypturellus soui
species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
species,brotin1,Brown Tinamou,Crypturellus obsoletus
species,undtin1,Undulated Tinamou,Crypturellus undulatus
species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
species,reltin1,Red-legged Tinamou,Crypturellus erythropus
species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
species,chotin1,Choco Tinamou,Crypturellus kerriae
species,vartin1,Variegated Tinamou,Crypturellus variegatus
species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
species,rustin1,Rusty Tinamou,Crypturellus brevirostris
species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
species,bartin1,Barred Tinamou,Crypturellus casiquiare
species,tattin1,Tataupa Tinamou,Crypturellus tataupa
species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens
species,huatin1,Huayco Tinamou,Rhynchotus maculicollis
species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii
species,orntin1,Ornate Tinamou,Nothoprocta ornata
species,chitin1,Chilean Tinamou,Nothoprocta perdicaria
species,brutin1,Brushland Tinamou,Nothoprocta cinerascens
species,andtin1,Andean Tinamou,Nothoprocta pentlandii
species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris
species,whbnot1,White-bellied Nothura,Nothura boraquira
species,lesnot1,Lesser Nothura,Nothura minor
species,darnot1,Darwin's Nothura,Nothura darwinii
species,sponot1,Spotted Nothura,Nothura maculosa
species,dwatin1,Dwarf Tinamou,Taoniscus nanus
species,elctin1,Elegant Crested-Tinamou,Eudromia elegans
species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa
species,puntin1,Puna Tinamou,Tinamotis pentlandii
species,pattin1,Patagonian Tinamou,Tinamotis ingoufi
species,soucas1,Southern Cassowary,Casuarius casuarius
species,dwacas1,Dwarf Cassowary,Casuarius bennetti
species,norcas1,Northern Cassowary,Casuarius unappendiculatus
species,emu1,Emu,Dromaius novaehollandiae
species,sobkiw1,Southern Brown Kiwi,Apteryx australis
species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi
species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli
species,liskiw1,Little Spotted Kiwi,Apteryx owenii
species,grskiw1,Great Spotted Kiwi,Apteryx haastii
species,horscr1,Horned Screamer,Anhima cornuta
species,souscr1,Southern Screamer,Chauna torquata
species,norscr1,Northern Screamer,Chauna chavaria
species,maggoo1,Magpie Goose,Anseranas semipalmata
species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata
species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni
species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata
species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis
species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea
species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor
species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata
species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica
species,whbduc1,White-backed Duck,Thalassornis leuconotus
species,bahgoo,Bar-headed Goose,Anser indicus
species,empgoo,Emperor Goose,Anser canagicus
species,snogoo,Snow Goose,Anser caerulescens
species,rosgoo,Ross's Goose,Anser rossii
species,gragoo,Graylag Goose,Anser anser
species,swagoo1,Swan Goose,Anser cygnoides
species,gwfgoo,Greater White-fronted Goose,Anser albifrons
species,lwfgoo,Lesser White-fronted Goose,Anser erythropus
species,taibeg1,Taiga Bean-Goose,Anser fabalis
species,tunbeg1,Tundra Bean-Goose,Anser serrirostris
species,pifgoo,Pink-footed Goose,Anser brachyrhynchus
species,brant,Brant,Branta bernicla
species,bargoo,Barnacle Goose,Branta leucopsis
species,cacgoo1,Cackling Goose,Branta hutchinsii
