scientificName,eBird_Species_Code,eBird_common_name
Struthio camelus,ostric2,Common Ostrich
Struthio molybdophanes,ostric3,Somali Ostrich
Rhea americana,grerhe1,Greater Rhea
Rhea pennata,lesrhe2,Lesser Rhea
Nothocercus julius,tabtin1,Tawny-breasted Tinamou
Nothocercus bonapartei,higtin1,Highland Tinamou
Nothocercus nigrocapillus,hootin1,Hooded Tinamou
Tinamus tao,grytin1,Gray Tinamou
Tinamus solitarius,soltin1,Solitary Tinamou
Tinamus osgoodi,blatin1,Black Tinamou
Tinamus major,gretin1,Great Tinamou
Tinamus guttatus,whttin1,White-throated Tinamou
Crypturellus cinereus,cintin1,Cinereous Tinamou
Crypturellus berlepschi,bertin1,Berlepsch's Tinamou
Crypturellus soui,littin1,Little Tinamou
Crypturellus ptaritepui,teptin1,Tepui Tinamou
Crypturellus obsoletus,brotin1,Brown Tinamou
Crypturellus undulatus,undtin1,Undulated Tinamou
Crypturellus transfasciatus,pabtin1,Pale-browed Tinamou
Crypturellus strigulosus,bratin1,Brazilian Tinamou
Crypturellus duidae,gyltin1,Gray-legged Tinamou
Crypturellus erythropus,reltin1,Red-legged Tinamou
Crypturellus noctivagus,yeltin1,Yellow-legged Tinamou
Crypturellus atrocapillus,blctin1,Black-capped Tinamou
Crypturellus boucardi,slbtin1,Slaty-breasted Tinamou
Crypturellus kerriae,chotin1,Choco Tinamou
Crypturellus variegatus,vartin1,Variegated Tinamou
Crypturellus cinnamomeus,thitin1,Thicket Tinamou
Crypturellus brevirostris,rustin1,Rusty Tinamou
Crypturellus bartletti,bartin2,Bartlett's Tinamou
Crypturellus parvirostris,smbtin1,Small-billed Tinamou
Crypturellus casiquiare,bartin1,Barred Tinamou
Crypturellus tataupa,tattin1,Tataupa Tinamou
Rhynchotus rufescens,rewtin1,Red-winged Tinamou
Rhynchotus maculicollis,huatin1,Huayco Tinamou
Nothoprocta taczanowskii,tactin1,Taczanowski's Tinamou
Nothoprocta ornata,orntin1,Ornate Tinamou
Nothoprocta perdicaria,chitin1,Chilean Tinamou
Nothoprocta cinerascens,brutin1,Brushland Tinamou
Nothoprocta pentlandii,andtin1,Andean Tinamou
Nothoprocta curvirostris,cubtin1,Curve-billed Tinamou
Nothura boraquira,whbnot1,White-bellied Nothura
Nothura minor,lesnot1,Lesser Nothura
Nothura darwinii,darnot1,Darwin's Nothura
Nothura maculosa,sponot1,Spotted Nothura
Taoniscus nanus,dwatin1,Dwarf Tinamou
Eudromia elegans,elctin1,Elegant Crested-Tinamou
Eudromia formosa,quctin1,Quebracho Crested-Tinamou
