Key,scientificName,commonName
emchum1,Abeillia abeillei,Emerald-chinned Hummingbird
rufwar1,Abroscopus albogularis,Rufous-faced Warbler
blfwar1,Abroscopus schisticeps,Black-faced Warbler
yebwar1,Abroscopus superciliaris,Yellow-bellied Warbler
watgua1,Aburria aburri,Wattled Guan
spchon1,Acanthagenys rufogularis,Spiny-cheeked Honeyeater
pebfin1,Acanthidops bairdi,Peg-billed Finch
lesred1,Acanthis cabaret,Lesser Redpoll
comred,Acanthis flammea,Common Redpoll
hoared,Acanthis hornemanni,Hoary Redpoll
riflem1,Acanthisitta chloris,Rifleman
inltho1,Acanthiza apicalis,Inland Thornbill
yertho1,Acanthiza chrysorrhoa,Yellow-rumped Thornbill
mouger1,Acanthiza cinerea,Gray Thornbill
tastho1,Acanthiza ewingii,Tasmanian Thornbill
westho1,Acanthiza inornata,Western Thornbill
slbtho2,Acanthiza iredalei,Slender-billed Thornbill
moutho1,Acanthiza katherina,Mountain Thornbill
strtho1,Acanthiza lineata,Striated Thornbill
paptho1,Acanthiza murina,Papuan Thornbill
yeltho1,Acanthiza nana,Yellow Thornbill
brotho1,Acanthiza pusilla,Brown Thornbill
burtho1,Acanthiza reguloides,Buff-rumped Thornbill
slbtho1,Acanthiza robustirostris,Slaty-backed Thornbill
chrtho1,Acanthiza uropygialis,Chestnut-rumped Thornbill
wesspi1,Acanthorhynchus superciliosus,Western Spinebill
easspi1,Acanthorhynchus tenuirostris,Eastern Spinebill
scrubt2,Acanthornis magna,Scrubtit
piegos1,Accipiter albogularis,Pied Goshawk
shikra1,Accipiter badius,Shikra
bichaw1,Accipiter bicolor,Bicolored Hawk
nebspa1,Accipiter brachyurus,New Britain Sparrowhawk
levspa1,Accipiter brevipes,Levant Sparrowhawk
nicspa1,Accipiter butleri,Nicobar Sparrowhawk
chfspa1,Accipiter castanilius,Chestnut-flanked Sparrowhawk
colspa1,Accipiter cirrocephalus,Collared Sparrowhawk
semhaw2,Accipiter collaris,Semicollared Hawk
coohaw,Accipiter cooperii,Cooper's Hawk
runspa1,Accipiter erythrauchen,Rufous-necked Sparrowhawk
retspa1,Accipiter erythropus,Red-thighed Sparrowhawk
brogos1,Accipiter fasciatus,Brown Goshawk
fragos2,Accipiter francesiae,Frances's Sparrowhawk
norgos,Accipiter gentilis,Northern Goshawk
sulgos1,Accipiter griseiceps,Sulawesi Goshawk
japspa1,Accipiter gularis,Japanese Sparrowhawk
gunhaw1,Accipiter gundlachi,Gundlach's Hawk
necgos1,Accipiter haplochrous,New Caledonia Goshawk
molgos1,Accipiter henicogrammus,Moluccan Goshawk
hengos1,Accipiter henstii,Henst's Goshawk
vargos1,Accipiter hiogaster,Variable Goshawk
imispa1,Accipiter imitator,Imitator Sparrowhawk
slmgos1,Accipiter luteoschistaceus,Slaty-mantled Goshawk
madspa1,Accipiter madagascariensis,Madagascar Sparrowhawk
blmgos1,Accipiter melanochlamys,Black-mantled Goshawk
blagos1,Accipiter melanoleucus,Black Goshawk
meygos1,Accipiter meyerianus,Meyer's Goshawk
litspa1,Accipiter minullus,Little Sparrowhawk
smaspa1,Accipiter nanus,Small Sparrowhawk
eurspa1,Accipiter nisus,Eurasian Sparrowhawk
grygos1,Accipiter novaehollandiae,Gray Goshawk
ovaspa2,Accipiter ovampensis,Ovambo Sparrowhawk
gyhgos1,Accipiter poliocephalus,Gray-headed Goshawk
gybhaw1,Accipiter poliogaster,Gray-bellied Hawk
nebgos1,Accipiter princeps,New Britain Goshawk
vibspa1,Accipiter rhodogaster,Vinous-breasted Sparrowhawk
fijgos1,Accipiter rufitorques,Fiji Goshawk
rucspa2,Accipiter rufiventris,Rufous-breasted Sparrowhawk
grfhaw1,Accipiter soloensis,Chinese Sparrowhawk
shshaw,Accipiter striatus,Sharp-shinned Hawk
tinhaw1,Accipiter superciliosus,Tiny Hawk
afrgos1,Accipiter tachiro,African Goshawk
recgos1,Accipiter toussenelii,Red-chested Goshawk
sptgos1,Accipiter trinotatus,Spot-tailed Goshawk
cregos1,Accipiter trivirgatus,Crested Goshawk
besra1,Accipiter virgatus,Besra
runhor1,Aceros nipalensis,Rufous-necked Hornbill
damroc1,Achaetops pycnopygius,Rockrunner
colmyn1,Acridotheres albocinctus,Collared Myna
vibsta3,Acridotheres burmannicus,Vinous-breasted Starling
pabmyn1,Acridotheres cinereus,Pale-bellied Myna
cremyn,Acridotheres cristatellus,Crested Myna
junmyn1,Acridotheres fuscus,Jungle Myna
banmyn1,Acridotheres ginginianus,Bank Myna
whvmyn1,Acridotheres grandis,Great Myna
whvmyn,Acridotheres javanicus,Javan Myna
bkwsta1,Acridotheres melanopterus,Black-winged Starling
commyn,Acridotheres tristis,Common Myna
pilgra1,Acrobatornis fonsecai,Pink-legged Graveteiro
chiwar1,Acrocephalus aequinoctialis,Kiritimati Reed Warbler
padwar1,Acrocephalus agricola,Paddyfield Warbler
grrwar1,Acrocephalus arundinaceus,Great Reed Warbler
manrew2,Acrocephalus astrolabii,Mangareva Reed Warbler
turwar1,Acrocephalus atyphus,Tuamotu Reed Warbler
aurwar1,Acrocephalus australis,Australian Reed Warbler
afrwar1,Acrocephalus baeticatus,African Reed Warbler
bbrwar1,Acrocephalus bistrigiceps,Black-browed Reed Warbler
cvswar1,Acrocephalus brevipennis,Cape Verde Swamp Warbler
tahrew1,Acrocephalus caffer,Tahiti Reed Warbler
blwwar1,Acrocephalus concinens,Blunt-winged Warbler
blrwar1,Acrocephalus dumetorum,Blyth's Reed Warbler
miller,Acrocephalus familiaris,Millerbird
leswar1,Acrocephalus gracilirostris,Lesser Swamp Warbler
barwar2,Acrocephalus griseldis,Basra Reed Warbler
sairew1,Acrocephalus hiwae,Saipan Reed Warbler
cirwar2,Acrocephalus kerearako,Cook Islands Reed Warbler
moorew1,Acrocephalus longirostris,Moorea Reed Warbler
nigrew1,Acrocephalus luscinius,Nightingale Reed Warbler
mouwar1,Acrocephalus melanopogon,Moustached Warbler
marwar2,Acrocephalus mendanae,Southern Marquesan Reed Warbler
soirew1,Acrocephalus musae,Society Islands Reed Warbler
maswar1,Acrocephalus newtoni,Madagascar Swamp Warbler
agurew1,Acrocephalus nijoi,Aguiguan Reed Warbler
orrwar1,Acrocephalus orientalis,Oriental Reed Warbler
labrew1,Acrocephalus orinus,Large-billed Reed Warbler
aquwar1,Acrocephalus paludicola,Aquatic Warbler
marwar3,Acrocephalus palustris,Marsh Warbler
marrew2,Acrocephalus percernis,Northern Marquesan Reed Warbler
narwar1,Acrocephalus rehsei,Nauru Reed Warbler
rimrew1,Acrocephalus rimitarae,Rimitara Reed Warbler
rodbrw1,Acrocephalus rodericanus,Rodrigues Warbler
grswar2,Acrocephalus rufescens,Greater Swamp Warbler
sedwar1,Acrocephalus schoenobaenus,Sedge Warbler
eurwar1,Acrocephalus scirpaceus,Eurasian Reed Warbler
sebwar1,Acrocephalus sechellensis,Seychelles Warbler
strwar1,Acrocephalus sorghophilus,Streaked Reed Warbler
clrwar1,Acrocephalus stentoreus,Clamorous Reed Warbler
carrew1,Acrocephalus syrinx,Caroline Reed Warbler
hirwar1,Acrocephalus taiti,Henderson Island Reed Warbler
manrew1,Acrocephalus tangorum,Manchurian Reed Warbler
pirwar2,Acrocephalus vaughani,Pitcairn Reed Warbler
pagrew1,Acrocephalus yamashinae,Pagan Reed Warbler
ocetap1,Acropternis orthonyx,Ocellated Tapaculo
vulgui1,Acryllium vulturinum,Vulturine Guineafowl
moukin2,Actenoides bougainvillei,Moustached Kingfisher
ruckin1,Actenoides concretus,Rufous-collared Kingfisher
blckin2,Actenoides hombroni,Blue-capped Kingfisher
spokin1,Actenoides lindsayi,Spotted Kingfisher
grbkin1,Actenoides monachus,Green-backed Kingfisher
scakin1,Actenoides princeps,Scaly-breasted Kingfisher
blwmin1,Actinodura cyanouroptera,Blue-winged Minla
rufbar1,Actinodura egertoni,Rusty-fronted Barwing
taibar1,Actinodura morrisoniana,Taiwan Barwing
hotbar1,Actinodura nipalensis,Hoary-throated Barwing
spebar1,Actinodura ramsayi,Spectacled Barwing
bkcbar1,Actinodura sodangorum,Black-crowned Barwing
strbar1,Actinodura souliei,Streaked Barwing
chtmin1,Actinodura strigula,Chestnut-tailed Minla
sttbar1,Actinodura waldeni,Streak-throated Barwing
comsan,Actitis hypoleucos,Common Sandpiper
sposan,Actitis macularius,Spotted Sandpiper
afrjac1,Actophilornis africanus,African Jacana
madjac1,Actophilornis albinucha,Madagascar Jacana
spehum1,Adelomyia melanogenys,Speckled Hummingbird
clagre,Aechmophorus clarkii,Clark's Grebe
wesgre,Aechmophorus occidentalis,Western Grebe
lottit1,Aegithalos caudatus,Long-tailed Tit
blttit2,Aegithalos concinnus,Black-throated Tit
sootit1,Aegithalos fuliginosus,Sooty Tit
lottit5,Aegithalos glaucogularis,Silver-throated Tit
bkbtit3,Aegithalos iouschistos,Black-browed Tit
whctit1,Aegithalos leucogenys,White-cheeked Tit
whttit1,Aegithalos niveogularis,White-throated Tit
greior1,Aegithina lafresnayei,Great Iora
whtior1,Aegithina nigrolutea,White-tailed Iora
comior1,Aegithina tiphia,Common Iora
greior2,Aegithina viridissima,Green Iora
nswowl,Aegolius acadicus,Northern Saw-whet Owl
borowl,Aegolius funereus,Boreal Owl
bswowl1,Aegolius gradyi,Bermuda Saw-whet Owl
bufowl1,Aegolius harrisii,Buff-fronted Owl
uswowl1,Aegolius ridgwayi,Unspotted Saw-whet Owl
barown2,Aegotheles affinis,Vogelkop Owlet-nightjar
moonig1,Aegotheles albertisi,Mountain Owlet-nightjar
aronig1,Aegotheles archboldi,Archbold's Owlet-nightjar
barown1,Aegotheles bennettii,Barred Owlet-nightjar
molown1,Aegotheles crinifrons,Moluccan Owlet-nightjar
auonig1,Aegotheles cristatus,Australian Owlet-nightjar
feonig1,Aegotheles insignis,Feline Owlet-nightjar
nconig1,Aegotheles savesi,New Caledonian Owlet-nightjar
spaown1,Aegotheles tatei,Starry Owlet-nightjar
waonig1,Aegotheles wallacii,Wallace's Owlet-nightjar
cinvul1,Aegypius monachus,Cinereous Vulture
watbrt1,Aepypodius arfakianus,Wattled Brushturkey
brubrt1,Aepypodius bruijnii,Waigeo Brushturkey
palswi2,Aerodramus amelis,Ameline Swiftlet
marswi,Aerodramus bartschi,Mariana Swiftlet
himswi2,Aerodramus brevirostris,Himalayan Swiftlet
molswi1,Aerodramus ceramensis,Seram Swiftlet
seyswi1,Aerodramus elaphrus,Seychelles Swiftlet
masswi1,Aerodramus francicus,Mascarene Swiftlet
ednswi1,Aerodramus fuciphagus,White-nest Swiftlet
gerswi1,Aerodramus germani,Germain's Swiftlet
mouswi2,Aerodramus hirundinaceus,Mountain Swiftlet
molswi3,Aerodramus infuscatus,Halmahera Swiftlet
caiswi1,Aerodramus inquietus,Caroline Islands Swiftlet
polswi1,Aerodramus leucophaeus,Polynesian Swiftlet
blnswi1,Aerodramus maximus,Black-nest Swiftlet
phiswi1,Aerodramus mearnsi,Philippine Swiftlet
balswi1,Aerodramus nuditarsus,Bare-legged Swiftlet
marswi2,Aerodramus ocistus,Marquesan Swiftlet
mayswi1,Aerodramus orientalis,Mayr's Swiftlet
papswi1,Aerodramus papuensis,Three-toed Swiftlet
palswi1,Aerodramus pelewensis,Palau Swiftlet
monswi2,Aerodramus salangana,Mossy-nest Swiftlet
atiswi1,Aerodramus sawtelli,Atiu Swiftlet
molswi4,Aerodramus sororum,Sulawesi Swiftlet
whrswi2,Aerodramus spodiopygius,White-rumped Swiftlet
ausswi1,Aerodramus terraereginae,Australian Swiftlet
indswi1,Aerodramus unicolor,Indian Swiftlet
uniswi1,Aerodramus vanikorensis,Uniform Swiftlet
volswi1,Aerodramus vulcanorum,Volcano Swiftlet
whiswi1,Aerodramus whiteheadi,Whitehead's Swiftlet
andswi1,Aeronautes andecolus,Andean Swift
whtswi1,Aeronautes montivagus,White-tipped Swift
whtswi,Aeronautes saxatalis,White-throated Swift
creauk,Aethia cristatella,Crested Auklet
parauk,Aethia psittacula,Parakeet Auklet
leaauk,Aethia pusilla,Least Auklet
whiauk,Aethia pygmaea,Whiskered Auklet
hansun1,Aethopyga bella,Handsome Sunbird
moasun1,Aethopyga boltoni,Apo Sunbird
fotsun1,Aethopyga christinae,Fork-tailed Sunbird
bohsun1,Aethopyga decorosa,Bohol Sunbird
elesun1,Aethopyga duyvenbodei,Elegant Sunbird
whfsun1,Aethopyga eximia,White-flanked Sunbird
flasun1,Aethopyga flagrans,Flaming Sunbird
gousun1,Aethopyga gouldiae,Mrs. Gould's Sunbird
mansun1,Aethopyga guimarasensis,Maroon-naped Sunbird
fitsun1,Aethopyga ignicauda,Fire-tailed Sunbird
mousun1,Aethopyga jefferyi,Mountain Sunbird
linsun1,Aethopyga linaraborae,Lina's Sunbird
magsun1,Aethopyga magnifica,Magnificent Sunbird
scasun1,Aethopyga mystacalis,Javan Sunbird
grtsun1,Aethopyga nipalensis,Green-tailed Sunbird
gyhsun2,Aethopyga primigenia,Gray-hooded Sunbird
mewsun2,Aethopyga pulcherrima,Metallic-winged Sunbird
bltsun1,Aethopyga saturata,Black-throated Sunbird
lovsun1,Aethopyga shelleyi,Lovely Sunbird
eacsun1,Aethopyga siparaja,Crimson Sunbird
temsun1,Aethopyga temminckii,Temminck's Sunbird
tbosun1,Aethopyga tibolii,Tboli Sunbird
wecsun1,Aethopyga vigorsii,Vigors's Sunbird
conpea1,Afropavo congensis,Congo Peacock
agaher1,Agamia agami,Agami Heron
gyhlov1,Agapornis canus,Gray-headed Lovebird
