sort v2024,species_code,English name,scientific name,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,absoluteRatio,rarity,relativeRatio,relativePercent,splitScientificName,splitExtras
914.0,siwgua1,Sickle-winged Guan,Chamaepetes goudotii,2482183,2482183,"Chamaepetes goudotii (R.Lesson, 1828)",740,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,0.0011406656554819,Common,0.9973045822102424,99.7%,Chamaepetes goudotii,"(R.Lesson, 1828)"
914.0,siwgua1,Sickle-winged Guan,Chamaepetes goudotii,6177862,6177862,"Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,,3.0828801499512905e-06,Rare,0.0026954177897574,0.270%,Chamaepetes goudotii,"fagani C.Chubb, 1917"
864.0,andgua1,Andean Guan,Penelope montagnii,2482198,2482198,"Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,3.853600187439113e-05,Uncommon,0.0079846694346854,0.798%,Penelope montagnii,"(Bonaparte, 1856)"
863.0,baugua1,Baudo Guan,Penelope ortoni,2482216,2482216,"Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,1.2331520599805162e-05,Rare,0.0025550942190993,0.256%,Penelope ortoni,"Salvin, 1874"
887.0,cregua1,Crested Guan,Penelope purpurascens,2482225,2482225,"Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,0.0047753813522745,Common,0.9894602363462152,98.9%,Penelope purpurascens,"Wagler, 1830"
912.0,watgua1,Wattled Guan,Aburria aburri,2482313,2482313,"Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Aburria,2482290.0,Aburria aburri,2482313.0,NT,0.0021580161049659,Common,1.0,100.0%,Aburria aburri,"(R.Lesson, 1828)"
1124.0,rfwqua1,Rufous-fronted Wood-Quail,Odontophorus erythrops,5228045,5228045,"Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,5.395040262414758e-05,Uncommon,0.0325884543761638,3.26%,Odontophorus erythrops,"Gould, 1859"
1128.0,dbwqua1,Dark-backed Wood-Quail,Odontophorus melanonotus,5228049,5228049,"Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,0.0016015562378996,Common,0.967411545623836,96.7%,Odontophorus melanonotus,"Gould, 1861"
10393.0,rutjac1,Rufous-tailed Jacamar,Galbula ruficauda,5228236,5228236,"Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Piciformes,724.0,Galbulidae,5244.0,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC,2.312160112463468e-05,Rare,1.0,100.0%,Galbula ruficauda,"Cuvier, 1816"
10319.0,whwpuf1,White-whiskered Puffbird,Malacoptila panamensis,2475147,2475147,"Malacoptila panamensis Lafresnaye, 1847",76,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC,0.0001171494456981,Uncommon,0.9743589743589745,97.4%,Malacoptila panamensis,"Lafresnaye, 1847"
10319.0,whwpuf1,White-whiskered Puffbird,Malacoptila panamensis,6180305,6180305,"Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,,3.0828801499512905e-06,Rare,0.0256410256410256,2.56%,Malacoptila panamensis,"poliopis P.L.Sclater, 1862"
10292.0,barpuf1,Barred Puffbird,Nystalus radiatus,2475200,2475200,"Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC,0.0007923001985374,Uncommon,1.0,100.0%,Nystalus radiatus,"(P.L.Sclater, 1854)"
10351.0,whfnun2,White-faced Nunbird,Hapaloptila castanea,2475205,2475205,"Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC,3.6994561799415486e-05,Uncommon,1.0,100.0%,Hapaloptila castanea,"(J.Verreaux, 1866)"
10329.0,lanmon1,Lanceolated Monklet,Micromonacha lanceolata,2475207,2475207,"Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC,3.39116816494642e-05,Uncommon,1.0,100.0%,Micromonacha lanceolata,"(Deville, 1849)"
10980.0,olipic1,Olivaceous Piculet,Picumnus olivaceus,5228725,5228725,"Picumnus olivaceus Lafresnaye, 1845",892,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC,0.0013749645468782,Common,0.9977628635346756,99.8%,Picumnus olivaceus,"Lafresnaye, 1845"
10980.0,olipic1,Olivaceous Piculet,Picumnus olivaceus,5228729,5228729,"Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,,3.0828801499512905e-06,Rare,0.0022371364653243,0.224%,Picumnus olivaceus,"harterti Hellmayr, 1909"
11639.0,linwoo1,Lineated Woodpecker,Dryocopus lineatus,5228831,5228831,"Dryocopus lineatus (Linnaeus, 1766)",738,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE,0.001137582775332,Uncommon,0.9959514170040484,99.6%,Dryocopus lineatus,"(Linnaeus, 1766)"
11639.0,linwoo1,Lineated Woodpecker,Dryocopus lineatus,5228833,5228833,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,,4.624320224926936e-06,Rare,0.0040485829959514,0.405%,Dryocopus lineatus,"fuscipennis P.L.Sclater, 1860"
11049.0,blcwoo1,Black-cheeked Woodpecker,Melanerpes pucherani,2478068,2478068,"Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC,0.0001279395262229,Uncommon,1.0,100.0%,Melanerpes pucherani,"(Malherbe, 1849)"
11381.0,scbwoo3,Scarlet-backed Woodpecker,Dryobates callonotus,10680427,2478357,"Veniliornis callonotus (Waterhouse, 1841)",697,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,NE,0.001074383732258,Uncommon,0.9561042524005487,95.6%,Dryobates callonotus,"(Waterhouse, 1841)"
,,,,2478357,2478357,"Veniliornis callonotus (Waterhouse, 1841)",4,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,LC,6.165760299902581e-06,Rare,0.0054869684499314,0.549%,Veniliornis callonotus,"(Waterhouse, 1841)"
11352.0,rerwoo1,Red-rumped Woodpecker,Dryobates kirkii,10860672,2478367,"Veniliornis kirkii (Malherbe, 1845)",22,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis kirkii,2478367.0,NE,3.39116816494642e-05,Uncommon,0.0301783264746227,3.02%,Dryobates kirkii,"(Malherbe, 1845)"
11384.0,yevwoo1,Yellow-vented Woodpecker,Dryobates dignus,10835052,2478378,"Veniliornis dignus (P.L.Sclater & Salvin, 1877)",6,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis dignus,2478378.0,NE,9.248640449853871e-06,Rare,0.0082304526748971,0.823%,Dryobates dignus,"(P.L.Sclater & Salvin, 1877)"
11673.0,cinwoo1,Cinnamon Woodpecker,Celeus loricatus,5228950,5228950,"Celeus loricatus (Reichenbach, 1854)",13,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Celeus,2478432.0,Celeus loricatus,5228950.0,LC,2.0038720974683387e-05,Rare,1.0,100.0%,Celeus loricatus,"(Reichenbach, 1854)"
11443.0,crcwoo1,Crimson-crested Woodpecker,Campephilus melanoleucos,2478564,2478564,"Campephilus melanoleucos (J.F.Gmelin, 1788)",1,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus melanoleucos,2478564.0,LC,1.5414400749756452e-06,Very Rare,0.0004629629629629,0.046%,Campephilus melanoleucos,"(J.F.Gmelin, 1788)"
11432.0,powwoo1,Powerful Woodpecker,Campephilus pollens,2478569,2478569,"Campephilus pollens (Bonaparte, 1845)",216,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,LC,0.0003329510561947,Uncommon,0.1,10.0%,Campephilus pollens,"(Bonaparte, 1845)"
